sample,condition
TCGA-02-0047,Control
TCGA-02-2486,Control
TCGA-06-0125,Control
TCGA-06-0129,Control
TCGA-06-0138,Control
TCGA-06-0139,Control
TCGA-06-0190,Control
TCGA-06-0210,Control
TCGA-06-0686,Control
TCGA-06-0749,Control
TCGA-06-0882,Control
TCGA-06-1804,Control
TCGA-06-2557,Control
TCGA-06-2565,Control
TCGA-06-2567,Control
TCGA-06-5410,Control
TCGA-06-5411,Control
TCGA-06-5856,Control
TCGA-12-0616,Control
TCGA-12-0618,Control
TCGA-12-1597,Control
TCGA-14-1034,Control
TCGA-14-1402,Control
TCGA-14-1823,Control
TCGA-14-2554,Control
TCGA-15-1444,Control
TCGA-19-1787,Control
TCGA-19-2629,Control
TCGA-26-5135,Control
TCGA-27-1834,Control
TCGA-27-1835,Control
TCGA-27-2519,Control
TCGA-27-2523,Control
TCGA-27-2526,Control
TCGA-27-2528,Control
TCGA-28-5215,Control
TCGA-28-5218,Control
TCGA-28-5220,Control
TCGA-32-1980,Control
TCGA-32-1982,Control
TCGA-32-2638,Control
TCGA-32-5222,Control
TCGA-41-2571,Control
TCGA-41-2572,Control
TCGA-41-3915,Control
TCGA-41-5651,Control
TCGA-76-4926,Control
TCGA-76-4927,Control
TCGA-76-4931,Control
TCGA-76-4932,Control
TCGA-06-0156,Treatment
TCGA-06-5408,Treatment
TCGA-12-0821,Treatment
TCGA-12-3652,Treatment
TCGA-14-0736,Treatment
TCGA-14-0871,Treatment
TCGA-19-0957,Treatment
