sample,condition
TCGA-06-0139,Control
TCGA-06-0644,Control
TCGA-06-0646,Control
TCGA-06-5408,Control
TCGA-06-5412,Control
TCGA-06-5418,Control
TCGA-12-3652,Control
TCGA-12-5299,Control
TCGA-14-0787,Control
TCGA-14-0790,Control
TCGA-14-1825,Control
TCGA-14-2554,Control
TCGA-27-1831,Control
TCGA-27-1837,Control
TCGA-27-2524,Control
TCGA-27-2528,Control
TCGA-28-1747,Control
TCGA-28-5204,Control
TCGA-28-5207,Control
TCGA-32-1982,Control
TCGA-06-0130,Treatment
TCGA-06-0141,Treatment
TCGA-06-0156,Treatment
TCGA-06-0157,Treatment
TCGA-06-0158,Treatment
TCGA-06-0210,Treatment
TCGA-06-0221,Treatment
TCGA-06-0649,Treatment
TCGA-06-0686,Treatment
TCGA-06-0743,Treatment
TCGA-06-0745,Treatment
TCGA-06-0747,Treatment
TCGA-06-0882,Treatment
TCGA-06-2561,Treatment
TCGA-06-2562,Treatment
TCGA-06-2565,Treatment
TCGA-08-0386,Treatment
TCGA-12-0618,Treatment
TCGA-12-0619,Treatment
TCGA-12-0821,Treatment
TCGA-12-1597,Treatment
TCGA-14-0817,Treatment
TCGA-14-0871,Treatment
TCGA-14-1402,Treatment
TCGA-15-1444,Treatment
TCGA-16-0846,Treatment
TCGA-19-0957,Treatment
TCGA-19-1390,Treatment
TCGA-19-2620,Treatment
TCGA-19-2624,Treatment
TCGA-19-2625,Treatment
TCGA-19-2629,Treatment
TCGA-19-5960,Treatment
TCGA-26-5136,Treatment
TCGA-27-1830,Treatment
TCGA-27-1832,Treatment
TCGA-27-1835,Treatment
TCGA-27-2519,Treatment
TCGA-27-2521,Treatment
TCGA-32-1980,Treatment
TCGA-32-2615,Treatment
TCGA-41-2571,Treatment
TCGA-41-2572,Treatment
TCGA-41-4097,Treatment
TCGA-41-5651,Treatment
