sample,condition
TCGA-06-0139,Control
TCGA-06-0644,Control
TCGA-06-0646,Control
TCGA-06-5408,Control
TCGA-06-5412,Control
TCGA-06-5418,Control
TCGA-12-3652,Control
TCGA-12-5299,Control
TCGA-14-0787,Control
TCGA-14-0790,Control
TCGA-14-1825,Control
TCGA-14-2554,Control
TCGA-27-1831,Control
TCGA-27-1837,Control
TCGA-27-2524,Control
TCGA-27-2528,Control
TCGA-28-1747,Control
TCGA-28-5204,Control
TCGA-28-5207,Control
TCGA-32-1982,Control
TCGA-02-0047,Treatment
TCGA-02-0055,Treatment
TCGA-02-2486,Treatment
TCGA-06-0125,Treatment
TCGA-06-0125,Treatment
TCGA-06-0129,Treatment
TCGA-06-0132,Treatment
TCGA-06-0138,Treatment
TCGA-06-0152,Treatment
TCGA-06-0168,Treatment
TCGA-06-0171,Treatment
TCGA-06-0174,Treatment
TCGA-06-0178,Treatment
TCGA-06-0184,Treatment
TCGA-06-0187,Treatment
TCGA-06-0190,Treatment
TCGA-06-0190,Treatment
TCGA-06-0210,Treatment
TCGA-06-0211,Treatment
TCGA-06-0211,Treatment
TCGA-06-0211,Treatment
TCGA-06-0219,Treatment
TCGA-06-0238,Treatment
TCGA-06-0645,Treatment
TCGA-06-0744,Treatment
TCGA-06-0749,Treatment
TCGA-06-0750,Treatment
TCGA-06-1804,Treatment
TCGA-06-2557,Treatment
TCGA-06-2558,Treatment
TCGA-06-2559,Treatment
TCGA-06-2567,Treatment
TCGA-06-5410,Treatment
TCGA-06-5411,Treatment
TCGA-06-5856,Treatment
TCGA-12-0616,Treatment
TCGA-12-3650,Treatment
TCGA-12-3653,Treatment
TCGA-12-5295,Treatment
TCGA-14-0736,Treatment
TCGA-14-0781,Treatment
TCGA-14-0789,Treatment
TCGA-14-1034,Treatment
TCGA-14-1034,Treatment
TCGA-14-1823,Treatment
TCGA-15-0742,Treatment
TCGA-16-1045,Treatment
TCGA-19-1389,Treatment
TCGA-19-1787,Treatment
TCGA-26-5135,Treatment
TCGA-27-1834,Treatment
TCGA-27-2523,Treatment
TCGA-27-2526,Treatment
TCGA-28-5208,Treatment
TCGA-28-5215,Treatment
TCGA-28-5218,Treatment
TCGA-28-5220,Treatment
TCGA-32-1970,Treatment
TCGA-32-2616,Treatment
TCGA-32-2632,Treatment
TCGA-32-2638,Treatment
TCGA-32-5222,Treatment
TCGA-41-3915,Treatment
TCGA-76-4925,Treatment
TCGA-76-4926,Treatment
TCGA-76-4927,Treatment
TCGA-76-4928,Treatment
TCGA-76-4929,Treatment
TCGA-76-4931,Treatment
TCGA-76-4932,Treatment
