sample,condition
TCGA-02-0055,Control
TCGA-02-2486,Control
TCGA-06-0125,Control
TCGA-06-0130,Control
TCGA-06-0132,Control
TCGA-06-0152,Control
TCGA-06-0178,Control
TCGA-06-0184,Control
TCGA-06-0211,Control
TCGA-06-0211,Control
TCGA-06-0211,Control
TCGA-06-0645,Control
TCGA-06-0646,Control
TCGA-06-0747,Control
TCGA-06-2557,Control
TCGA-06-2558,Control
TCGA-06-2559,Control
TCGA-06-2567,Control
TCGA-06-5412,Control
TCGA-06-5856,Control
TCGA-12-0618,Control
TCGA-12-1597,Control
TCGA-12-3652,Control
TCGA-12-5295,Control
TCGA-12-5299,Control
TCGA-14-0787,Control
TCGA-14-1034,Control
TCGA-14-1402,Control
TCGA-14-1823,Control
TCGA-14-2554,Control
TCGA-15-0742,Control
TCGA-15-1444,Control
TCGA-16-0846,Control
TCGA-16-1045,Control
TCGA-19-1389,Control
TCGA-19-1390,Control
TCGA-19-1787,Control
TCGA-19-2624,Control
TCGA-19-2625,Control
TCGA-27-1830,Control
TCGA-27-1831,Control
TCGA-27-1837,Control
TCGA-27-2519,Control
TCGA-27-2523,Control
TCGA-27-2524,Control
TCGA-27-2526,Control
TCGA-27-2528,Control
TCGA-32-2616,Control
TCGA-32-2632,Control
TCGA-32-2638,Control
TCGA-41-2572,Control
TCGA-76-4928,Control
TCGA-06-0138,Treatment
TCGA-06-0139,Treatment
TCGA-06-0168,Treatment
TCGA-06-0221,Treatment
TCGA-14-0871,Treatment
TCGA-19-0957,Treatment
TCGA-26-5135,Treatment
TCGA-32-1982,Treatment
