sample,condition
TCGA-06-0139,Control
TCGA-06-0168,Control
TCGA-14-1825,Control
TCGA-28-5218,Control
TCGA-32-1982,Control
TCGA-02-0047,Treatment
TCGA-02-0055,Treatment
TCGA-02-2486,Treatment
TCGA-06-0125,Treatment
TCGA-06-0125,Treatment
TCGA-06-0129,Treatment
TCGA-06-0130,Treatment
TCGA-06-0132,Treatment
TCGA-06-0138,Treatment
TCGA-06-0141,Treatment
TCGA-06-0156,Treatment
TCGA-06-0157,Treatment
TCGA-06-0171,Treatment
TCGA-06-0178,Treatment
TCGA-06-0184,Treatment
TCGA-06-0187,Treatment
TCGA-06-0190,Treatment
TCGA-06-0190,Treatment
TCGA-06-0211,Treatment
TCGA-06-0211,Treatment
TCGA-06-0219,Treatment
TCGA-06-0221,Treatment
TCGA-06-0238,Treatment
TCGA-06-0645,Treatment
TCGA-06-0646,Treatment
TCGA-06-0649,Treatment
TCGA-06-0686,Treatment
TCGA-06-0743,Treatment
TCGA-06-0745,Treatment
TCGA-06-0747,Treatment
TCGA-06-0749,Treatment
TCGA-06-0750,Treatment
TCGA-06-2557,Treatment
TCGA-06-2558,Treatment
TCGA-06-2559,Treatment
TCGA-06-2561,Treatment
TCGA-06-2562,Treatment
TCGA-06-5410,Treatment
TCGA-06-5411,Treatment
TCGA-06-5412,Treatment
TCGA-06-5418,Treatment
TCGA-06-5856,Treatment
TCGA-12-0616,Treatment
TCGA-12-3652,Treatment
TCGA-12-3653,Treatment
TCGA-12-5295,Treatment
TCGA-14-0736,Treatment
TCGA-14-0781,Treatment
TCGA-14-0789,Treatment
TCGA-14-0790,Treatment
TCGA-14-0817,Treatment
TCGA-14-1034,Treatment
TCGA-14-1402,Treatment
TCGA-14-1823,Treatment
TCGA-15-1444,Treatment
TCGA-16-0846,Treatment
TCGA-16-1045,Treatment
TCGA-19-0957,Treatment
TCGA-19-1389,Treatment
TCGA-19-1390,Treatment
TCGA-19-2620,Treatment
TCGA-19-2629,Treatment
TCGA-26-5135,Treatment
TCGA-27-1831,Treatment
TCGA-27-1832,Treatment
TCGA-27-1834,Treatment
TCGA-27-1835,Treatment
TCGA-27-2521,Treatment
TCGA-27-2524,Treatment
TCGA-27-2526,Treatment
TCGA-27-2528,Treatment
TCGA-28-1747,Treatment
TCGA-28-5215,Treatment
TCGA-32-1980,Treatment
TCGA-32-5222,Treatment
TCGA-41-2571,Treatment
TCGA-41-2572,Treatment
TCGA-41-3915,Treatment
TCGA-41-4097,Treatment
TCGA-41-5651,Treatment
TCGA-76-4926,Treatment
TCGA-76-4928,Treatment
TCGA-76-4929,Treatment
