sample,condition
TCGA-06-0125,Control
TCGA-06-0129,Control
TCGA-06-0210,Control
TCGA-06-0210,Control
TCGA-06-0219,Control
TCGA-06-0238,Control
TCGA-06-0649,Control
TCGA-06-2558,Control
TCGA-12-0619,Control
TCGA-12-0821,Control
TCGA-14-0736,Control
TCGA-14-0781,Control
TCGA-19-1390,Control
TCGA-19-2624,Control
TCGA-27-1832,Control
TCGA-27-1837,Control
TCGA-27-2519,Control
TCGA-28-5215,Control
TCGA-41-2571,Control
TCGA-76-4927,Control
TCGA-06-1804,Treatment
TCGA-06-5408,Treatment
TCGA-08-0386,Treatment
TCGA-12-0618,Treatment
TCGA-14-1825,Treatment
TCGA-16-0846,Treatment
TCGA-19-0957,Treatment
TCGA-27-1830,Treatment
TCGA-32-1970,Treatment
TCGA-76-4929,Treatment
