,TCGA-06-0125,TCGA-06-0125,TCGA-06-0129,TCGA-06-0210,TCGA-06-0210,TCGA-06-0210,TCGA-06-0210,TCGA-06-0219,TCGA-06-0238,TCGA-06-0649,TCGA-06-2558,TCGA-12-0619,TCGA-12-0821,TCGA-14-0736,TCGA-14-0781,TCGA-19-1390,TCGA-19-2624,TCGA-27-1832,TCGA-27-1837,TCGA-27-2519,TCGA-28-5215,TCGA-41-2571,TCGA-76-4927,TCGA-06-1804,TCGA-06-5408,TCGA-08-0386,TCGA-12-0618,TCGA-14-1825,TCGA-16-0846,TCGA-19-0957,TCGA-27-1830,TCGA-32-1970,TCGA-76-4929
TSPAN6,4679,4258,4433,5655,3119,5655,3119,5858,4751,4486,4188,2999,5953,4239,4815,1410,3750,8136,1513,4585,4303,1638,2706,3366,3204,3376,4256,1155,2474,2054,4017,3432,6188
TNMD,8,7,5,3,12,3,12,2,2,12,13,14,62,34,3,1,11,121,2,27,19,2,3,7,14,18,4,4,2,4,11,16,97
DPM1,1580,867,1436,1472,870,1472,870,2033,1601,976,1375,1331,1853,891,1211,1018,1299,1444,338,1555,1410,1333,620,1140,1576,1102,1287,416,999,749,1117,796,1272
SCYL3,605,428,920,504,489,504,489,599,546,338,569,720,581,251,425,620,812,695,163,434,555,482,301,506,693,622,617,125,357,449,539,485,610
C1orf112,480,212,840,263,367,263,367,513,454,236,465,548,431,123,304,596,503,499,139,232,516,298,219,276,321,387,526,118,214,235,277,299,165
FGR,321,629,1090,1351,838,1351,838,352,522,633,437,1473,343,284,392,954,537,1048,111,481,901,740,300,508,315,398,753,142,808,830,572,487,925
CFH,1815,1484,419,1503,1688,1503,1688,779,680,2724,929,2564,1525,1470,2190,412,557,2752,206,779,1524,158,828,5889,5111,445,476,191,1208,328,1120,1635,933
FUCA2,2416,2140,1017,2470,2069,2470,2069,1988,2211,1836,1514,4021,3193,898,2791,1133,2306,1803,884,1925,2143,822,1797,2489,1011,2405,1454,320,2342,1420,2358,1619,973
GCLC,1680,2233,4147,1659,1837,1659,1837,1603,2048,2528,2211,2818,2397,630,1667,2532,1141,2586,478,1959,2858,1640,1100,4713,1472,3473,2536,634,2577,2762,2050,2563,1885
NFYA,1243,785,1330,1123,1257,1123,1257,929,824,934,1348,1570,1677,289,970,3360,1526,899,414,1115,1890,1291,767,2290,1303,1369,1683,382,561,1003,993,1287,2084
STPG1,112,136,107,184,263,184,263,406,192,593,135,617,447,348,549,138,64,1352,99,77,293,182,550,361,764,67,79,18,302,510,261,173,545
NIPAL3,2868,2542,1714,1279,2618,1279,2618,2055,1867,2172,1986,3808,1343,1421,4039,3072,562,2873,854,1197,2334,3261,2541,2370,2273,1720,966,234,2010,8300,1583,1571,2013
