sample,condition
TCGA-06-0130,Control
TCGA-06-0138,Control
TCGA-06-0139,Control
TCGA-06-0158,Control
TCGA-06-0174,Control
TCGA-06-0178,Control
TCGA-06-0184,Control
TCGA-06-0190,Control
TCGA-06-0190,Control
TCGA-06-0211,Control
TCGA-06-0211,Control
TCGA-06-0211,Control
TCGA-06-0219,Control
TCGA-06-0238,Control
TCGA-06-0645,Control
TCGA-06-0649,Control
TCGA-06-0747,Control
TCGA-06-0749,Control
TCGA-06-2557,Control
TCGA-06-2559,Control
TCGA-06-2567,Control
TCGA-06-5418,Control
TCGA-06-5856,Control
TCGA-12-0616,Control
TCGA-12-3650,Control
TCGA-12-3652,Control
TCGA-12-5299,Control
TCGA-14-0781,Control
TCGA-14-1402,Control
TCGA-14-2554,Control
TCGA-15-0742,Control
TCGA-16-0846,Control
TCGA-16-1045,Control
TCGA-19-1390,Control
TCGA-19-2625,Control
TCGA-19-2629,Control
TCGA-27-1835,Control
TCGA-27-2526,Control
TCGA-28-1747,Control
TCGA-28-5207,Control
TCGA-32-1980,Control
TCGA-32-2616,Control
TCGA-32-2632,Control
TCGA-32-5222,Control
TCGA-41-4097,Control
TCGA-76-4925,Control
TCGA-76-4931,Control
TCGA-06-0129,Treatment
TCGA-12-0821,Treatment
TCGA-14-0871,Treatment
TCGA-19-0957,Treatment
TCGA-26-5135,Treatment
TCGA-28-5215,Treatment
