,TCGA-02-0055,TCGA-06-0129,TCGA-06-0130,TCGA-06-0190,TCGA-06-0190,TCGA-06-0210,TCGA-06-0210,TCGA-06-2558,TCGA-12-0619,TCGA-14-1402,TCGA-16-1045,TCGA-19-2625,TCGA-32-1982,TCGA-32-2638,TCGA-76-4927,TCGA-06-2565,TCGA-12-0821,TCGA-14-0871
ENSG00000000003.15,2944,4433,2453,3718,2323,5655,3119,4188,2999,7282,3283,3556,2218,7475,2706,5694,5953,1715
ENSG00000000005.6,840,5,2,5,21,3,12,13,14,20,18,18,1,37,3,12,62,521
ENSG00000000419.13,2460,1436,1726,1140,1294,1472,870,1375,1331,2681,909,1103,383,1744,620,1712,1853,411
ENSG00000000457.14,438,920,482,392,354,504,489,569,720,441,385,615,171,660,301,739,581,65
ENSG00000000460.17,329,840,459,486,411,263,367,465,548,520,217,356,96,367,219,369,431,172
ENSG00000000938.13,1169,1090,1371,1011,509,1351,838,437,1473,175,1023,541,194,584,300,350,343,33
ENSG00000000971.16,4517,419,3609,2328,4535,1503,1688,929,2564,1818,6286,4337,548,1012,828,802,1525,381
ENSG00000001036.14,2632,1017,2136,3343,3403,2470,2069,1514,4021,1525,997,2810,700,2313,1797,1956,3193,356
ENSG00000001084.13,1619,4147,1514,1760,1054,1659,1837,2211,2818,1152,1698,2026,501,1383,1100,2516,2397,160
ENSG00000001167.14,1148,1330,995,1280,1479,1123,1257,1348,1570,530,805,845,259,1298,767,1154,1677,594
ENSG00000001460.18,376,107,463,546,392,184,263,135,617,281,373,920,77,393,550,574,447,53
ENSG00000001461.17,1626,1714,1556,3537,1719,1279,2618,1986,3808,933,2528,1631,876,3277,2541,3728,1343,120
ENSG00000001497.18,1946,4876,2110,2103,2089,2365,2075,1979,4103,921,1367,2671,820,2845,1314,5032,2101,585
ENSG00000001561.7,3294,1302,1014,1071,585,971,1364,956,3902,566,2267,2810,157,325,489,601,1598,88
ENSG00000001617.12,429,99,426,1179,2872,353,1208,1362,734,160,660,311,543,2036,1265,518,1311,1412
ENSG00000001626.16,22,279,40,15,11,51,55,75,33,12,25,35,22,55,30,198,10,13
ENSG00000001629.10,2465,6231,4980,3652,3259,5674,5608,7149,5087,4621,4289,3184,1172,6438,4519,5932,7351,1212
ENSG00000001630.17,172,121,149,207,167,165,139,252,273,56,187,66,39,188,81,62,86,32
ENSG00000001631.16,235,555,521,343,288,353,354,405,481,438,303,393,121,354,268,447,660,94
ENSG00000002016.18,241,599,629,549,461,790,440,774,547,673,438,799,227,781,261,1176,765,166
ENSG00000002079.14,6,24,36,8,5,8,5,11,17,2,4,23,3,5,7,7,3,4
ENSG00000002330.14,571,606,514,387,377,669,574,696,694,926,410,1178,270,937,529,629,1115,64
ENSG00000002549.12,6150,10969,11655,6665,5893,6451,9427,5200,8155,6319,9233,7736,2317,19411,5803,10543,5304,734
ENSG00000002586.20,36155,13776,20799,28358,40820,44561,34543,11002,62831,15046,17832,51428,4881,63282,22829,15629,54363,1745
ENSG00000002586.20_PAR_Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002587.10,393,2556,488,479,687,1213,3554,957,1072,1049,1291,3182,357,1825,483,1347,2375,24
ENSG00000002726.21,9,7,14,3,9,4,7,7,10,0,31,6,2,5,8,90,21,1
ENSG00000002745.13,45,4,43,9,6,73,32,23,157,106,70,42,18,166,12,6,261,4
ENSG00000002746.15,222,357,42,65,100,629,578,420,84,70,17,5,38,63,210,50,154,70
ENSG00000002822.15,64,18,26,28,78,41,21,18,40,8,30,21,3,8,16,6,44,4
ENSG00000002834.18,4722,7622,10136,6677,9112,6498,11334,7686,7902,2602,8502,7859,1912,12269,6678,8255,6593,1084
ENSG00000002919.15,1646,1865,1869,1383,986,1968,1855,2056,1917,2561,1379,1521,662,2031,1110,1805,1955,126
ENSG00000002933.9,3778,813,2762,3340,4137,8876,3999,2551,10614,1187,2372,1697,1542,2730,2149,1856,10558,93
ENSG00000003056.8,2790,3141,4550,2878,2972,3454,3717,3326,3019,1854,3218,1592,820,3803,2047,2685,1882,595
ENSG00000003096.14,533,2414,1359,917,1416,1106,1164,1745,2810,1007,602,689,420,1589,580,1930,849,61
ENSG00000003137.8,372,240,226,247,1362,60,132,279,229,87,28,112,52,98,130,221,308,558
ENSG00000003147.19,245,1024,328,267,324,269,293,453,297,171,443,552,208,453,463,715,502,164
ENSG00000003249.15,907,409,973,3484,838,1765,1021,1290,1973,847,621,4554,670,4302,1935,2312,1404,54
ENSG00000003393.15,1468,2263,1528,1392,1245,2012,2130,1698,2123,1124,1552,1313,458,2172,1129,2664,2231,342
ENSG00000003400.15,410,546,938,475,602,355,612,552,699,231,685,244,228,653,204,662,236,19
ENSG00000003402.20,4396,2502,4212,3477,4048,2928,3060,2258,4940,1912,4240,4037,993,4503,1509,4701,2390,231
ENSG00000003436.16,2459,2834,5440,2613,5002,5097,2227,1857,1306,1107,1492,812,1432,816,1553,1824,3398,153
ENSG00000003509.16,782,998,606,551,464,508,366,608,607,605,520,477,206,689,271,851,775,169
ENSG00000003756.17,2042,9082,3015,3882,2977,4087,3642,3866,5071,1744,2699,2392,1655,5473,1891,8776,3649,1181
ENSG00000003987.14,164,363,93,56,66,112,127,164,88,97,84,106,34,124,91,104,173,37
ENSG00000003989.18,3281,385,108,767,914,606,749,267,728,412,772,615,114,87,290,638,164,885
ENSG00000004059.11,5781,3360,6000,5277,5432,5987,5272,5594,5808,6563,3563,4389,1882,5385,4677,4228,7362,1092
ENSG00000004139.14,203,1792,320,389,299,742,880,724,518,252,534,595,178,548,457,1416,714,79
ENSG00000004142.12,3945,6185,3836,4605,4176,6352,6486,5353,3839,5076,4451,7379,1837,6944,4291,5963,7901,714
ENSG00000004399.13,6767,4746,14681,9996,17301,5692,13329,7545,14409,1316,11101,9620,2846,13096,7089,6161,4964,605
ENSG00000004455.17,10525,7337,7280,6197,5890,8020,5875,5239,10722,8860,4422,11298,2655,8202,3584,7256,5892,1087
ENSG00000004468.13,189,1483,1011,514,161,163,1522,1687,390,757,563,794,193,1209,709,505,2511,25
ENSG00000004478.8,3160,1997,4188,2872,3480,3262,3317,5027,3606,1906,2823,2320,945,3583,2219,3245,4678,1700
ENSG00000004487.17,4561,10790,4717,4136,5460,4237,5387,7464,7945,3142,3361,4142,1031,5012,2896,5801,8400,2111
ENSG00000004534.15,1977,9556,3522,3047,2867,4971,3379,3910,5157,1109,3277,2417,1332,5497,1876,6936,3837,1003
ENSG00000004660.15,745,699,268,325,432,978,837,1162,403,595,547,450,325,579,182,330,1264,109
ENSG00000004700.16,1291,1049,1988,1099,1402,961,917,1014,1079,586,950,517,273,1239,612,1377,758,198
ENSG00000004766.17,1203,2033,1800,1320,900,1533,1762,1896,1675,1834,1290,850,428,1637,999,1423,1921,315
ENSG00000004776.13,334,117,1605,1126,796,620,574,410,666,389,299,3272,193,1481,500,377,1027,27
ENSG00000004777.18,615,9438,902,2013,923,1647,2259,3590,2946,511,896,4142,660,3348,1732,3129,2786,333
ENSG00000004779.10,3263,2290,2658,2136,1583,2781,1771,3342,2040,5376,1708,2710,1110,2523,1692,2452,3872,399
ENSG00000004799.8,1575,3474,1608,1815,1675,949,1018,584,1704,408,3583,440,1015,3821,1595,487,1044,202
ENSG00000004809.14,21,1,13,10,24,3,0,3,10,15,28,3,5,0,2,3,3,0
ENSG00000004838.14,139,326,577,264,107,81,34,224,710,266,486,647,60,311,1029,562,106,19
ENSG00000004846.16,18,0,37,6,6,18,6,20,2,5,25,4,2,1,4,7,26,3
ENSG00000004848.8,113,33,20,120,4,314,434,187,192,185,52,116,35,129,223,84,479,9
ENSG00000004864.14,959,1553,2206,1948,1827,2209,2528,1977,2294,730,1562,1081,412,1462,1668,1803,1705,578
ENSG00000004866.22,1235,1120,1663,1241,1245,1109,1475,1511,1516,1126,1124,1671,334,1374,1136,961,2282,201
ENSG00000004897.12,2716,4365,2498,1922,2442,3405,3115,3156,4084,2033,2004,2473,674,3225,1781,3244,3514,509
ENSG00000004939.15,2,9,17,4,6,45,8,195,6,14,4,8,7,12,4,3,1,0
ENSG00000004948.16,22,9,49,6,20,9,18,17,18,8,19,2,5,32,3,9,19,1
ENSG00000004961.15,2011,981,1546,1194,1405,1016,850,1185,1622,1328,696,762,339,1223,605,1031,1098,220
ENSG00000004975.12,1171,3727,1192,1827,1293,2575,2830,1967,1937,1331,1756,2987,609,2858,1305,2910,3192,419
ENSG00000005001.10,1,0,22,5,6,4,0,1,1,0,1,0,1,0,0,0,1,0
ENSG00000005007.13,2696,6998,3974,5359,4485,3946,5949,3739,6486,1354,3483,6055,1429,9032,4654,6731,5774,992
ENSG00000005020.13,2108,2230,2614,2569,2055,6058,6026,1921,1683,2634,4792,682,656,2469,1460,1099,4928,71
ENSG00000005022.6,13192,8971,12293,11103,11681,9253,9147,12514,14709,17289,7492,6334,4392,10260,6910,11432,6816,2925
ENSG00000005059.16,2838,673,3612,2894,1666,3180,1677,734,2048,3769,2199,3973,510,3090,1662,2443,1554,109
ENSG00000005073.6,52,163,15,24,15,94,45,63,18,0,22,1,10,34,147,15,389,250
ENSG00000005075.15,3042,2121,2817,2411,1815,3510,2798,3097,3169,3672,1972,3832,1074,2934,2641,1717,4681,487
ENSG00000005100.13,973,3145,997,1046,876,2077,1844,1762,1442,572,1278,1752,398,2084,977,2603,1908,324
ENSG00000005102.14,20,0,35,32,170,3,9,2,6,10,1,0,2,2,1,7,4,688
ENSG00000005108.16,143,2308,237,617,973,427,820,2364,815,412,747,415,386,886,595,2305,2118,170
ENSG00000005156.12,736,2302,840,706,615,1247,1740,1671,1082,702,957,958,369,1482,732,1671,1711,308
ENSG00000005175.10,909,968,1284,890,964,1225,1014,1335,941,1242,995,1043,301,1585,748,1636,1720,221
ENSG00000005187.12,34,44,70,26,15,24,38,17,39,22,34,15,21,27,32,28,26,56
ENSG00000005189.20,178,1231,348,161,167,150,204,429,442,291,133,428,67,209,250,160,456,29
ENSG00000005194.15,2231,3540,2235,2454,1564,3040,2505,4162,2348,4302,1843,3035,975,3037,2277,3360,4267,318
ENSG00000005206.17,1255,5780,2283,3514,1906,2336,1787,2148,3795,1584,1964,5600,1656,6103,2222,7879,2308,220
ENSG00000005238.20,1442,2085,3163,2807,1965,1430,1894,1712,3389,597,1286,2898,535,1654,1373,1113,1263,196
ENSG00000005243.10,2216,180,2167,1275,1721,1453,1179,273,2208,1287,895,666,417,1165,696,790,1735,85
ENSG00000005249.13,594,958,334,902,487,685,852,1573,1109,573,427,635,188,684,631,698,1340,106
ENSG00000005302.19,2016,2786,2743,1747,1848,1772,1640,1973,2600,2104,1532,1057,612,2126,937,2647,1658,273
ENSG00000005339.15,2479,11479,3523,3654,3837,3937,5641,5370,6074,1412,3750,3860,1114,7183,2815,8349,4477,925
ENSG00000005379.17,357,4489,177,692,255,393,221,1503,972,529,1188,1097,411,2048,149,2704,1304,170
ENSG00000005381.8,20,15,87,85,24,24,12,63,102,6,27,123,11,24,22,28,21,2
ENSG00000005421.9,0,9,9,1,2,6,7,26,5,14,5,10,1,4,2,10,71,2
ENSG00000005436.14,563,1400,494,552,471,657,479,632,936,826,436,663,194,826,402,1074,994,206
ENSG00000005448.17,1432,2077,1022,1293,869,1779,980,1114,1502,1338,671,1675,458,1433,1002,1214,1144,242
ENSG00000005469.12,1330,1395,3222,3884,1428,4021,2862,1608,2045,1657,2292,1542,461,1951,1429,1826,2582,387
ENSG00000005471.19,179,479,146,192,63,561,449,281,170,29,222,333,253,205,132,242,255,42
ENSG00000005483.21,2240,7441,4019,2422,3792,5054,6032,3865,5314,1205,2854,2886,821,4471,2375,4945,4550,1038
ENSG00000005486.17,5670,5240,6496,8295,5654,10440,11738,9866,11068,80190,5969,12465,3673,12126,10794,6491,12950,903
ENSG00000005513.10,219,51283,277,2182,246,2392,7677,21121,2863,2882,3089,762,1881,3932,7334,9688,6111,416
ENSG00000005700.15,2562,3332,2226,1919,2510,2854,1892,1973,2300,1460,1620,1459,641,2305,1229,3294,1961,318
ENSG00000005801.18,790,1419,1210,723,508,1306,949,1453,1130,1514,702,808,378,1514,662,2153,1667,144
ENSG00000005810.18,1360,4962,2450,1345,2707,1665,2573,1481,2092,1186,1415,702,548,2316,1192,3111,1378,337
ENSG00000005812.11,1755,3072,1486,1797,2247,2549,2478,1661,1439,2958,1369,1186,707,3211,1366,2810,3973,198
ENSG00000005844.19,199,2893,2840,543,411,596,1513,494,565,192,800,124,261,652,413,314,194,22
ENSG00000005882.12,873,1543,692,1040,569,1410,1989,1109,1974,1067,1645,1775,439,2586,950,1551,1637,127
ENSG00000005884.18,7832,801,2134,11822,7803,19655,7839,1737,8634,1661,2097,3977,552,8583,2234,11002,1481,130
ENSG00000005889.16,2520,2400,1957,1263,1641,2621,2180,2183,2437,1962,1917,1869,577,2194,702,2352,1723,299
ENSG00000005893.16,21455,11647,20026,17802,26775,25000,20181,11990,33688,15203,12426,16742,4699,21516,11335,14321,14807,1331
ENSG00000005961.19,77,201,43,115,74,241,74,115,103,35,55,115,53,92,28,85,58,80
ENSG00000005981.13,1,103,8,15,7,16,32,23,5,23,14,3,5,11,27,15,46,2
ENSG00000006007.12,2990,3167,2672,3047,2361,3673,3473,4757,3171,3645,3138,1885,1173,4530,2873,3971,4414,379
ENSG00000006015.18,1871,2015,1714,1757,1399,1479,1218,1456,1321,1577,1057,1609,889,2697,894,2637,1362,143
ENSG00000006016.11,1019,78,32,282,137,17,5,174,89,405,82,62,40,271,35,166,39,293
ENSG00000006025.12,307,3000,924,656,329,1063,1254,914,1892,279,883,1348,430,1641,443,1815,1027,123
ENSG00000006042.12,1330,3977,2339,2706,1057,3525,3682,781,144,2804,805,2814,288,937,1891,4083,5249,1162
ENSG00000006047.13,12,67,28,40,22,95,15,81,175,22,29,24,6,81,8,204,90,18
ENSG00000006059.4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,7,0
ENSG00000006062.17,619,1187,1068,751,533,2050,2066,605,2681,609,794,1455,431,2296,548,1709,1837,66
ENSG00000006071.15,42,974,14,288,8,70,51,136,656,165,287,90,102,266,52,1059,159,6
ENSG00000006116.4,113,25,1,3,2,3,4,215,4,71,23,5,42,85,12,15,124,1
ENSG00000006118.15,3999,4796,3828,5665,3478,7164,9178,6524,7948,2588,7237,12416,2629,7886,4491,5361,7307,890
ENSG00000006125.18,9288,21930,8477,10941,8222,16117,18793,20732,10830,10236,14418,14456,3840,22219,13134,21252,17636,1884
ENSG00000006128.12,257,6,5,7,5,4,7,565,1,210,51,2,115,245,19,9,79,56
ENSG00000006194.10,1488,1886,1307,1465,1155,1890,1365,2152,1981,953,1078,2253,517,2129,1123,1714,2132,250
ENSG00000006210.7,3348,2073,1232,4329,2416,2346,4255,2635,1634,1631,2184,2232,1200,5613,2353,3504,2737,130
