sample,condition
TCGA-06-0139,Control
TCGA-06-0168,Control
TCGA-14-1825,Control
TCGA-28-5218,Control
TCGA-32-1982,Control
TCGA-06-0129,Treatment
TCGA-06-0152,Treatment
TCGA-06-0156,Treatment
TCGA-06-0157,Treatment
TCGA-06-0158,Treatment
TCGA-06-0174,Treatment
TCGA-06-0210,Treatment
TCGA-06-0210,Treatment
TCGA-06-0211,Treatment
TCGA-06-0644,Treatment
TCGA-06-0744,Treatment
TCGA-06-0882,Treatment
TCGA-06-1804,Treatment
TCGA-06-2565,Treatment
TCGA-06-2567,Treatment
TCGA-06-5408,Treatment
TCGA-08-0386,Treatment
TCGA-12-0618,Treatment
TCGA-12-0619,Treatment
TCGA-12-0821,Treatment
TCGA-12-1597,Treatment
TCGA-12-3650,Treatment
TCGA-12-5299,Treatment
TCGA-14-0787,Treatment
TCGA-14-0871,Treatment
TCGA-14-1034,Treatment
TCGA-14-2554,Treatment
TCGA-15-0742,Treatment
TCGA-19-1787,Treatment
TCGA-19-2624,Treatment
TCGA-19-2625,Treatment
TCGA-19-5960,Treatment
TCGA-26-5136,Treatment
TCGA-27-1830,Treatment
TCGA-27-1837,Treatment
TCGA-27-2519,Treatment
TCGA-27-2523,Treatment
TCGA-28-5204,Treatment
TCGA-28-5207,Treatment
TCGA-28-5208,Treatment
TCGA-28-5220,Treatment
TCGA-32-1970,Treatment
TCGA-32-2615,Treatment
TCGA-32-2616,Treatment
TCGA-32-2632,Treatment
TCGA-32-2638,Treatment
TCGA-76-4925,Treatment
TCGA-76-4927,Treatment
TCGA-76-4931,Treatment
TCGA-76-4932,Treatment
