sample,condition
TCGA-02-2486,Control
TCGA-06-0129,Control
TCGA-06-0158,Control
TCGA-06-0219,Control
TCGA-06-0238,Control
TCGA-06-0646,Control
TCGA-06-0743,Control
TCGA-06-0750,Control
TCGA-06-1804,Control
TCGA-06-2559,Control
TCGA-06-5408,Control
TCGA-06-5412,Control
TCGA-12-0616,Control
TCGA-12-0821,Control
TCGA-12-5295,Control
TCGA-14-0736,Control
TCGA-14-0781,Control
TCGA-14-1402,Control
TCGA-14-2554,Control
TCGA-19-0957,Control
TCGA-19-1389,Control
TCGA-19-1390,Control
TCGA-19-1787,Control
TCGA-26-5135,Control
TCGA-27-1831,Control
TCGA-27-1835,Control
TCGA-27-2519,Control
TCGA-28-1747,Control
TCGA-28-5215,Control
TCGA-28-5218,Control
TCGA-32-5222,Control
TCGA-76-4929,Control
TCGA-76-4932,Control
TCGA-14-0871,Treatment
TCGA-26-5136,Treatment
TCGA-32-1982,Treatment
TCGA-32-2616,Treatment
