sample,condition
TCGA-02-0047,Control
TCGA-02-0055,Control
TCGA-02-2486,Control
TCGA-06-0125,Control
TCGA-06-0125,Control
TCGA-06-0132,Control
TCGA-06-0139,Control
TCGA-06-0190,Control
TCGA-06-0211,Control
TCGA-06-0211,Control
TCGA-06-0221,Control
TCGA-06-0649,Control
TCGA-06-0686,Control
TCGA-06-0745,Control
TCGA-06-0747,Control
TCGA-06-1804,Control
TCGA-06-2557,Control
TCGA-06-2565,Control
TCGA-06-5412,Control
TCGA-06-5418,Control
TCGA-06-5856,Control
TCGA-08-0386,Control
TCGA-14-0787,Control
TCGA-14-0789,Control
TCGA-14-1034,Control
TCGA-14-1823,Control
TCGA-14-1825,Control
TCGA-14-2554,Control
TCGA-15-0742,Control
TCGA-15-1444,Control
TCGA-19-2625,Control
TCGA-19-2629,Control
TCGA-27-2521,Control
TCGA-27-2526,Control
TCGA-27-2528,Control
TCGA-28-5208,Control
TCGA-28-5220,Control
TCGA-32-1970,Control
TCGA-41-4097,Control
TCGA-41-5651,Control
TCGA-06-0152,Treatment
TCGA-06-0156,Treatment
TCGA-06-0210,Treatment
TCGA-06-0646,Treatment
TCGA-12-0821,Treatment
TCGA-12-3653,Treatment
TCGA-14-0736,Treatment
TCGA-14-0790,Treatment
TCGA-14-0817,Treatment
TCGA-14-0871,Treatment
TCGA-16-0846,Treatment
TCGA-19-0957,Treatment
TCGA-26-5135,Treatment
TCGA-26-5136,Treatment
TCGA-27-2519,Treatment
TCGA-28-1747,Treatment
TCGA-28-5218,Treatment
TCGA-32-2616,Treatment
TCGA-41-3915,Treatment
