sample,condition
TCGA-06-0141,Control
TCGA-06-0178,Control
TCGA-06-0184,Control
TCGA-06-0190,Control
TCGA-06-0219,Control
TCGA-06-0238,Control
TCGA-06-0646,Control
TCGA-06-0649,Control
TCGA-06-0743,Control
TCGA-06-0744,Control
TCGA-06-0745,Control
TCGA-06-0882,Control
TCGA-06-2557,Control
TCGA-06-2561,Control
TCGA-06-5410,Control
TCGA-06-5411,Control
TCGA-06-5412,Control
TCGA-12-0618,Control
TCGA-12-5295,Control
TCGA-14-2554,Control
TCGA-19-1389,Control
TCGA-27-1830,Control
TCGA-27-2524,Control
TCGA-28-5208,Control
TCGA-28-5220,Control
TCGA-32-1980,Control
TCGA-41-2571,Control
TCGA-41-3915,Control
TCGA-41-5651,Control
TCGA-76-4928,Control
TCGA-76-4929,Control
TCGA-76-4931,Control
TCGA-76-4932,Control
TCGA-06-0125,Treatment
TCGA-06-0138,Treatment
TCGA-06-0139,Treatment
TCGA-06-0152,Treatment
TCGA-06-0157,Treatment
TCGA-06-0158,Treatment
TCGA-06-0168,Treatment
TCGA-06-0190,Treatment
TCGA-06-0210,Treatment
TCGA-06-0211,Treatment
TCGA-06-0645,Treatment
TCGA-06-2565,Treatment
TCGA-06-2567,Treatment
TCGA-12-1597,Treatment
TCGA-12-3653,Treatment
TCGA-26-5135,Treatment
TCGA-27-1831,Treatment
TCGA-27-1835,Treatment
TCGA-28-5207,Treatment
TCGA-32-2638,Treatment
TCGA-76-4926,Treatment
TCGA-76-4927,Treatment
