sample,condition
TCGA-06-0130,Control
TCGA-06-0138,Control
TCGA-06-0210,Control
TCGA-06-0211,Control
TCGA-06-0644,Control
TCGA-06-0646,Control
TCGA-06-1804,Control
TCGA-06-2561,Control
TCGA-06-5408,Control
TCGA-06-5856,Control
TCGA-12-0619,Control
TCGA-12-5299,Control
TCGA-15-1444,Control
TCGA-19-1787,Control
TCGA-19-2624,Control
TCGA-26-5136,Control
TCGA-27-1830,Control
TCGA-27-1831,Control
TCGA-27-1835,Control
TCGA-28-5215,Control
TCGA-32-1970,Control
TCGA-41-2571,Control
TCGA-41-3915,Control
TCGA-76-4925,Control
TCGA-76-4932,Control
TCGA-06-5411,Treatment
TCGA-08-0386,Treatment
TCGA-12-0821,Treatment
TCGA-19-0957,Treatment
TCGA-27-1837,Treatment
