sample,condition
TCGA-02-0055,Control
TCGA-06-0125,Control
TCGA-06-0132,Control
TCGA-06-0168,Control
TCGA-06-0171,Control
TCGA-06-0190,Control
TCGA-06-0210,Control
TCGA-06-0211,Control
TCGA-06-0211,Control
TCGA-06-0219,Control
TCGA-06-0649,Control
TCGA-06-0743,Control
TCGA-06-0745,Control
TCGA-06-0747,Control
TCGA-06-0750,Control
TCGA-06-0882,Control
TCGA-06-2557,Control
TCGA-06-2561,Control
TCGA-06-2562,Control
TCGA-06-2567,Control
TCGA-06-5418,Control
TCGA-06-5856,Control
TCGA-12-1597,Control
TCGA-12-5299,Control
TCGA-14-0787,Control
TCGA-14-0789,Control
TCGA-14-0790,Control
TCGA-14-1034,Control
TCGA-14-1823,Control
TCGA-14-2554,Control
TCGA-15-0742,Control
TCGA-19-1389,Control
TCGA-19-5960,Control
TCGA-27-1831,Control
TCGA-27-1835,Control
TCGA-27-2523,Control
TCGA-27-2524,Control
TCGA-27-2528,Control
TCGA-28-1747,Control
TCGA-32-1970,Control
TCGA-32-1980,Control
TCGA-32-2616,Control
TCGA-32-5222,Control
TCGA-76-4931,Control
TCGA-76-4932,Control
TCGA-06-0129,Treatment
TCGA-06-0139,Treatment
TCGA-06-0210,Treatment
TCGA-06-0221,Treatment
TCGA-06-0238,Treatment
TCGA-12-0619,Treatment
TCGA-12-0821,Treatment
TCGA-12-3652,Treatment
TCGA-12-3653,Treatment
TCGA-14-0736,Treatment
TCGA-14-0871,Treatment
TCGA-14-1825,Treatment
TCGA-16-0846,Treatment
TCGA-16-1045,Treatment
TCGA-19-0957,Treatment
TCGA-26-5135,Treatment
TCGA-26-5136,Treatment
TCGA-28-5215,Treatment
TCGA-28-5218,Treatment
TCGA-32-1982,Treatment
