sample,condition
TCGA-02-0055,Control
TCGA-02-2486,Control
TCGA-06-0125,Control
TCGA-06-0139,Control
TCGA-06-0141,Control
TCGA-06-0152,Control
TCGA-06-0157,Control
TCGA-06-0158,Control
TCGA-06-0171,Control
TCGA-06-0178,Control
TCGA-06-0184,Control
TCGA-06-0187,Control
TCGA-06-0190,Control
TCGA-06-0190,Control
TCGA-06-0210,Control
TCGA-06-0211,Control
TCGA-06-0211,Control
TCGA-06-0211,Control
TCGA-06-0219,Control
TCGA-06-0644,Control
TCGA-06-0645,Control
TCGA-06-0649,Control
TCGA-06-0743,Control
TCGA-06-0744,Control
TCGA-06-0747,Control
TCGA-06-0750,Control
TCGA-06-1804,Control
TCGA-06-2557,Control
TCGA-06-2565,Control
TCGA-06-2567,Control
TCGA-06-5410,Control
TCGA-06-5412,Control
TCGA-06-5418,Control
TCGA-06-5856,Control
TCGA-12-0619,Control
TCGA-12-3650,Control
TCGA-12-3652,Control
TCGA-12-3653,Control
TCGA-12-5295,Control
TCGA-14-0736,Control
TCGA-14-0790,Control
TCGA-14-0817,Control
TCGA-14-1034,Control
TCGA-14-1034,Control
TCGA-14-1402,Control
TCGA-14-1823,Control
TCGA-15-0742,Control
TCGA-16-1045,Control
TCGA-19-2625,Control
TCGA-19-2629,Control
TCGA-26-5136,Control
TCGA-27-1831,Control
TCGA-27-1832,Control
TCGA-27-1835,Control
TCGA-27-2523,Control
TCGA-27-2524,Control
TCGA-27-2526,Control
TCGA-27-2528,Control
TCGA-28-1747,Control
TCGA-28-5204,Control
TCGA-28-5208,Control
TCGA-28-5220,Control
TCGA-32-1982,Control
TCGA-32-2615,Control
TCGA-32-2616,Control
TCGA-32-2632,Control
TCGA-32-2638,Control
TCGA-32-5222,Control
TCGA-41-2572,Control
TCGA-41-3915,Control
TCGA-41-4097,Control
TCGA-76-4925,Control
TCGA-76-4927,Control
TCGA-76-4928,Control
TCGA-76-4932,Control
TCGA-02-0047,Treatment
TCGA-06-0125,Treatment
TCGA-06-0129,Treatment
TCGA-06-0130,Treatment
TCGA-06-0132,Treatment
TCGA-06-0138,Treatment
TCGA-06-0156,Treatment
TCGA-06-0168,Treatment
TCGA-06-0174,Treatment
TCGA-06-0210,Treatment
TCGA-06-0221,Treatment
TCGA-06-0238,Treatment
TCGA-06-0646,Treatment
TCGA-06-0686,Treatment
TCGA-06-0745,Treatment
TCGA-06-0749,Treatment
TCGA-06-0882,Treatment
TCGA-06-2558,Treatment
TCGA-06-2559,Treatment
TCGA-06-2561,Treatment
TCGA-06-2562,Treatment
TCGA-06-5408,Treatment
TCGA-06-5411,Treatment
TCGA-08-0386,Treatment
TCGA-12-0616,Treatment
TCGA-12-0618,Treatment
TCGA-12-0821,Treatment
TCGA-12-1597,Treatment
TCGA-12-5299,Treatment
TCGA-14-0781,Treatment
TCGA-14-0787,Treatment
TCGA-14-0789,Treatment
TCGA-14-0871,Treatment
TCGA-14-1825,Treatment
TCGA-14-2554,Treatment
TCGA-15-1444,Treatment
TCGA-16-0846,Treatment
TCGA-19-0957,Treatment
TCGA-19-1389,Treatment
TCGA-19-1390,Treatment
TCGA-19-1787,Treatment
TCGA-19-2620,Treatment
TCGA-19-2624,Treatment
TCGA-19-5960,Treatment
TCGA-26-5135,Treatment
TCGA-27-1830,Treatment
TCGA-27-1834,Treatment
TCGA-27-1837,Treatment
TCGA-27-2519,Treatment
TCGA-27-2521,Treatment
TCGA-28-5207,Treatment
TCGA-28-5215,Treatment
TCGA-28-5218,Treatment
TCGA-32-1970,Treatment
TCGA-32-1980,Treatment
TCGA-41-2571,Treatment
TCGA-41-5651,Treatment
TCGA-76-4926,Treatment
TCGA-76-4929,Treatment
TCGA-76-4931,Treatment
