,0
0,C3L-00017-02
1,C3L-00102-01
2,C3L-00189-02
3,C3L-00277-03
4,C3L-00401-02
5,C3L-00589-01
6,C3L-00598-02
7,C3L-00599-01
8,C3L-00622-01
9,C3L-00640-01
10,C3L-00819-01
11,C3L-00881-71
12,C3L-00928-03
13,C3L-01032-01
14,C3L-01036-01
15,C3L-01037-01
16,C3L-01039-03
17,C3L-01039-03-2
18,C3L-01039-03-3
19,C3L-01051-02
20,C3L-01052-02
21,C3L-01054-04
22,C3L-01124-01
23,C3L-01158-01
24,C3L-01160-01
25,C3L-01328-01
26,C3L-01598-02
27,C3L-01637-02
28,C3L-01662-03
29,C3L-01687-03
30,C3L-01689-03
31,C3L-01703-02
32,C3L-02109-02
33,C3L-02112-02
34,C3L-02115-02
35,C3L-02116-03
36,C3L-02118-01
37,C3L-02463-02
38,C3L-02604-01
39,C3L-02610-03
40,C3L-02613-02
41,C3L-02701-02
42,C3L-02809-04
43,C3L-02888-02
44,C3L-02888-02-2
45,C3L-02890-02
46,C3L-02897-01
47,C3L-02899-01
48,C3L-02956-01
49,C3L-02956-01-2
50,C3L-03348-03
51,C3L-03348-03-2
52,C3L-03356-02
53,C3L-03388-02
54,C3L-03394-03
55,C3L-03395-02
56,C3L-03622-02
57,C3L-03628-02
58,C3L-03629-02
59,C3L-03629-02-2
60,C3L-03630-03
61,C3L-03632-03
62,C3L-03635-01
63,C3L-04027-01
64,C3L-04072-01
65,C3L-04080-02
66,C3L-04473-01
67,C3L-04475-01
68,C3L-04479-02
69,C3L-04495-03
70,C3L-04848-03
71,C3L-04853-01
72,C3N-00198-02
73,C3N-00249-03
74,C3N-00302-02
75,C3N-00436-01
76,C3N-00511-03
77,C3N-00512-01
78,C3N-00513-03
79,C3N-00514-01
80,C3N-00517-01
81,C3N-00518-01
82,C3N-00709-01
83,C3N-00957-01
84,C3N-01011-02
85,C3N-01012-02
86,C3N-01165-03
87,C3N-01166-02
88,C3N-01167-01
89,C3N-01168-02
90,C3N-01375-02
91,C3N-01380-01
92,C3N-01381-02
93,C3N-01382-01
94,C3N-01383-03
95,C3N-01385-02-2
96,C3N-01385-02-3
97,C3N-01388-03
98,C3N-01714-02
99,C3N-01715-02
100,C3N-01716-03
101,C3N-01719-04
102,C3N-01897-01
103,C3N-01898-04
104,C3N-01898-04-2
105,C3N-01899-02
106,C3N-01899-02-2
107,C3N-01899-02-3
108,C3N-01997-03
109,C3N-01998-03
110,C3N-02295-04
111,C3N-02573-01
112,C3N-02585-01
113,C3N-02589-01
114,C3N-02592-01
115,C3N-02594-01
116,C3N-02754-01
117,C3N-02754-01-2
118,C3N-02754-01-3
119,C3N-02765-02
120,C3N-02765-02-2
121,C3N-02765-02-3
122,C3N-02768-02
123,C3N-02930-01
124,C3N-02930-01-2
125,C3N-02930-01-3
126,C3N-02940-01
127,C3N-02944-01
128,C3N-02971-01
129,C3N-02996-02
130,C3N-02997-01
131,C3N-02998-03
132,C3N-03007-02
133,C3N-03039-01
134,C3N-03069-01
135,C3N-03086-02
136,C3N-03173-01
137,C3N-03190-01
138,C3N-03211-02
139,C3N-03426-01
140,C3N-03428-02
141,C3N-03430-02
142,C3N-03439-02
143,C3N-03440-01
144,C3N-03665-01
145,C3N-03666-01
146,C3N-03670-01
147,C3N-03754-01
148,C3N-03780-01
149,C3N-03839-05
150,C3N-03840-02
151,C3N-03884-01
152,C3N-04119-02
153,C3N-04126-02
154,C3N-04282-01
155,C3N-04283-03
