,,0
MAGEB17,NDN,-0.4630983690375759
MAGEB17,MAGED2,-0.43022154929713985
MAGEB17,NSMCE3,-0.4055234365371539
MAGEB17,TRIM28,-0.3648916827979079
MAGEB17,MAGEH1,-0.3484746876707329
MAGEA5,MAGEE1,-0.33622888173134247
MAGEB17,MAGEF1,-0.3347517936225475
MAGEB17,MAGED1,-0.33029391437148287
MAGEB17,MAGEE2,-0.3094908432362717
MAGEB17,MAGEC3,-0.29183565404590955
MAGEA5,TRO,-0.2827149940941206
MAGEA5,MAGEB17,-0.23395428854905106
CSAG4,MAGEE1,-0.20746477115751946
MAGEA10,MAGEB17,-0.20710566864079574
MAGEB2,MAGEB17,-0.20576750095301075
MAGEA5,MAGEH1,-0.20433902805716145
MAGEB17,MAGEL2,-0.19942886136522664
MAGEA6,TRO,-0.19615502274578092
MAGEA6,MAGED1,-0.19115935908936746
MAGEC2,MAGEF1,-0.1867480097678541
MAGEA6,MAGED4B,-0.18595025059063705
MAGEB3,MAGEH1,-0.17932505653975042
MAGEB3,MAGED2,-0.17915332399737652
MAGEA6,MAGED2,-0.17876614805662303
MAGEA5,MAGEL2,-0.1776356093149725
MAGEA8,CSAG4,-0.16880074434863712
MAGEA8,MAGEB3,-0.16880074434863707
MAGEA5,MAGED1,-0.16756294320025386
CSAG3,MAGED4B,-0.1632338348964459
MAGEB3,MAGEF1,-0.15875699040102498
