sample,MAGEA1,MAGEA2,MAGEA2B,MAGEA3,MAGEA4,MAGEA5,MAGEA6,MAGEA7P,MAGEA8,MAGEA9,MAGEA9B,MAGEA10,MAGEA11,MAGEA12,MAGEB1,MAGEB2,MAGEB3,MAGEB4,MAGEB5,MAGEB6,MAGEB10,MAGEB16,MAGEB17,MAGEB18,MAGEC1,MAGEC2,MAGEC3,CSAG1,CSAG2,CSAG3,CSAG4,MAGED1,MAGED2,TRO,MAGED4,MAGED4B,MAGEE1,MAGEE2,MAGEF1,NSMCE3,MAGEH1,MAGEL2,TRIM28,NDN,source
C3L-00017-02,0.0,0.0,0.0,0.0,0.0,0.5848,0.0,0.0,0.0,0.0,0.0,0.0475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045,0.0,0.0,0.0,44.7192,106.6235,2.7888,0.0143,0.0139,0.9098,0.3643,32.9927,7.037,17.9322,0.3029,64.7977,15.2821,df_numeric
C3L-00102-01,0.0,0.0,0.0,0.0,0.0,0.1738,0.0,0.0,0.1732,0.0,0.0,0.0,0.0236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5165,146.8381,6.949,0.017,0.0,1.3071,1.0108,38.315,8.8414,41.6774,0.4171,77.6363,29.5546,df_numeric
C3L-00189-02,0.0,0.0,0.0,0.0,0.0,0.1785,0.0,0.0,0.1423,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2609,0.0,0.0197,0.0,0.1825,0.077,0.1552,0.0,0.0,76.9663,175.4755,16.1324,0.035,0.034,2.5218,1.223,44.3739,10.3632,42.0851,1.3234,57.838,44.1435,df_numeric
C3L-00277-03,0.0,0.0,0.0,0.0,0.0,1.1846,0.0,0.0,0.1259,0.0,0.0,0.2566,0.0,0.0,0.0,0.0,0.0,0.0,0.2447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.556,133.2166,5.6272,0.0,0.015,1.4334,0.492,54.6693,9.4955,23.8164,0.2584,56.2706,20.2964,df_numeric
C3L-00401-02,0.0,0.0,0.0,0.0,0.0,0.3063,0.0,0.0,0.2137,0.0,0.0,0.0,0.0,0.0,0.0,0.3591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4957,110.3053,6.0797,0.075,0.0292,1.1715,0.2227,33.6312,6.6409,33.1642,1.3362,44.748,31.8686,df_numeric
C3L-00589-01,0.7828,0.0,0.0,0.0,0.0229,0.2245,0.0,0.0,0.0597,0.0389,0.0,0.0486,0.0,0.0,0.0,0.0,0.0,0.0,0.1159,0.0,0.0,0.0,0.0875,0.0,0.0,0.0,0.0255,0.1291,0.0,0.1302,0.0,46.3777,182.16,6.8855,0.0,0.0,1.397,0.373,59.8421,10.5141,35.5401,0.1795,58.1491,29.4028,df_numeric
C3L-00598-02,0.0,0.0,0.0,0.0,0.0,0.2768,0.0,0.0,0.0,0.0,0.0,0.1499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.2338,141.2893,9.7194,0.0,0.0,1.8422,0.6132,54.8793,10.3388,32.5941,1.5496,68.4482,22.117,df_numeric
C3L-00599-01,0.0,0.0,0.0,0.0,0.0,0.3507,0.0,0.1753,0.1747,0.0,0.0,0.0285,0.0,0.042,0.0,0.0,0.0,0.0,0.0679,0.0,0.0,0.0,0.1025,0.0,0.0,0.0,0.0,0.0,0.0,0.0763,0.0,36.5037,105.7569,6.0865,0.0,0.0,1.7502,0.7282,47.868,7.0041,28.3868,0.7648,70.651,27.0355,df_numeric
C3L-00622-01,0.0,0.0,0.0,0.0,0.0,0.152,0.0,0.0,0.0606,0.0,0.0,0.0247,0.0207,0.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1967,0.0,0.0,0.0,67.2017,169.464,14.3063,0.0,0.0145,1.5568,1.0102,42.3847,10.2491,33.4111,0.9615,66.3578,30.689,df_numeric
C3L-00625-03,0.1113,0.0,0.0,0.0,0.0,0.3033,0.0511,0.0,0.1209,0.0,0.0,0.0328,0.0,0.1938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1182,0.0,0.0,0.0,0.0689,0.2616,0.0,0.0,0.0,68.2999,139.2883,8.9181,0.0396,0.0192,2.1754,0.7557,42.2084,8.9233,42.5849,0.8598,82.2402,35.8702,df_numeric
