,MAGEA1,MAGEA2,MAGEA2B,MAGEA3,MAGEA4,MAGEA5,MAGEA6,MAGEA7P,MAGEA8,MAGEA9,MAGEA9B,MAGEA10,MAGEA11,MAGEA12,MAGEB1,MAGEB2,MAGEB3,MAGEB4,MAGEB5,MAGEB6,MAGEB10,MAGEB16,MAGEB17,MAGEB18,MAGEC1,MAGEC2,MAGEC3,CSAG1,CSAG2,CSAG3,CSAG4,MAGED1,MAGED2,TRO,MAGED4,MAGED4B,MAGEE1,MAGEE2,MAGEF1,NSMCE3,MAGEH1,MAGEL2,TRIM28,NDN
MAGEA1,1.0,-0.024012904136364466,-0.041431136869389845,0.4366071240706872,-0.024012904136364463,-0.08836981107082509,0.47007842237371866,0.20689318708912544,-0.05476709209903327,-0.024012904136364463,-0.05938799782107595,-0.022572771325827166,-0.06935604679656249,-0.06356685348020205,-0.024012904136364477,0.07116500448719484,-0.024012904136364466,-0.07749067169613122,-0.04174073373579212,,-0.05421992896100114,,0.36032209397585635,-0.024012904136364463,0.2299597438502523,-0.03419864056043875,-0.09417495508893414,-0.035212760578510395,-0.024012904136364466,0.07439457138988328,-0.02401290413636446,-0.01647397083916938,-0.07433043142741008,-0.05267393973521392,-0.017023926202455388,-0.11386645179301422,0.0764334684733538,-0.04398409919293238,-0.012775579416269323,-0.11578842345040355,-0.06996690776984185,-0.03443033051908615,-0.09818553204443382,-0.10212534983270329
MAGEA2,-0.024012904136364466,1.0,-0.02654414901518126,-0.02699122302209496,-0.01538461538461539,-0.0566168734616705,-0.02688810033953657,-0.032346527816516604,0.05254155211061993,-0.015384615384615387,0.45735314561088997,-0.07779475356452535,-0.04443511282530131,0.08081582633074118,-0.015384615384615384,-0.06901045673874924,-0.015384615384615384,-0.04964681377855919,-0.026742501896067004,,-0.03473768722471823,,-0.09109490348510313,-0.015384615384615387,-0.043765178713441336,-0.021910424857870356,0.22126998990799743,-0.05097875616249705,-0.015384615384615389,-0.024539968959951468,-0.015384615384615389,0.09691532077516002,0.20770573297002123,0.14701447144187513,0.04626184787838758,0.0555710678927638,0.07841978249496336,0.2809620015668661,0.16274790086616703,0.13137174695652892,0.23016294942213258,0.10817291998194353,0.045148407436394505,0.18392777024830687
MAGEA2B,-0.041431136869389845,-0.02654414901518126,1.0,-0.0465698379900312,-0.02654414901518127,0.20914642945374026,-0.04639191323960727,0.26145828353780215,0.24388320394479368,-0.026544149015181255,-0.06564819710784743,0.08703552934479647,-0.07666699666217736,0.03838621624987101,-0.026544149015181262,0.3997029602905663,-0.02654414901518126,0.2045209347481092,-0.04614070209891806,,-0.059935352498819115,,-0.007932902528271734,-0.026544149015181255,0.09338733799144933,-0.03780358285686075,0.065184738245634,0.004085612557038904,-0.026544149015181248,-0.042340518538556846,-0.026544149015181262,-0.06276581826543856,-0.011616278958537665,-0.0017380864272457013,-0.07566564949090916,0.01773830325864916,-0.11484237563429148,-0.06901065899482094,-0.004350601839954879,-0.03400157799088251,-0.04879040116987403,-0.06097899758572924,0.12802479776660802,-0.015782259559660027
MAGEA3,0.4366071240706872,-0.02699122302209496,-0.0465698379900312,1.0,-0.02699122302209496,-0.09933031279714902,0.2633440967050577,-0.05674970250858987,-0.05391155903881351,-0.026991223022094956,-0.06675388719837848,-0.032275090804826434,-0.07795827261817789,-0.07145104604397631,-0.026991223022094966,0.28680389178955207,-0.02699122302209497,-0.08710183449717797,-0.046917834134960215,,-0.06094482310501965,,0.2270758412626686,-0.026991223022094956,0.31720738574514074,-0.038440295650096074,-0.0803436572122425,-0.013093026761838825,-0.026991223022094973,0.025288857964726925,-0.02699122302209495,0.10410857650177369,0.053649813472824805,0.10893256983025511,0.018631139121574984,0.07479389038091368,0.2095788420042871,0.12666401133346308,0.12930200017383475,0.004996160734454632,0.08829135612663565,0.17399059025856567,-0.006963229344559951,0.016047947411153538
MAGEA4,-0.024012904136364463,-0.01538461538461539,-0.02654414901518127,-0.02699122302209496,1.0,0.38478968158329635,-0.02688810033953654,-0.032346527816516604,-0.020356446030558535,-0.01538461538461538,-0.03804877160010007,0.008952090140794807,-0.0444351128253013,-0.04072608570997983,-0.015384615384615394,-0.06901045673874921,-0.015384615384615385,0.21498768883020494,-0.026742501896066993,,-0.03473768722471823,,-0.10745528218050655,-0.01538461538461538,-0.043765178713441336,-0.021910424857870342,-0.0848393297383054,-0.05097875616249702,-0.015384615384615385,-0.02453996895995145,-0.015384615384615363,-0.11007427232023077,-0.06682871174642332,-0.13890001388827222,-0.07094090452217307,-0.10639550767382731,-0.1469498486894609,-0.05858079474950883,-0.00638658288465212,-0.038724865962088885,-0.0983698113151152,-0.10879902616475483,0.1392706512197009,0.0025306559792244374
MAGEA5,-0.08836981107082509,-0.0566168734616705,0.20914642945374026,-0.09933031279714902,0.38478968158329635,1.0,-0.09895081134563562,-0.03566280321304723,-0.0886840713622296,-0.05661687346167049,-0.09056712146546958,0.28755035875031476,-0.08608831265934506,-0.07856968959047489,-0.056616873461670505,0.020312579137394617,-0.05661687346167049,0.15383558143063839,-0.09841499498337704,,-0.027010269563453537,,-0.23395428854905106,-0.05661687346167049,0.013191177368801089,-0.08063248385851653,-0.056413163130510154,-0.07830150255556693,-0.056616873461670505,-0.09030946062832813,0.4409446741536955,-0.16756294320025386,-0.08271371402682999,-0.2827149940941206,0.06410703595953902,-0.09158651037294194,-0.33622888173134247,-0.09455598977875705,0.01715187873049866,-0.08453298407500642,-0.20433902805716145,-0.1776356093149725,0.4208701973950669,0.02664362054023292
MAGEA6,0.47007842237371866,-0.02688810033953657,-0.04639191323960727,0.2633440967050577,-0.02688810033953654,-0.09895081134563562,1.0,-0.05653288456179705,0.15309756549286424,-0.02688810033953656,-0.06649884725767397,-0.13596395408261092,0.007059720714618741,-0.07117806013542272,-0.02688810033953655,-0.033951376536676944,-0.026888100339536578,-0.08676905317705205,-0.046738579830260245,,-0.060711977278007936,,0.21275665276806421,-0.02688810033953656,0.11697414895562702,0.34283238842001756,-0.12703003899719745,-0.08909692420732922,-0.026888100339536553,0.6785162049986478,-0.026888100339536536,-0.19115935908936746,-0.17876614805662303,-0.19615502274578092,-0.050731140530454466,-0.18595025059063705,0.04262069360558775,-0.15197692058224735,-0.13916700953441602,-0.026808023626257803,-0.14731935920216593,-0.12148309064661732,-0.09545044061529041,-0.1153398151226181
MAGEA7P,0.20689318708912544,-0.032346527816516604,0.26145828353780215,-0.05674970250858987,-0.032346527816516604,-0.03566280321304723,-0.05653288456179705,1.0,0.12315316467626697,-0.03234652781651659,-0.07999846718155003,-0.046871628916610654,-0.09342590484718807,-0.08562758517792057,-0.03234652781651661,-0.03625760210808014,-0.0323465278165166,-0.104383632787823,-0.05622676029518462,,-0.07303683179622705,,0.013698662729798606,-0.03234652781651659,0.15885480982944047,-0.046067200863892,-0.08081956120015388,-0.0244535186315666,-0.032346527816516604,-0.051595881257669056,-0.03234652781651658,-0.1332541441081313,-0.03937001943828883,-0.03781893948454665,0.007407773846040407,0.09844736917564217,-0.016845781537405076,-0.027471396478533784,-0.10403230972265422,-0.1172938499286577,-0.11117739555476322,-0.05872948496431795,-0.028416482977310593,-0.07710194159226245
MAGEA8,-0.05476709209903327,0.05254155211061993,0.24388320394479368,-0.05391155903881351,-0.020356446030558535,-0.0886840713622296,0.15309756549286424,0.12315316467626697,1.0,-0.04586377616408751,-0.08174953710050092,0.01970135719656459,0.07433376222827068,-0.027863963266964744,-0.07164987493295559,0.2462705463685168,-0.16880074434863707,-0.05666184133036592,0.10419614409347577,,-0.15643348000796728,,-0.120218696987316,-0.04586377616408751,0.18939929104369974,-0.15065479761871195,0.22741037996028277,0.2628016556624454,0.32601358337829134,0.40239685618947135,-0.16880074434863712,0.07816336091071265,0.28399935756313816,0.10108354652385008,0.19210006286007414,0.13848024542520773,0.37115951164130084,0.1016843305977283,0.27269955895353665,0.4995225823050203,0.30443541723143663,0.022189097466352874,0.3849332615662332,0.34641911625448085
MAGEA9,-0.024012904136364463,-0.015384615384615387,-0.026544149015181255,-0.026991223022094956,-0.01538461538461538,-0.05661687346167049,-0.02688810033953656,-0.03234652781651659,-0.04586377616408751,1.0,-0.03804877160010006,-0.07779475356452534,-0.0444351128253013,-0.04072608570997983,-0.01538461538461538,-0.06901045673874921,-0.015384615384615387,-0.049646813778559194,-0.026742501896067,,-0.03473768722471823,,0.028799288027348796,1.0,-0.04376517871344132,-0.021910424857870345,-0.04701403737611904,-0.012838858825220713,-0.015384615384615387,-0.024539968959951457,-0.015384615384615384,-0.09729405344090547,-0.12334281400651656,-0.08435751517449874,-0.07094090452217307,0.0736857506863957,-0.05507915144791729,-0.003558071724156384,-0.13177619649589759,-0.1286862653160424,-0.10796159939405787,-0.060152953378730334,-0.13700982626177,-0.1007658729623511
