,Positive_counts,Positive_counts_percentage,Negative_counts,Negative_counts_percentage
MAGEA1,26,14.5,153,85.5
MAGEA2,4,2.2,175,97.8
MAGEA2B,3,1.7,176,98.3
MAGEA3,29,16.2,150,83.8
MAGEA4,24,13.4,155,86.6
MAGEA5,59,33.0,120,67.0
MAGEA6,28,15.6,151,84.4
MAGEA7P,5,2.8,174,97.2
MAGEA8,102,57.0,77,43.0
MAGEA9,3,1.7,176,98.3
MAGEA9B,10,5.6,169,94.4
MAGEA10,68,38.0,111,62.0
MAGEA11,24,13.4,155,86.6
MAGEA12,88,49.2,91,50.8
MAGEB1,9,5.0,170,95.0
MAGEB2,41,22.9,138,77.1
MAGEB3,5,2.8,174,97.2
MAGEB4,6,3.4,173,96.6
MAGEB5,41,22.9,138,77.1
MAGEB6,9,5.0,170,95.0
MAGEB10,7,3.9,172,96.1
MAGEB16,9,5.0,170,95.0
MAGEB17,134,74.9,45,25.1
MAGEB18,8,4.5,171,95.5
MAGEC1,29,16.2,150,83.8
MAGEC2,32,17.9,147,82.1
MAGEC3,97,54.2,82,45.8
CSAG1,141,78.8,38,21.2
CSAG2,28,15.6,151,84.4
CSAG3,59,33.0,120,67.0
CSAG4,9,5.0,170,95.0
MAGED1,179,100.0,0,0.0
MAGED2,179,100.0,0,0.0
TRO,179,100.0,0,0.0
MAGED4,94,52.5,85,47.5
MAGED4B,140,78.2,39,21.8
MAGEE1,179,100.0,0,0.0
MAGEE2,164,91.6,15,8.4
MAGEF1,179,100.0,0,0.0
NSMCE3,179,100.0,0,0.0
MAGEH1,179,100.0,0,0.0
MAGEL2,179,100.0,0,0.0
TRIM28,179,100.0,0,0.0
NDN,179,100.0,0,0.0
