sample,MAGEA1,MAGEA2,MAGEA2B,MAGEA3,MAGEA4,MAGEA5,MAGEA6,MAGEA7P,MAGEA8,MAGEA9,MAGEA9B,MAGEA10,MAGEA11,MAGEA12,MAGEB1,MAGEB2,MAGEB3,MAGEB4,MAGEB5,MAGEB6,MAGEB10,MAGEB16,MAGEB17,MAGEB18,MAGEC1,MAGEC2,MAGEC3,CSAG1,CSAG2,CSAG3,CSAG4,MAGED1,MAGED2,TRO,MAGED4,MAGED4B,MAGEE1,MAGEE2,MAGEF1,NSMCE3,MAGEH1,MAGEL2,TRIM28,NDN,Category
TCGA-HV-A5A6-01A,0.0,0.0,0.0,0.0,0.0,0.09453609453609453,0.0006425196850393701,0.0,1.0,0.0,0.0,0.014002613821246632,0.0,0.0,0.0,0.48152810729676077,0.0,0.0,0.0,0.0,0.0,0.0,0.003167126302581342,0.0,0.0,0.0,0.11614173228346457,0.0,0.0,0.0,0.0,0.3386248365789392,0.4679453795869508,0.10394610699528926,0.055033089515848135,0.11382474837181764,0.09751090870340666,0.0,0.3996710617576817,0.45199344732964947,0.08184801305656271,0.04102278018396338,0.6986210247832252,0.1811100465734039,Medium expressed
TCGA-IB-A7LX-01A,0.0,0.35767195767195764,0.0,0.0,0.0,0.19082719082719082,0.0,0.0,0.7404264127509833,0.0,0.0,0.04240791614434695,0.018123928483957875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064013527386919495,0.0,0.0,0.0,0.5473847019122609,0.0,0.0,0.0,0.0,0.17935094537642873,0.22847356363886892,0.07331474538035965,0.11145942180424938,0.046033155713439904,0.06167764080359847,0.019775385873056037,0.24812185663736858,0.20033038096840775,0.04414844607406895,0.017192757430135208,0.6377999300171721,0.08730523562645773,Medium expressed
TCGA-LB-A7SX-01A,0.030698085512713268,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5642724073690748,1.0,0.07641831852358168,1.0,0.1011511143766838,1.0,1.0,0.905655352733259,0.667621776504298,0.0,0.0,0.34763948497854075,0.5851063829787234,0.0,0.2526252927243325,0.0,0.10703679010849143,1.0,0.05469628796400449,1.0,0.40287185044703333,1.0,1.0,0.21505510507074074,0.21537985246234206,0.03738090746765412,0.0,0.0,0.015331074941951116,0.018432372462385896,0.3533716496230005,0.24786814983223376,0.03538432269080915,0.009281629138956487,0.48987954256311095,0.06613562519652029,Medium expressed
TCGA-2J-AAB8-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5433657627820327,0.0,0.0,0.0,0.4016654420769042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01937851856325194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40905565976953145,0.6173067375206531,0.2529813508911106,0.0,0.0,0.07421283469248113,0.13307511143118517,0.5129843785342175,0.4781388767733937,0.09905255801082387,0.07254869231377441,0.47555708151381354,0.23034460143838714,Medium expressed
TCGA-HV-A5A3-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49099565307389775,0.0,0.0,0.0,0.0,0.00888740029910269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004670169293636894,0.0,0.0,0.0,0.0,0.008135172268019446,0.0,0.0,0.0,0.21951028224757108,0.24136736023029048,0.09444454493538576,0.0,0.0,0.020762992293800266,0.0,0.26346197218679956,0.22296594191201977,0.0391630057767114,0.04104035070765284,0.7056895937962043,0.08235085877460065,Medium expressed
TCGA-2L-AAQA-01A,0.0,0.0,0.0,0.0,0.0,0.15818415818415815,0.0,0.0,0.44649140964603606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04343861394346349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03248031496062992,0.0030833861762840837,0.0,0.0,0.0,0.19605726563916678,0.23844395649705918,0.09362798425795048,0.0,0.0,0.026060303536775513,0.021858029857718436,0.31242376697933966,0.3611455496447203,0.04381943767472429,0.025916522441951383,0.4499503951198102,0.09985513492544298,Medium expressed
TCGA-IB-A6UF-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36120885944938935,0.0,0.0,0.0031605899767956683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4464842885037341,0.0,0.0,0.0,0.03501124859392576,0.0,0.0,0.0,0.0,0.25752378562198874,0.41272209911702656,0.10496163973652996,0.09961685823754789,0.08229721728833629,0.048797518760726424,0.0,0.24893718480695684,0.2660631432898664,0.050269692548136645,0.016072636544932222,0.7162274704848435,0.111634392038553,Medium expressed
TCGA-HZ-A4BH-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2999379010556821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145001056859015,0.21430506637767543,0.012083183662863125,0.0,0.35001374863969276,0.5034026260654954,0.18742910005193947,0.0,0.025606867969212552,0.12027055827883656,0.06611908052241276,0.3081767493081297,0.4604281215334898,0.10574730897072651,0.09490718370861044,0.3865529816527679,0.2699639598657204,Medium expressed
TCGA-3A-A9IR-01A,0.003544879180542622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2804802318360588,0.0,0.045522898154477104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4561304836895388,0.0,0.0,0.0,0.0,1.0,0.8845328410899441,0.5513024918020926,0.23197492163009406,0.03833629366489047,0.7412926673322192,1.0,1.0,0.831931560998561,0.2017682334332282,0.0013002187530199339,0.5634987975493875,0.03433010884233626,Medium expressed
TCGA-HZ-8002-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2417718898778721,0.0,0.0,0.0031739257994825706,0.0,0.0013669927716849451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42111650485436897,0.02010991001872094,0.0,0.009818776895569429,0.0,0.03515185601799775,0.0066740646797717185,0.0,0.0,0.0,0.31087777637558295,0.42544374703794097,0.2913803751527821,0.0,0.0,0.19432074392309506,0.11246277517176947,0.2519820993362158,0.5747770271894608,0.23044522658733776,0.1325783864988096,0.45060572564708834,0.33237423463097243,Medium expressed
