,SampleType,Gene,Expression,LogExpression
0,Tumor,CSAG1,0.0,0.0
1,Tumor,CSAG1,0.077,0.03221570329798157
2,Tumor,CSAG1,0.0,0.0
3,Tumor,CSAG1,0.0,0.0
4,Tumor,CSAG1,0.1291,0.05273240740321835
5,Tumor,CSAG1,0.0,0.0
6,Tumor,CSAG1,0.0,0.0
7,Tumor,CSAG1,0.1967,0.07798529102950204
8,Tumor,CSAG1,0.2616,0.10092168032084647
9,Tumor,CSAG1,0.0896,0.0372670945687099
10,Tumor,CSAG1,0.1138,0.04680721355374023
11,Tumor,CSAG1,0.197,0.07809415040641068
12,Tumor,CSAG1,0.2626,0.10126578499133501
13,Tumor,CSAG1,0.166,0.06669855042299526
14,Tumor,CSAG1,0.0,0.0
15,Tumor,CSAG1,0.4144,0.1505722476689979
16,Tumor,CSAG1,0.056,0.023663918197793475
17,Tumor,CSAG1,0.1065,0.04395141826327677
18,Tumor,CSAG1,0.2883,0.1100170067921121
19,Tumor,CSAG1,0.1857,0.07397481986665856
20,Tumor,CSAG1,0.0491,0.020816887028907154
21,Tumor,CSAG1,0.0405,0.017242084547645732
22,Tumor,CSAG1,0.2448,0.09509957964561368
23,Tumor,CSAG1,0.1651,0.06636320225849458
24,Tumor,CSAG1,0.0,0.0
25,Tumor,CSAG1,0.1511,0.061113053917978805
26,Tumor,CSAG1,0.1079,0.044500562370641136
27,Tumor,CSAG1,0.0805,0.03362477121926014
28,Tumor,CSAG1,0.0,0.0
29,Tumor,CSAG1,0.3719,0.13732245610034438
30,Tumor,CSAG1,0.1151,0.04731381581538833
31,Tumor,CSAG1,0.2292,0.08962255158434061
32,Tumor,CSAG1,0.0,0.0
33,Tumor,CSAG1,0.1489,0.06028222943834591
34,Tumor,CSAG1,0.1939,0.07696795219791853
35,Tumor,CSAG1,0.1122,0.04618289074088156
36,Tumor,CSAG1,0.0,0.0
37,Tumor,CSAG1,0.3865,0.14191987391388047
38,Tumor,CSAG1,0.1203,0.049334335972283816
39,Tumor,CSAG1,0.3675,0.13592733500546836
40,Tumor,CSAG1,0.0,0.0
41,Tumor,CSAG1,0.0,0.0
42,Tumor,CSAG1,0.0,0.0
43,Tumor,CSAG1,0.1294,0.05284778340086036
44,Tumor,CSAG1,0.2976,0.11314083686708085
45,Tumor,CSAG1,0.1886,0.07503572592219074
46,Tumor,CSAG1,0.0804,0.0335845755154133
47,Tumor,CSAG1,0.2001,0.0792174357465669
48,Tumor,CSAG1,0.2838,0.10849737134825914
49,Tumor,CSAG1,0.1267,0.05180829431709158
50,Tumor,CSAG1,0.0988,0.04091865074852432
51,Tumor,CSAG1,0.331,0.12417805547467511
52,Tumor,CSAG1,0.1103,0.045440339814774244
53,Tumor,CSAG1,0.1212,0.049683089088248505
54,Tumor,CSAG1,0.2616,0.10092168032084647
55,Tumor,CSAG1,0.0815,0.03402652377511024
56,Tumor,CSAG1,0.1984,0.07860180035539122
57,Tumor,CSAG1,0.0,0.0
58,Tumor,CSAG1,0.216,0.08493357493671612
59,Tumor,CSAG1,0.0727,0.030478280622408236
60,Tumor,CSAG1,0.0716,0.030032704936171297
61,Tumor,CSAG1,0.0,0.0
62,Tumor,CSAG1,0.2837,0.10846354120359523
63,Tumor,CSAG1,0.0,0.0
64,Tumor,CSAG1,0.1298,0.05300157040030841
65,Tumor,CSAG1,0.0688,0.02889644513147044
66,Tumor,CSAG1,0.1715,0.06874229293298156
67,Tumor,CSAG1,0.0,0.0
68,Tumor,CSAG1,0.2141,0.08425445911122911
69,Tumor,CSAG1,0.3235,0.12172394563736706
70,Tumor,CSAG1,0.0704,0.0295461004237479
71,Tumor,CSAG1,0.1362,0.05545478494123984
72,Tumor,CSAG1,0.1182,0.04851948792265409
73,Tumor,CSAG1,0.0,0.0
74,Tumor,CSAG1,0.0,0.0
75,Tumor,CSAG1,0.0,0.0
76,Tumor,CSAG1,0.0,0.0
77,Tumor,CSAG1,0.0,0.0
78,Tumor,CSAG1,0.1296,0.052924683707728515
79,Tumor,CSAG1,0.1195,0.049024097915049046
80,Tumor,CSAG1,0.3623,0.1342727566206291
81,Tumor,CSAG1,0.1329,0.054191576796431794
82,Tumor,CSAG1,0.0,0.0
83,Tumor,CSAG1,0.0888,0.03694811219527827
84,Tumor,CSAG1,0.0,0.0
85,Tumor,CSAG1,0.2801,0.10724389757897451
86,Tumor,CSAG1,0.0413,0.017575868391074476
87,Tumor,CSAG1,0.2423,0.0942264852220405
88,Tumor,CSAG1,0.2919,0.11122889823415566
89,Tumor,CSAG1,0.0531,0.022469612767769345
90,Tumor,CSAG1,0.2978,0.11320776982273513
91,Tumor,CSAG1,0.0617,0.026001817357177357
92,Tumor,CSAG1,0.0,0.0
93,Tumor,CSAG1,0.0,0.0
94,Tumor,CSAG1,0.0622,0.026206297083118398
95,Tumor,CSAG1,0.0,0.0
96,Tumor,CSAG1,0.1597,0.06434565716217099
97,Tumor,CSAG1,0.1397,0.05679054827438276
98,Tumor,CSAG1,0.1579,0.06367105393071758
99,Tumor,CSAG1,0.0,0.0
100,Tumor,CSAG1,0.3996,0.14600393381086882
101,Tumor,CSAG1,0.0,0.0
102,Tumor,CSAG1,0.0,0.0
103,Tumor,CSAG1,0.165,0.0663259253620378
104,Tumor,CSAG1,0.0,0.0
105,Tumor,CSAG1,0.0,0.0
106,Tumor,CSAG1,0.0,0.0
107,Tumor,CSAG1,0.0,0.0
108,Tumor,CSAG1,0.0,0.0
109,Tumor,CSAG1,0.0,0.0
110,Tumor,CSAG1,0.0,0.0
111,Tumor,CSAG1,0.2216,0.08692902404836478
112,Tumor,CSAG1,0.3114,0.1177351793304965
113,Tumor,CSAG1,0.1501,0.0607356034493186
114,Tumor,CSAG1,0.3792,0.13962724848063757
115,Tumor,CSAG1,0.2506,0.0971184243446497
116,Tumor,CSAG1,0.0466,0.019780730403646432
117,Tumor,CSAG1,0.0825,0.034427905025403056
118,Tumor,CSAG1,0.0649,0.027308827035545997
119,Tumor,CSAG1,0.0,0.0
120,Tumor,CSAG1,0.0862,0.03590979845660875
121,Tumor,CSAG1,0.0776,0.032457582714929156
122,Tumor,CSAG1,0.0,0.0
123,Tumor,CSAG1,0.0809,0.03378551684223091
124,Tumor,CSAG1,0.0,0.0
125,Tumor,CSAG1,0.0,0.0
126,Tumor,CSAG1,0.0749,0.03136806288577302
127,Tumor,CSAG1,0.0,0.0
128,Tumor,CSAG1,0.0634,0.026696655978159727
129,Tumor,CSAG1,0.1534,0.061979947074878514
130,Tumor,CSAG1,0.0,0.0
131,Tumor,CSAG1,0.1296,0.052924683707728515
132,Tumor,CSAG1,0.1905,0.0757293997408987
133,Tumor,CSAG1,0.2184,0.08578989032798613
134,Tumor,CSAG1,0.0,0.0
135,Tumor,CSAG1,0.1279,0.052270596656748713
136,Tumor,CSAG1,0.0792,0.03310193666384781
137,Tumor,CSAG1,0.0,0.0
138,Tumor,CSAG1,0.0,0.0
139,Tumor,CSAG1,0.1667,0.0669591978671222
140,Tumor,CSAG1,0.0,0.0
141,Tumor,CSAG1,0.0,0.0
142,Tumor,CSAG1,0.0692,0.029058950084499588
143,Tumor,CSAG1,0.0,0.0
144,Tumor,CSAG1,0.086,0.03582982525282817
145,Tumor,CSAG1,0.149,0.060320028688285184
146,Tumor,CSAG1,0.0,0.0
147,Tumor,CSAG1,0.17,0.06818586174616162
148,Tumor,CSAG1,0.2963,0.11270552103089257
149,Tumor,CSAG1,0.2906,0.11079166077110618
150,Tumor,CSAG1,0.1614,0.06498182169730539
151,Tumor,CSAG1,0.4277,0.1546369595184199
152,Tumor,CSAG1,0.0,0.0
153,Tumor,CSAG1,0.1649,0.06628864526571006
154,Tumor,CSAG1,0.0952,0.03949343512593356
155,Tumor,CSAG1,0.079,0.033021444682910656
156,Tumor,CSAG1,0.0,0.0
157,Tumor,CSAG1,0.0,0.0
158,Tumor,CSAG1,0.1381,0.056180423342140386
159,Tumor,CSAG1,0.0,0.0
160,Tumor,CSAG1,0.0,0.0
161,Tumor,CSAG1,0.0755,0.03161041472348133
162,Tumor,CSAG1,0.2338,0.09124476590796053
163,Tumor,CSAG1,0.0,0.0
164,Tumor,CSAG1,0.1339,0.054574755294822856
165,Normal,CSAG1,0.0,0.0
166,Normal,CSAG1,0.0,0.0
167,Normal,CSAG1,0.0,0.0
168,Normal,CSAG1,0.0,0.0
169,Normal,CSAG1,0.0655,0.027553454050220826
170,Normal,CSAG1,0.0,0.0
171,Normal,CSAG1,0.0,0.0
172,Normal,CSAG1,0.0,0.0
173,Normal,CSAG1,0.1315,0.05365455829074737
174,Normal,CSAG1,0.0,0.0
175,Normal,CSAG1,0.0596,0.025141949625193453
176,Normal,CSAG1,0.0,0.0
177,Normal,CSAG1,0.0,0.0
178,Normal,CSAG1,0.0588,0.024813932629310594
179,Normal,CSAG1,0.0,0.0
180,Normal,CSAG1,0.048,0.020361282647707864
181,Normal,CSAG1,0.0428,0.018201022496291276
182,Normal,CSAG1,0.0,0.0
183,Normal,CSAG1,0.0,0.0
184,Normal,CSAG1,0.0,0.0
185,Normal,CSAG1,0.0,0.0
186,Normal,CSAG1,0.0754,0.03157003214110036
187,Normal,CSAG1,0.0,0.0
188,Normal,CSAG1,0.0,0.0
189,Normal,CSAG1,0.0,0.0
190,Normal,CSAG1,0.0,0.0
191,Normal,CSAG1,0.0601,0.025346834509827127
192,Normal,CSAG1,0.0,0.0
193,Normal,CSAG1,0.065,0.027349607774756507
194,Normal,CSAG1,0.1466,0.059411937438656526
195,Normal,CSAG1,0.0,0.0
196,Normal,CSAG1,0.0,0.0
197,Normal,CSAG1,0.0,0.0
198,Normal,CSAG1,0.0,0.0
199,Normal,CSAG1,0.0,0.0
200,Normal,CSAG1,0.0,0.0
201,Normal,CSAG1,0.0,0.0
202,Normal,CSAG1,0.0,0.0
203,Normal,CSAG1,0.2026,0.0801211995094803
204,Normal,CSAG1,0.1009,0.0417478717232662
205,Normal,CSAG1,0.1154,0.04743064015554219
