,,0
MAGEA3,MAGEA12,0.9956698439497754
MAGEA12,CSAG1,0.9946885247449352
MAGEA3,CSAG1,0.9914182916426254
MAGEA3,MAGEA6,0.9882557763161662
MAGEA6,MAGEA12,0.9872335069576799
MAGEA6,CSAG1,0.9835878113870646
MAGEA4,MAGEA6,0.9401089757142547
MAGEA3,MAGEA4,0.9304123410861479
MAGEA4,CSAG1,0.920019838846125
MAGEA4,MAGEA12,0.9198827151517538
MAGEA3,CSAG2,0.9106707857539116
MAGEA12,CSAG2,0.908842336654178
MAGEB2,MAGEB3,0.9038800043916697
CSAG1,CSAG2,0.9034763410166816
MAGEA6,CSAG2,0.9003566892209117
MAGEA3,MAGEA9,0.8913245199235741
MAGEA9,MAGEA12,0.890468556782829
MAGEA9,CSAG2,0.8813616027656455
MAGEA6,MAGEA9,0.8801580263421711
MAGEA9,CSAG1,0.8786906587294437
MAGEA4,CSAG2,0.8779705646018569
MAGEA4,MAGEA9,0.8546085687539196
MAGEC1,MAGEC3,0.8204759158686963
MAGEA2B,MAGEB2,0.7831059033905173
MAGEH1,NDN,0.7559515773550917
MAGEA2B,MAGEB3,0.7538845427666835
MAGED1,MAGED2,0.7309356019578457
MAGEB6,MAGEC1,0.7116881310067168
MAGEA2,CSAG1,0.7066979801338434
MAGEA2,MAGEA12,0.6994565404951881
