,MAGEA1,MAGEA2,MAGEA2B,MAGEA3,MAGEA4,MAGEA5,MAGEA6,MAGEA7P,MAGEA8,MAGEA9,MAGEA9B,MAGEA10,MAGEA11,MAGEA12,MAGEB1,MAGEB2,MAGEB3,MAGEB4,MAGEB5,MAGEB6,MAGEB10,MAGEB16,MAGEB17,MAGEB18,MAGEC1,MAGEC2,MAGEC3,CSAG1,CSAG2,CSAG3,CSAG4,MAGED1,MAGED2,TRO,MAGED4,MAGED4B,MAGEE1,MAGEE2,MAGEF1,NSMCE3,MAGEH1,MAGEL2,TRIM28,NDN
MAGEA1,1.0,0.23742149580285424,-0.029121319679290505,0.48742336091501004,0.4753971786288275,0.08708446957366892,0.487243454661029,-0.07247584787857393,0.19143100678606573,0.5524758396112042,0.03780413634902272,0.1354676850872564,0.04748333421570169,0.49257150053220183,0.012153889488011084,0.05199056757969206,-0.0267901196485425,0.006557470316685711,-0.03155957573728386,0.023838130451114842,-0.031202368873917405,-0.0473852234884403,-0.009360971096435206,0.029729647340502034,0.05872755435618155,0.32816171514196224,-0.005582703380283478,0.47841374685895044,0.4537812705690925,0.24010803820341833,0.2574501194458569,-0.005086035504187674,-0.04337928270139313,-0.1324838401233282,-0.08444213713166068,-0.06842668162016227,0.0351164263497571,-0.11903808734093729,0.04082134815615972,0.06721225687335754,-0.04632232883798737,-0.13173292766277578,0.07224183286787542,-0.09561557633018612
MAGEA2,0.23742149580285424,1.0,0.4699315242260652,0.6792429982658857,0.49438269742016505,-0.061614096609052094,0.6744071021563729,-0.04007716303203858,0.057052238584816846,0.4903423598463563,0.0024488739310669127,0.022505564001767307,-0.013134704600784444,0.6994565404951881,0.6465444765826722,-0.006520742146155206,-0.012188497573632846,-0.0323566133114999,-0.030951310165231748,-0.021057504911109748,-0.041556283498741305,-0.026100342421309822,0.019621949774177458,-0.028125620904814002,0.03226208516780073,0.014770708219794875,-0.03526682572928543,0.7066979801338434,0.4996426066837306,0.3334043577670666,0.6862594244367628,-0.04625149441854831,-0.06157714607960449,-0.012184876243440224,-0.029562716845776965,-0.01966361714300522,0.049784238950550376,-0.0219988027703698,-0.05671082927710495,-0.0327547205126132,0.01516413738098645,0.03304065341546132,0.05501500039971242,-0.025082899388502427
MAGEA2B,-0.029121319679290505,0.4699315242260652,1.0,0.1052879022002572,-0.01323746705783395,-0.03282039825217973,0.10589251262769887,-0.033364056955663676,-0.08561512981991255,-0.015808949377796738,-0.015187329127424128,-0.027707372950842402,-0.015198132040075,0.12490258299588095,0.4690531005689979,0.7831059033905173,0.7538845427666835,-0.02693673423326531,-0.03162196337619192,-0.017530277595666853,-0.034595418054150284,-0.021728417014217245,0.3741578684438447,-0.023414452191425194,-0.018977532423841488,-0.02532347764594559,0.04156667769936224,0.1314497207284484,-0.016164714134613102,0.05373889600520006,0.28992387606195014,-0.025656872361644188,-0.01780726853616918,0.10608675423577285,0.04091475457237633,-0.029673049906901675,0.05131910549768672,0.09529555752493264,-0.028472555928831068,0.004582447364611186,0.09164091759173616,0.09311384893720528,0.014334041092137522,0.03693070998345532
MAGEA3,0.48742336091501004,0.6792429982658857,0.1052879022002572,1.0,0.9304123410861479,-0.05378001590823973,0.9882557763161662,-0.029226844832401712,0.2346512010075275,0.8913245199235741,0.025459216692576465,0.1204853914629432,0.05747470665982534,0.9956698439497754,0.15017363344193535,-0.005474063543623965,0.007247376023694897,-0.028639534966623702,-0.03436587640779939,0.0023577883890549462,-0.0372490413009628,-0.009386575918329755,0.0025697012644250337,-0.02369481375334093,0.050516122270615076,0.10390347144351796,-0.011044089015622245,0.9914182916426254,0.9106707857539116,0.4701834658228964,0.6032587258524325,-0.036883517413595995,-0.10507643179836068,-0.10186970791716421,-0.052014286343348995,-0.017291218430365452,-0.017097100742117722,-0.1145303790559041,-0.0442824601314564,-0.02335469375134597,-0.07672444905186535,-0.04858141465366248,0.123869051081311,-0.12376054537921084
MAGEA4,0.4753971786288275,0.49438269742016505,-0.01323746705783395,0.9304123410861479,1.0,-0.0009127573232285655,0.9401089757142547,-0.005978500040061338,0.2839035045861285,0.8546085687539196,0.04050770652920729,0.33811796017069273,0.2397109897763566,0.9198827151517538,0.03641756531894817,0.010065898921663985,-0.012177790368999207,-0.02440469534348656,-0.037714344468356566,-0.009541282098121707,-0.036945218403559826,0.06085206623258215,0.010109784285499683,-0.011431362110092746,0.033512303993602055,0.22488492400263377,-0.02169906123025035,0.920019838846125,0.8779705646018569,0.4503580224092349,0.46706086313681494,0.05680863115661889,-0.013757124033194968,-0.07404595492008101,-0.05900011277359732,-0.009715799431698481,-0.04624849684502926,-0.13163513911332858,-0.01503999957228058,0.01681253052793769,-0.06382087049346559,-0.05094079798413075,0.20144388462228613,-0.10188402930505915
MAGEA5,0.08708446957366892,-0.061614096609052094,-0.03282039825217973,-0.05378001590823973,-0.0009127573232285655,1.0,-0.04505140029598986,-0.06125526473570203,0.03150079849866786,-0.0126066504632482,0.0506692054558884,0.3690509415145254,0.020477497333294053,-0.05152011736937126,-0.004535387925161468,-0.03462099489647417,-0.04639630880293625,-0.057611710558991655,0.10694393354269051,0.044078722812220326,-0.08579055433258975,0.03253040146240906,-0.06311355542379023,0.10500233320438304,-0.09195170614451798,0.08197336410991722,-0.07000172835533329,-0.04844748602551292,-0.007133318761820647,0.09757764213705981,-0.07926646036236179,0.06405993555092392,0.07869794042151239,-0.08538632751253222,-0.09422346930894841,-0.05878226989917209,-0.12091139556064975,-0.08292941406853549,0.13896788897019677,0.06089368735952043,-0.0251739480017679,-0.076516948240639,0.12519595869988637,-0.04244408813220507
MAGEA6,0.487243454661029,0.6744071021563729,0.10589251262769887,0.9882557763161662,0.9401089757142547,-0.04505140029598986,1.0,-0.03473748829050958,0.23627531193397447,0.8801580263421711,0.06397300306577623,0.15009381462189805,0.08677770328360898,0.9872335069576799,0.1478397899465401,0.013271084092677634,0.0037254084010305876,-0.021942578202670843,-0.03665277322464175,0.007037034931650594,-0.033280117540800486,0.08912743445507361,0.005402186919007488,-0.02608237631592695,0.062127571128114026,0.1352956455217898,0.01296614760011075,0.9835878113870646,0.9003566892209117,0.47035337242196107,0.5977874474413923,-0.01833912613673235,-0.0843164687564085,-0.07766535215983192,-0.05363630801281131,-0.0037932651511799744,0.0008565100015075847,-0.11307757571122826,-0.03724056298902323,0.002072253602075639,-0.0515183259538798,-0.02021632085625375,0.14820651845758137,-0.1007943034611203
MAGEA7P,-0.07247584787857393,-0.04007716303203858,-0.033364056955663676,-0.029226844832401712,-0.005978500040061338,-0.06125526473570203,-0.03473748829050958,1.0,0.1045006677377387,-0.03306675219409851,-0.04322449965834357,-0.0400157752311904,-0.035881316355864355,-0.02840615918985846,0.12644262469873926,-0.031390971318574636,-0.030693220212772744,-0.01535738161388521,-0.04227439087312026,-0.05302726045303676,-0.05370672852409183,0.04791123389610881,0.1447003238348604,-0.044060159203158304,-0.04761067254200757,-0.002949943509860615,-0.021269991819274126,-0.026910115598019285,-0.02067725721145234,0.1956256494100391,-0.03233566837327552,0.030738202242337264,-0.02689933495365163,0.002955900506192418,-0.10828507460392296,-0.08872001578089499,0.009531993266274012,-0.029896882441601155,-0.009978840088603736,-0.01713473319707192,-0.08623807264305185,-0.009176618059214511,0.03164932231400169,-0.0004485281380886411
MAGEA8,0.19143100678606573,0.057052238584816846,-0.08561512981991255,0.2346512010075275,0.2839035045861285,0.03150079849866786,0.23627531193397447,0.1045006677377387,1.0,0.2069842503079635,-0.03482833637680908,0.258733432378593,0.19507833624501944,0.2131076438305473,-0.024565874293945987,-0.012303124088994977,0.10316464756784333,-0.007407442502877133,-0.0034870705481952306,0.03692675908691826,0.025396850785538994,-0.009166268998749871,-0.08848122798208911,-0.03205038798149717,-0.02759153044464111,0.14312025196297615,0.07766843715065168,0.22307538849731684,0.1915781525158366,0.13941170439858017,0.01632911639390465,0.012593666998790385,0.07128119307006793,-0.10089768116040244,-0.020030419193709653,0.01086978421006091,-0.03236629757887144,-0.07125237183530134,0.029011855175901616,-0.10431541068275273,-0.13559157264999594,-0.06433901310715841,0.21716721900064728,-0.1583596172395583
MAGEA9,0.5524758396112042,0.4903423598463563,-0.015808949377796738,0.8913245199235741,0.8546085687539196,-0.0126066504632482,0.8801580263421711,-0.03306675219409851,0.2069842503079635,1.0,0.0446020228912441,0.07529413546553722,-0.011036418765253233,0.890468556782829,-0.023096564185771253,-0.01767280686103066,-0.014543422139282799,-0.03860819461495141,-0.009891266941980913,0.015452610512254671,0.007701037924263799,-0.012205669910943335,-0.024595533750352304,0.010659274472192361,0.025080758010478203,0.09913543079609378,-0.016310029575577575,0.8786906587294437,0.8813616027656455,0.4325007585845875,0.461031932727442,-0.0291378293804354,-0.10064657255106181,-0.15213143976275537,-0.04591038416968053,-0.05150459268605006,-0.055556621547632745,-0.13220406158816306,0.04134599760823872,-0.036244717138166564,-0.08476073710366692,-0.10148112945019819,0.14108384175966507,-0.14692152812856338
