sample,condition
C3L-00589-01,Control
C3L-01039-03-3,Control
C3L-01052-02,Control
C3L-01124-01,Control
C3L-01598-02,Control
C3L-01637-02,Control
C3L-01689-03,Control
C3L-02112-02,Control
C3L-02809-04,Control
C3L-02897-01,Control
C3L-04027-01,Control
C3N-01012-02,Control
C3N-01165-03,Control
C3N-01714-02,Control
C3N-01998-03,Control
C3N-02585-01,Control
C3N-02754-01,Control
C3N-02944-01,Control
C3N-03428-02,Control
C3N-03853-02,Control
C3N-04119-02,Control
C3N-04126-02,Control
C3N-04284-01,Control
C3L-01031-01,Treatment
C3L-02606-02,Treatment
C3L-03123-02,Treatment
C3N-03000-02,Treatment
