,C3L-01637-02,C3L-03123-02,C3L-03356-02,C3L-03743-01,C3N-00302-02,C3N-01167-01,C3N-02754-01-3,C3N-02998-03,C3L-01453-03,C3L-03348-03,C3L-03348-03-2,C3N-03000-02
ENSG00000000003.15,1251,648,1826,1226,1548,1479,1162,1297,1090,1311,946,1338
ENSG00000000005.6,5,2,22,18,31,10,7,115,18,15,8,11
ENSG00000000419.13,1727,974,873,1630,1166,2193,760,1282,1288,1017,717,1751
ENSG00000000457.14,1936,1017,1458,918,1083,1895,998,1339,939,1580,1040,1223
ENSG00000000460.17,695,458,512,418,772,930,301,480,342,653,444,571
ENSG00000000938.13,1135,1157,984,236,248,412,542,700,403,615,577,316
ENSG00000000971.16,8962,6439,13647,10382,7524,8919,14604,12124,14756,23727,14995,10777
ENSG00000001036.14,1696,1102,1570,2072,1852,2198,912,1474,871,1890,1399,1222
ENSG00000001084.13,1874,1949,2308,1705,1318,2374,1432,2151,1066,2147,1378,1365
ENSG00000001167.14,1229,1400,1202,1265,1973,1512,1113,1430,1276,2121,1360,1898
ENSG00000001460.18,340,296,515,460,243,390,262,199,367,483,331,280
ENSG00000001461.17,2012,986,3891,2904,1081,2071,1626,1432,2912,2392,1822,1370
ENSG00000001497.18,1434,1040,1189,1210,1319,2097,1000,1187,953,1391,885,1010
ENSG00000001561.7,2074,1602,3170,1052,1988,1212,1451,1721,1041,2239,1331,938
ENSG00000001617.12,626,417,313,522,831,419,277,370,1420,611,423,584
ENSG00000001626.16,21090,636,13334,5817,8964,15038,26454,1603,869,56641,26742,1046
ENSG00000001629.10,6351,3480,4626,6674,4996,6598,4115,5138,4918,6217,4488,5869
ENSG00000001630.17,965,190,333,116,191,512,241,200,106,536,289,110
ENSG00000001631.16,642,355,474,560,386,754,338,496,482,485,391,458
ENSG00000002016.18,726,679,557,805,628,1059,606,787,891,1070,983,913
ENSG00000002079.14,49,14,34,680,78,76,58,18,70,84,47,137
ENSG00000002330.14,402,130,196,276,233,392,235,175,369,361,263,195
ENSG00000002549.12,5724,7435,3971,3829,3612,11923,2545,8058,3572,4123,3309,2288
ENSG00000002586.20,4170,2632,4765,4043,3537,4810,5466,4091,6863,5543,4981,7870
ENSG00000002586.20_PAR_Y,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002587.10,1127,325,1990,2376,3433,1475,692,418,2967,266,153,465
ENSG00000002726.21,2395,177,1499,284,832,11278,1088,1176,321,753,470,231
ENSG00000002745.13,25,22,55,26,22,29,63,78,48,21,18,52
ENSG00000002746.15,178,63,212,442,198,263,170,16,1121,202,376,910
ENSG00000002822.15,64,93,90,91,109,152,53,111,58,119,101,96
ENSG00000002834.18,5750,4785,8699,7812,6341,7794,4424,5167,3169,6975,4877,5562
ENSG00000002919.15,750,592,790,795,627,735,637,818,536,902,696,777
ENSG00000002933.9,2721,693,1101,910,1062,5940,1277,1659,1001,1285,999,1128
ENSG00000003056.8,5529,3775,3300,4204,2793,3823,2393,2891,2742,5005,3773,3861
ENSG00000003096.14,204,84,212,210,234,336,314,248,163,643,327,91
ENSG00000003137.8,35,65,27,133,147,70,37,96,89,90,95,43
ENSG00000003147.19,3207,1087,2208,2550,922,5732,1290,1720,1035,2468,1614,1190
ENSG00000003249.15,372,312,485,92,118,613,87,149,106,221,125,156
ENSG00000003393.15,3700,2356,2715,3310,2363,4720,2027,2788,2069,3830,2819,3464
ENSG00000003400.15,2662,2299,2600,1431,1210,5529,1173,2287,1455,2071,1681,1378
ENSG00000003402.20,8811,11899,10702,9133,7373,12059,8218,11226,9263,10120,8192,7533
