sample,condition
C3L-00017-02,Control
C3L-00102-01,Control
C3L-00277-03,Control
C3L-00401-02,Control
C3L-00622-01,Control
C3L-00640-01,Control
C3L-00819-01,Control
C3L-01031-01,Control
C3L-01036-01,Control
C3L-01689-03,Control
C3L-01703-02,Control
C3L-02463-02,Control
C3L-02610-03,Control
C3L-02613-02,Control
C3L-02956-01,Control
C3L-03123-02,Control
C3L-03348-03-2,Control
C3L-03356-02,Control
C3L-03388-02,Control
C3L-03394-03,Control
C3L-03622-02,Control
C3L-03629-02-2,Control
C3L-03635-01,Control
C3L-03743-01,Control
C3L-04080-02,Control
C3L-04473-01,Control
C3L-04475-01,Control
C3L-04495-03,Control
C3L-04848-03,Control
C3N-00198-02,Control
C3N-00514-01,Control
C3N-00516-02,Control
C3N-00957-01,Control
C3N-01165-03,Control
C3N-01375-02,Control
C3N-01383-03,Control
C3N-01385-02-3,Control
C3N-01388-03,Control
C3N-01502-01,Control
C3N-01714-02,Control
C3N-01715-02,Control
C3N-01716-03,Control
C3N-01897-01,Control
C3N-01899-02-3,Control
C3N-02010-03,Control
C3N-02295-04,Control
C3N-02573-01,Control
C3N-02590-01,Control
C3N-02592-01,Control
C3N-02754-01-2,Control
C3N-02930-01,Control
C3N-02930-01-2,Control
C3N-02930-01-3,Control
C3N-02998-03,Control
C3N-03000-02,Control
C3N-03006-02,Control
C3N-03069-01,Control
C3N-03173-01,Control
C3N-03190-01,Control
C3N-03428-02,Control
C3N-03665-01,Control
C3N-03666-01,Control
C3N-03839-05,Control
C3N-03884-01,Control
C3L-01052-02,Treatment
C3L-01160-01,Treatment
C3L-02606-02,Treatment
C3L-02888-02,Treatment
C3L-02888-02-2,Treatment
C3L-02890-02,Treatment
C3L-04027-01,Treatment
C3N-00513-03,Treatment
C3N-00517-01,Treatment
C3N-01385-02-2,Treatment
C3N-02696-02,Treatment
C3N-02765-02,Treatment
C3N-02996-02,Treatment
C3N-03780-01,Treatment
C3N-03853-02,Treatment
C3N-04284-01,Treatment
