sample,condition
C3L-00401-02,Control
C3L-01031-01,Control
C3L-01160-01,Control
C3L-01328-01,Control
C3L-01637-02,Control
C3L-01662-03,Control
C3L-01703-02,Control
C3L-01971-02,Control
C3L-02463-02,Control
C3L-02606-02,Control
C3L-03743-01,Control
C3L-04080-02,Control
C3N-00198-02,Control
C3N-00512-01,Control
C3N-00514-01,Control
C3N-01011-02,Control
C3N-02295-04,Control
C3N-02696-02,Control
C3N-02696-02-2,Control
C3N-02768-02,Control
C3N-02940-01,Control
C3N-02944-01,Control
C3N-02996-02,Control
C3N-03428-02,Control
C3N-03666-01,Control
C3N-03853-02,Control
C3N-04282-01,Control
C3N-04283-03,Control
C3L-02890-02,Treatment
C3N-00303-01,Treatment
C3N-03000-02,Treatment
