sample,condition
C3L-00102-01,Control
C3L-00589-01,Control
C3L-00598-02,Control
C3L-00599-01,Control
C3L-00640-01,Control
C3L-00881-71,Control
C3L-01031-01,Control
C3L-01036-01,Control
C3L-01053-01,Control
C3L-01054-04,Control
C3L-01453-03,Control
C3L-01687-03,Control
C3L-01703-02,Control
C3L-02112-02,Control
C3L-02115-02,Control
C3L-02116-03,Control
C3L-02118-01,Control
C3L-02604-01,Control
C3L-02610-03,Control
C3L-02613-02,Control
C3L-02888-02,Control
C3L-02956-01,Control
C3L-03632-03,Control
C3L-03635-01,Control
C3L-03639-03,Control
C3L-03743-01,Control
C3N-00303-01,Control
C3N-00511-03,Control
C3N-00517-01,Control
C3N-01011-02,Control
C3N-01167-01,Control
C3N-01381-02,Control
C3N-01385-02,Control
C3N-02573-01,Control
C3N-02585-01,Control
C3N-02592-01,Control
C3N-02754-01-2,Control
C3N-02768-02,Control
C3N-02997-01,Control
C3N-03006-02,Control
C3N-03428-02,Control
C3N-03439-02,Control
C3N-03840-02,Control
C3N-04119-02,Control
C3N-04283-03,Control
C3L-00017-02,Treatment
C3L-00189-02,Treatment
C3L-00277-03,Treatment
C3L-00401-02,Treatment
C3L-00622-01,Treatment
C3L-00625-03,Treatment
C3L-00819-01,Treatment
C3L-00928-03,Treatment
C3L-01032-01,Treatment
C3L-01037-01,Treatment
C3L-01039-03,Treatment
C3L-01039-03-2,Treatment
C3L-01039-03-3,Treatment
C3L-01051-02,Treatment
C3L-01052-02,Treatment
C3L-01124-01,Treatment
C3L-01158-01,Treatment
C3L-01160-01,Treatment
C3L-01328-01,Treatment
C3L-01598-02,Treatment
C3L-01637-02,Treatment
C3L-01662-03,Treatment
C3L-01689-03,Treatment
C3L-01971-02,Treatment
C3L-02109-02,Treatment
C3L-02463-02,Treatment
C3L-02606-02,Treatment
C3L-02701-02,Treatment
C3L-02809-04,Treatment
C3L-02888-02-2,Treatment
C3L-02890-02,Treatment
C3L-02897-01,Treatment
C3L-02899-01,Treatment
C3L-02956-01-2,Treatment
C3L-03123-02,Treatment
C3L-03348-03,Treatment
C3L-03348-03-2,Treatment
C3L-03356-02,Treatment
C3L-03388-02,Treatment
C3L-03394-03,Treatment
C3L-03395-02,Treatment
C3L-03622-02,Treatment
C3L-03628-02,Treatment
C3L-03629-02,Treatment
C3L-03629-02-2,Treatment
C3L-03630-03,Treatment
C3L-04027-01,Treatment
C3L-04072-01,Treatment
C3L-04080-02,Treatment
C3L-04473-01,Treatment
C3L-04475-01,Treatment
C3L-04479-02,Treatment
C3L-04495-03,Treatment
C3L-04848-03,Treatment
C3L-04853-01,Treatment
C3N-00198-02,Treatment
C3N-00249-03,Treatment
C3N-00302-02,Treatment
C3N-00436-01,Treatment
C3N-00512-01,Treatment
C3N-00513-03,Treatment
C3N-00514-01,Treatment
C3N-00516-02,Treatment
C3N-00518-01,Treatment
C3N-00957-01,Treatment
C3N-01012-02,Treatment
C3N-01165-03,Treatment
C3N-01166-02,Treatment
C3N-01168-02,Treatment
C3N-01375-02,Treatment
C3N-01380-01,Treatment
C3N-01382-01,Treatment
C3N-01383-03,Treatment
C3N-01385-02-2,Treatment
C3N-01385-02-3,Treatment
C3N-01388-03,Treatment
C3N-01502-01,Treatment
C3N-01714-02,Treatment
C3N-01715-02,Treatment
C3N-01716-03,Treatment
C3N-01719-04,Treatment
C3N-01897-01,Treatment
C3N-01898-04,Treatment
C3N-01898-04-2,Treatment
C3N-01899-02,Treatment
C3N-01899-02-2,Treatment
C3N-01899-02-3,Treatment
C3N-01997-03,Treatment
C3N-01998-03,Treatment
C3N-02010-03,Treatment
C3N-02295-04,Treatment
C3N-02579-02,Treatment
C3N-02589-01,Treatment
C3N-02590-01,Treatment
C3N-02594-01,Treatment
C3N-02696-02,Treatment
C3N-02696-02-2,Treatment
C3N-02754-01,Treatment
C3N-02754-01-3,Treatment
C3N-02765-02,Treatment
C3N-02765-02-2,Treatment
C3N-02765-02-3,Treatment
C3N-02930-01,Treatment
C3N-02930-01-2,Treatment
C3N-02930-01-3,Treatment
C3N-02940-01,Treatment
C3N-02944-01,Treatment
C3N-02971-01,Treatment
C3N-02996-02,Treatment
C3N-02998-03,Treatment
C3N-03000-02,Treatment
C3N-03007-02,Treatment
C3N-03061-01,Treatment
C3N-03069-01,Treatment
C3N-03086-02,Treatment
C3N-03173-01,Treatment
C3N-03190-01,Treatment
C3N-03211-02,Treatment
C3N-03426-01,Treatment
C3N-03430-02,Treatment
C3N-03440-01,Treatment
C3N-03665-01,Treatment
C3N-03666-01,Treatment
C3N-03670-01,Treatment
C3N-03754-01,Treatment
C3N-03780-01,Treatment
C3N-03839-05,Treatment
C3N-03853-02,Treatment
C3N-03884-01,Treatment
C3N-04126-02,Treatment
C3N-04282-01,Treatment
C3N-04284-01,Treatment
