sample,condition
C3L-02613-02,Control
C3L-03123-02,Control
C3L-03639-03,Control
C3L-04072-01,Control
C3N-03426-01,Control
C3L-00102-01,Treatment
C3L-00189-02,Treatment
C3L-00599-01,Treatment
C3L-00622-01,Treatment
C3L-00625-03,Treatment
C3L-00640-01,Treatment
C3L-00881-71,Treatment
C3L-01032-01,Treatment
C3L-01039-03-2,Treatment
C3L-01039-03-3,Treatment
C3L-01052-02,Treatment
C3L-01124-01,Treatment
C3L-01453-03,Treatment
C3L-01687-03,Treatment
C3L-01703-02,Treatment
C3L-02109-02,Treatment
C3L-02112-02,Treatment
C3L-02701-02,Treatment
C3L-02809-04,Treatment
C3L-02890-02,Treatment
C3L-02897-01,Treatment
C3L-02899-01,Treatment
C3L-02956-01,Treatment
C3L-02956-01-2,Treatment
C3L-03348-03,Treatment
C3L-03348-03-2,Treatment
C3L-03356-02,Treatment
C3L-03388-02,Treatment
C3L-03394-03,Treatment
C3L-03395-02,Treatment
C3L-03629-02,Treatment
C3L-03629-02-2,Treatment
C3L-03632-03,Treatment
C3L-03635-01,Treatment
C3L-03743-01,Treatment
C3L-04475-01,Treatment
C3L-04495-03,Treatment
C3L-04848-03,Treatment
C3N-00198-02,Treatment
C3N-00436-01,Treatment
C3N-00513-03,Treatment
C3N-00517-01,Treatment
C3N-00518-01,Treatment
C3N-01011-02,Treatment
C3N-01166-02,Treatment
C3N-01167-01,Treatment
C3N-01380-01,Treatment
C3N-01381-02,Treatment
C3N-01382-01,Treatment
C3N-01383-03,Treatment
C3N-01385-02,Treatment
C3N-01385-02-2,Treatment
C3N-01385-02-3,Treatment
C3N-01502-01,Treatment
C3N-01719-04,Treatment
C3N-01898-04,Treatment
C3N-01898-04-2,Treatment
C3N-01899-02-2,Treatment
C3N-02295-04,Treatment
C3N-02585-01,Treatment
C3N-02589-01,Treatment
C3N-02592-01,Treatment
C3N-02594-01,Treatment
C3N-02696-02,Treatment
C3N-02754-01,Treatment
C3N-02754-01-2,Treatment
C3N-02754-01-3,Treatment
C3N-02765-02-2,Treatment
C3N-02930-01-2,Treatment
C3N-02971-01,Treatment
C3N-02996-02,Treatment
C3N-03000-02,Treatment
C3N-03006-02,Treatment
C3N-03086-02,Treatment
C3N-03173-01,Treatment
C3N-03440-01,Treatment
C3N-03670-01,Treatment
C3N-03780-01,Treatment
C3N-04282-01,Treatment
