,SampleType,Gene,Expression,LogExpression
0,Tumor,MAGED1,44.7192,1.6600986224532257
1,Tumor,MAGED1,57.5165,1.7672783421261382
2,Tumor,MAGED1,76.9663,1.8919069246565987
3,Tumor,MAGED1,40.556,1.6186337375970856
4,Tumor,MAGED1,36.4957,1.5739814657717606
5,Tumor,MAGED1,46.3777,1.6755739736186213
6,Tumor,MAGED1,60.2338,1.7869912113845008
7,Tumor,MAGED1,36.5037,1.5740741160027865
8,Tumor,MAGED1,67.2017,1.8337952000438351
9,Tumor,MAGED1,68.2999,1.8407326079237905
10,Tumor,MAGED1,59.0273,1.7783488094316338
11,Tumor,MAGED1,67.3332,1.834631758931398
12,Tumor,MAGED1,42.354,1.637029173272112
13,Tumor,MAGED1,55.983,1.7557453099288787
14,Tumor,MAGED1,81.2226,1.9149912056941463
15,Tumor,MAGED1,83.2429,1.9255333087035387
16,Tumor,MAGED1,32.2368,1.5216192037630565
17,Tumor,MAGED1,49.8129,1.7059739817250366
18,Tumor,MAGED1,103.0127,2.017086370098602
19,Tumor,MAGED1,60.9845,1.792283102303813
20,Tumor,MAGED1,59.7717,1.7837013852742984
21,Tumor,MAGED1,58.0987,1.7715779277672787
22,Tumor,MAGED1,38.8976,1.6009467719247081
23,Tumor,MAGED1,36.349,1.5722789782987843
24,Tumor,MAGED1,33.7124,1.5404846416380908
25,Tumor,MAGED1,54.0681,1.740900092392839
26,Tumor,MAGED1,45.2245,1.664872222191073
27,Tumor,MAGED1,83.8968,1.9288913207677052
28,Tumor,MAGED1,38.6172,1.5978837779284136
29,Tumor,MAGED1,66.6904,1.8305270804627407
30,Tumor,MAGED1,78.5061,1.9004004506024952
31,Tumor,MAGED1,33.5851,1.5388890357436402
32,Tumor,MAGED1,41.6819,1.6302437439564905
33,Tumor,MAGED1,53.3526,1.7352203237423731
34,Tumor,MAGED1,112.819,2.056214765630154
35,Tumor,MAGED1,54.8018,1.7466482082110402
36,Tumor,MAGED1,62.5517,1.8031271723683027
37,Tumor,MAGED1,76.9911,1.8920450457491789
38,Tumor,MAGED1,64.3657,1.8153499163917206
39,Tumor,MAGED1,32.4874,1.5248814297289779
40,Tumor,MAGED1,33.6413,1.539594181619924
41,Tumor,MAGED1,56.4072,1.758966364944535
42,Tumor,MAGED1,46.512,1.6768033122689652
43,Tumor,MAGED1,89.7698,1.957941378532415
44,Tumor,MAGED1,102.6182,2.015436043684964
45,Tumor,MAGED1,47.1528,1.6826215456494173
46,Tumor,MAGED1,48.1251,1.6913034474425974
47,Tumor,MAGED1,68.2315,1.840303741327825
48,Tumor,MAGED1,81.8382,1.918230653493258
49,Tumor,MAGED1,26.5078,1.4394558580717538
50,Tumor,MAGED1,26.5388,1.4399450120017794
51,Tumor,MAGED1,54.0057,1.7404076958629877
52,Tumor,MAGED1,79.0431,1.9033239001393711
53,Tumor,MAGED1,59.5831,1.7823514921471888
54,Tumor,MAGED1,73.1107,1.8698809153407323
55,Tumor,MAGED1,104.9696,2.025181295021298
