gene,classification,Stage I,Stage IA,Stage IB,Stage IIA,Stage IIB,Stage III,Stage IIIB,Stage IV
MAGEA1,Positive,1,0,3,4,11,12,0,2
MAGEA1,Negative,0,3,13,15,63,37,1,12
MAGEA2,Positive,0,0,1,0,2,0,0,1
MAGEA2,Negative,1,3,15,19,72,49,1,13
MAGEA2B,Positive,0,0,0,0,2,0,0,0
MAGEA2B,Negative,1,3,16,19,72,49,1,14
MAGEA3,Positive,0,0,1,4,8,3,0,3
MAGEA3,Negative,1,3,15,15,66,46,1,11
MAGEA4,Positive,1,2,2,2,11,6,1,2
MAGEA4,Negative,0,1,14,17,63,43,0,12
MAGEA5,Positive,1,3,10,14,53,31,1,8
MAGEA5,Negative,0,0,6,5,21,18,0,6
MAGEA6,Positive,0,1,2,4,9,5,0,2
MAGEA6,Negative,1,2,14,15,65,44,1,12
MAGEA7P,Positive,0,0,1,3,7,5,0,2
MAGEA7P,Negative,1,3,15,16,67,44,1,12
MAGEA8,Positive,1,3,15,17,63,44,1,13
MAGEA8,Negative,0,0,1,2,11,5,0,1
MAGEA9,Positive,0,0,1,2,5,1,0,0
MAGEA9,Negative,1,3,15,17,69,48,1,14
MAGEA9B,Positive,0,0,0,1,6,3,0,2
MAGEA9B,Negative,1,3,16,18,68,46,1,12
MAGEA10,Positive,1,2,11,10,50,30,0,9
MAGEA10,Negative,0,1,5,9,24,19,1,5
MAGEA11,Positive,0,0,4,4,13,6,0,4
MAGEA11,Negative,1,3,12,15,61,43,1,10
MAGEA12,Positive,0,0,5,5,27,15,1,5
MAGEA12,Negative,1,3,11,14,47,34,0,9
MAGEB1,Positive,0,0,1,1,2,1,0,1
MAGEB1,Negative,1,3,15,18,72,48,1,13
MAGEB2,Positive,0,0,2,3,16,7,0,3
MAGEB2,Negative,1,3,14,16,58,42,1,11
MAGEB3,Positive,0,0,1,0,1,0,0,0
MAGEB3,Negative,1,3,15,19,73,49,1,14
MAGEB4,Positive,0,0,1,1,7,3,0,0
MAGEB4,Negative,1,3,15,18,67,46,1,14
MAGEB5,Positive,1,1,3,2,16,8,0,2
MAGEB5,Negative,0,2,13,17,58,41,1,12
MAGEB6,Positive,0,0,1,1,2,2,0,0
MAGEB6,Negative,1,3,15,18,72,47,1,14
MAGEB10,Positive,1,0,2,1,5,8,1,1
MAGEB10,Negative,0,3,14,18,69,41,0,13
MAGEB16,Positive,0,0,1,2,5,1,1,1
MAGEB16,Negative,1,3,15,17,69,48,0,13
MAGEB17,Positive,1,3,12,13,46,28,1,9
MAGEB17,Negative,0,0,4,6,28,21,0,5
MAGEB18,Positive,0,0,0,0,5,5,0,0
MAGEB18,Negative,1,3,16,19,69,44,1,14
MAGEC1,Positive,0,1,2,2,7,6,0,3
MAGEC1,Negative,1,2,14,17,67,43,1,11
MAGEC2,Positive,0,0,5,5,13,4,0,1
MAGEC2,Negative,1,3,11,14,61,45,1,13
MAGEC3,Positive,1,2,14,14,41,40,1,13
MAGEC3,Negative,0,1,2,5,33,9,0,1
CSAG1,Positive,1,3,12,12,51,33,1,9
CSAG1,Negative,0,0,4,7,23,16,0,5
CSAG2,Positive,0,1,1,4,12,4,0,1
CSAG2,Negative,1,2,15,15,62,45,1,13
CSAG3,Positive,0,1,7,6,23,18,1,6
CSAG3,Negative,1,2,9,13,51,31,0,8
CSAG4,Positive,0,0,0,0,3,2,0,1
CSAG4,Negative,1,3,16,19,71,47,1,13
MAGED1,Positive,1,3,16,19,74,49,1,14
MAGED1,Negative,0,0,0,0,0,0,0,0
MAGED2,Positive,1,3,16,19,74,49,1,14
MAGED2,Negative,0,0,0,0,0,0,0,0
TRO,Positive,1,3,16,19,74,49,1,14
TRO,Negative,0,0,0,0,0,0,0,0
MAGED4,Positive,1,0,9,12,34,31,0,11
MAGED4,Negative,0,3,7,7,40,18,1,3
MAGED4B,Positive,1,2,11,14,52,40,1,11
MAGED4B,Negative,0,1,5,5,22,9,0,3
MAGEE1,Positive,1,3,16,19,74,49,1,14
MAGEE1,Negative,0,0,0,0,0,0,0,0
MAGEE2,Positive,1,3,15,19,72,48,1,13
MAGEE2,Negative,0,0,1,0,2,1,0,1
MAGEF1,Positive,1,3,16,19,74,49,1,14
MAGEF1,Negative,0,0,0,0,0,0,0,0
NSMCE3,Positive,1,3,16,19,74,49,1,14
NSMCE3,Negative,0,0,0,0,0,0,0,0
MAGEH1,Positive,1,3,16,19,74,49,1,14
MAGEH1,Negative,0,0,0,0,0,0,0,0
MAGEL2,Positive,1,3,16,19,74,49,1,14
MAGEL2,Negative,0,0,0,0,0,0,0,0
TRIM28,Positive,1,3,16,19,74,49,1,14
TRIM28,Negative,0,0,0,0,0,0,0,0
NDN,Positive,1,3,16,19,74,49,1,14
NDN,Negative,0,0,0,0,0,0,0,0
