,Positive_counts,Positive_counts_percentage,Negative_counts,Negative_counts_percentage
MAGEA1,33,18.4,146,81.6
MAGEA2,4,2.2,175,97.8
MAGEA2B,2,1.1,177,98.9
MAGEA3,19,10.6,160,89.4
MAGEA4,27,15.1,152,84.9
MAGEA5,123,68.7,56,31.3
MAGEA6,23,12.8,156,87.2
MAGEA7P,18,10.1,161,89.9
MAGEA8,159,88.8,20,11.2
MAGEA9,9,5.0,170,95.0
MAGEA9B,12,6.7,167,93.3
MAGEA10,115,64.2,64,35.8
MAGEA11,32,17.9,147,82.1
MAGEA12,58,32.4,121,67.6
MAGEB1,6,3.4,173,96.6
MAGEB2,31,17.3,148,82.7
MAGEB3,2,1.1,177,98.9
MAGEB4,12,6.7,167,93.3
MAGEB5,34,19.0,145,81.0
MAGEB6,6,3.4,173,96.6
MAGEB10,19,10.6,160,89.4
MAGEB16,11,6.1,168,93.9
MAGEB17,115,64.2,64,35.8
MAGEB18,10,5.6,169,94.4
MAGEC1,21,11.7,158,88.3
MAGEC2,28,15.6,151,84.4
MAGEC3,128,71.5,51,28.5
CSAG1,123,68.7,56,31.3
CSAG2,23,12.8,156,87.2
CSAG3,63,35.2,116,64.8
CSAG4,6,3.4,173,96.6
MAGED1,179,100.0,0,0.0
MAGED2,179,100.0,0,0.0
TRO,179,100.0,0,0.0
MAGED4,99,55.3,80,44.7
MAGED4B,133,74.3,46,25.7
MAGEE1,179,100.0,0,0.0
MAGEE2,174,97.2,5,2.8
MAGEF1,179,100.0,0,0.0
NSMCE3,179,100.0,0,0.0
MAGEH1,179,100.0,0,0.0
MAGEL2,179,100.0,0,0.0
TRIM28,179,100.0,0,0.0
NDN,179,100.0,0,0.0
