gene,G1%N,G1%P,G2%N,G2%P,G3%N,G3%P,G4%N,G4%P
MAGEA1,6.18,0.56,57.87,12.92,17.42,5.06,0.56,0.0
MAGEA2,6.74,0.0,68.54,2.25,22.47,0.0,0.56,0.0
MAGEA2B,6.74,0.0,70.22,0.56,21.91,0.56,0.56,0.0
MAGEA3,6.18,0.56,65.17,5.62,17.98,4.49,0.56,0.0
MAGEA4,6.18,0.56,58.99,11.8,19.66,2.81,0.56,0.0
MAGEA5,2.81,3.93,20.79,50.0,7.87,14.61,0.0,0.56
MAGEA6,6.74,0.0,62.92,7.87,17.42,5.06,0.56,0.0
MAGEA7P,5.06,1.69,64.61,6.18,20.22,2.25,0.56,0.0
MAGEA8,0.0,6.74,8.43,62.36,2.81,19.66,0.0,0.56
MAGEA9,6.74,0.0,66.29,4.49,21.91,0.56,0.56,0.0
MAGEA9B,6.18,0.56,66.29,4.49,20.79,1.69,0.56,0.0
MAGEA10,3.37,3.37,23.03,47.75,9.55,12.92,0.0,0.56
MAGEA11,5.06,1.69,58.99,11.8,17.98,4.49,0.56,0.0
MAGEA12,3.37,3.37,51.12,19.66,13.48,8.99,0.0,0.56
MAGEB1,6.18,0.56,69.1,1.69,21.35,1.12,0.56,0.0
MAGEB2,6.18,0.56,60.67,10.11,15.73,6.74,0.56,0.0
MAGEB3,6.74,0.0,70.79,0.0,21.35,1.12,0.56,0.0
MAGEB4,6.18,0.56,65.73,5.06,21.35,1.12,0.56,0.0
MAGEB5,5.62,1.12,55.06,15.73,20.22,2.25,0.56,0.0
MAGEB6,6.74,0.0,69.1,1.69,20.79,1.69,0.56,0.0
MAGEB10,6.74,0.0,61.8,8.99,20.79,1.69,0.56,0.0
MAGEB16,6.74,0.0,66.29,4.49,20.79,1.69,0.56,0.0
MAGEB17,2.81,3.93,25.84,44.94,7.3,15.17,0.0,0.56
MAGEB18,6.74,0.0,65.17,5.62,22.47,0.0,0.56,0.0
MAGEC1,6.18,0.56,64.04,6.74,17.98,4.49,0.56,0.0
MAGEC2,6.74,0.0,60.67,10.11,17.42,5.06,0.0,0.56
MAGEC3,1.69,5.06,18.54,52.25,8.43,14.04,0.0,0.56
CSAG1,3.37,3.37,20.22,50.56,7.87,14.61,0.0,0.56
CSAG2,5.62,1.12,60.67,10.11,20.79,1.69,0.56,0.0
CSAG3,5.06,1.69,47.19,23.6,12.36,10.11,0.56,0.0
CSAG4,6.74,0.0,67.98,2.81,21.91,0.56,0.56,0.0
MAGED1,0.0,6.74,0.0,70.79,0.0,22.47,0.0,0.56
MAGED2,0.0,6.74,0.0,70.79,0.0,22.47,0.0,0.56
TRO,0.0,6.74,0.0,70.79,0.0,22.47,0.0,0.56
MAGED4,3.93,2.81,30.9,39.89,10.11,12.36,0.0,0.56
MAGED4B,2.25,4.49,17.98,52.81,5.62,16.85,0.0,0.56
MAGEE1,0.0,6.74,0.0,70.79,0.0,22.47,0.0,0.56
MAGEE2,0.0,6.74,1.12,69.66,1.69,20.79,0.0,0.56
MAGEF1,0.0,6.74,0.0,70.79,0.0,22.47,0.0,0.56
NSMCE3,0.0,6.74,0.0,70.79,0.0,22.47,0.0,0.56
MAGEH1,0.0,6.74,0.0,70.79,0.0,22.47,0.0,0.56
MAGEL2,0.0,6.74,0.0,70.79,0.0,22.47,0.0,0.56
TRIM28,0.0,6.74,0.0,70.79,0.0,22.47,0.0,0.56
NDN,0.0,6.74,0.0,70.79,0.0,22.47,0.0,0.56
