gene,female%N,female%P,male%N,male%P
MAGEA1,36.31,9.5,45.25,8.94
MAGEA2,45.25,0.56,52.51,1.68
MAGEA2B,45.81,0.0,53.07,1.12
MAGEA3,39.66,6.15,49.72,4.47
MAGEA4,39.66,6.15,45.25,8.94
MAGEA5,14.53,31.28,16.76,37.43
MAGEA6,38.55,7.26,48.6,5.59
MAGEA7P,41.9,3.91,48.04,6.15
MAGEA8,6.15,39.66,5.03,49.16
MAGEA9,42.46,3.35,52.51,1.68
MAGEA9B,43.02,2.79,50.28,3.91
MAGEA10,16.2,29.61,19.55,34.64
MAGEA11,36.31,9.5,45.81,8.38
MAGEA12,31.28,14.53,36.31,17.88
MAGEB1,44.13,1.68,52.51,1.68
MAGEB2,38.55,7.26,44.13,10.06
MAGEB3,45.81,0.0,53.07,1.12
MAGEB4,43.58,2.23,49.72,4.47
MAGEB5,35.75,10.06,45.25,8.94
MAGEB6,43.58,2.23,53.07,1.12
MAGEB10,40.78,5.03,48.6,5.59
MAGEB16,42.46,3.35,51.4,2.79
MAGEB17,15.64,30.17,20.11,34.08
MAGEB18,42.46,3.35,51.96,2.23
MAGEC1,38.55,7.26,49.72,4.47
MAGEC2,37.43,8.38,46.93,7.26
MAGEC3,15.64,30.17,12.85,41.34
CSAG1,15.64,30.17,15.64,38.55
CSAG2,39.66,6.15,47.49,6.7
CSAG3,26.26,19.55,38.55,15.64
CSAG4,44.13,1.68,52.51,1.68
MAGED1,0.0,45.81,0.0,54.19
MAGED2,0.0,45.81,0.0,54.19
TRO,0.0,45.81,0.0,54.19
MAGED4,20.11,25.7,24.58,29.61
MAGED4B,13.41,32.4,12.29,41.9
MAGEE1,0.0,45.81,0.0,54.19
MAGEE2,1.68,44.13,1.12,53.07
MAGEF1,0.0,45.81,0.0,54.19
NSMCE3,0.0,45.81,0.0,54.19
MAGEH1,0.0,45.81,0.0,54.19
MAGEL2,0.0,45.81,0.0,54.19
TRIM28,0.0,45.81,0.0,54.19
NDN,0.0,45.81,0.0,54.19
