sample,condition
C3L-00102-01,Control
C3L-00277-03,Control
C3L-00401-02,Control
C3L-00598-02,Control
C3L-00599-01,Control
C3L-01036-01,Control
C3L-01158-01,Control
C3L-01598-02,Control
C3L-01689-03,Control
C3L-02115-02,Control
C3L-02604-01,Control
C3L-02610-03,Control
C3L-02613-02,Control
C3L-03743-01,Control
C3L-04072-01,Control
C3N-00302-02,Control
C3N-00303-01,Control
C3N-00436-01,Control
C3N-00511-03,Control
C3N-00512-01,Control
C3N-00518-01,Control
C3N-01380-01,Control
C3N-01381-02,Control
C3N-01383-03,Control
C3N-01388-03,Control
C3N-01714-02,Control
C3N-01715-02,Control
C3N-01719-04,Control
C3N-01897-01,Control
C3N-01898-04,Control
C3N-01898-04-2,Control
C3N-01899-02,Control
C3N-01899-02-2,Control
C3N-01899-02-3,Control
C3N-02590-01,Control
C3N-02754-01,Control
C3N-02754-01-3,Control
C3N-02765-02,Control
C3N-02765-02-3,Control
C3N-02971-01,Control
C3N-02998-03,Control
C3N-03000-02,Control
C3N-03007-02,Control
C3N-03069-01,Control
C3N-03190-01,Control
C3N-03754-01,Control
C3N-03780-01,Control
C3N-03884-01,Control
C3N-04282-01,Control
C3L-00928-03,Treatment
C3L-01037-01,Treatment
C3L-01637-02,Treatment
C3L-01971-02,Treatment
C3L-02116-03,Treatment
C3L-02606-02,Treatment
C3L-02899-01,Treatment
C3L-02956-01,Treatment
C3L-02956-01-2,Treatment
C3L-03388-02,Treatment
C3L-03639-03,Treatment
C3L-04848-03,Treatment
C3N-00516-02,Treatment
C3N-01168-02,Treatment
C3N-01998-03,Treatment
C3N-02295-04,Treatment
C3N-02696-02,Treatment
C3N-02696-02-2,Treatment
C3N-03439-02,Treatment
C3N-03853-02,Treatment
C3N-04284-01,Treatment
