sample,condition
C3L-00599-01,Control
C3L-00819-01,Control
C3L-01032-01,Control
C3L-01039-03,Control
C3L-01053-01,Control
C3L-01158-01,Control
C3L-01160-01,Control
C3L-01598-02,Control
C3L-02116-03,Control
C3L-02604-01,Control
C3L-02613-02,Control
C3L-02701-02,Control
C3L-02890-02,Control
C3L-03639-03,Control
C3L-04072-01,Control
C3L-04853-01,Control
C3N-01166-02,Control
C3N-01167-01,Control
C3N-01168-02,Control
C3N-01382-01,Control
C3N-01385-02,Control
C3N-01385-02-3,Control
C3N-01388-03,Control
C3N-01715-02,Control
C3N-01716-03,Control
C3N-01719-04,Control
C3N-01898-04,Control
C3N-02579-02,Control
C3N-02594-01,Control
C3N-02696-02-2,Control
C3N-02768-02,Control
C3N-02998-03,Control
C3N-03000-02,Control
C3N-03428-02,Control
C3N-04119-02,Control
C3N-04283-03,Control
C3N-04284-01,Control
C3L-02606-02,Treatment
C3L-02888-02,Treatment
C3L-02888-02-2,Treatment
C3N-01165-03,Treatment
C3N-01998-03,Treatment
C3N-02696-02,Treatment
C3N-03061-01,Treatment
C3N-03430-02,Treatment
C3N-03884-01,Treatment
C3N-04126-02,Treatment
