,C3L-00928-03,C3L-01032-01,C3L-01598-02,C3L-01971-02,C3L-04853-01,C3N-00302-02,C3N-01167-01,C3N-02696-02-2,C3N-03000-02,C3N-03853-02,C3N-04282-01,C3L-02606-02,C3L-03639-03,C3L-03743-01,C3N-02696-02,C3N-04284-01
ENSG00000000003.15,709,715,876,969,1781,1548,1479,1572,1338,1525,2353,1693,2294,1226,1882,1394
ENSG00000000005.6,15,20,6,8,17,31,10,20,11,21,11,5,31,18,9,9
ENSG00000000419.13,1130,636,1597,1038,1277,1166,2193,1044,1751,1068,1393,1175,1592,1630,1464,997
ENSG00000000457.14,713,673,982,778,1207,1083,1895,1476,1223,1025,1521,687,1222,918,1497,921
ENSG00000000460.17,263,356,395,310,442,772,930,531,571,416,447,432,769,418,666,266
ENSG00000000938.13,514,498,883,632,1464,248,412,965,316,247,357,586,588,236,807,224
ENSG00000000971.16,9037,4580,8462,11532,11058,7524,8919,9055,10777,11443,25891,16265,16014,10382,11370,2987
ENSG00000001036.14,1804,754,2370,1339,1570,1852,2198,1418,1222,1019,1638,1332,2306,2072,1913,928
ENSG00000001084.13,905,899,1570,1618,2456,1318,2374,1908,1365,2606,2205,1476,2105,1705,2590,2324
ENSG00000001167.14,1659,1165,1168,1101,1193,1973,1512,1723,1898,1433,1431,1661,1646,1265,1947,1193
ENSG00000001460.18,255,300,483,292,415,243,390,433,280,306,502,259,779,460,463,259
ENSG00000001461.17,954,1332,3325,1644,1850,1081,2071,2987,1370,1504,2445,1658,2550,2904,2786,2250
ENSG00000001497.18,723,1244,1018,1076,830,1319,2097,1801,1010,928,1548,1247,1050,1210,1586,816
ENSG00000001561.7,1379,668,2253,1489,3383,1988,1212,1526,938,1618,1680,704,1513,1052,2197,1267
ENSG00000001617.12,612,985,668,373,501,831,419,434,584,328,917,1478,906,522,530,155
ENSG00000001626.16,10090,3251,3742,20516,24051,8964,15038,76010,1046,13601,56,3797,9634,5817,73896,40105
ENSG00000001629.10,3656,3635,4834,4336,5414,4996,6598,4850,5869,4435,7792,4019,6909,6674,7315,3256
ENSG00000001630.17,145,215,190,222,329,191,512,217,110,129,237,188,235,116,439,246
ENSG00000001631.16,228,245,408,405,587,386,754,568,458,471,606,245,516,560,544,400
ENSG00000002016.18,495,665,493,675,547,628,1059,1162,913,583,744,605,768,805,1072,629
ENSG00000002079.14,81,120,26,64,68,78,76,63,137,46,155,66,672,680,47,20
ENSG00000002330.14,327,308,270,296,195,233,392,138,195,168,298,251,170,276,429,162
ENSG00000002549.12,3460,1573,5249,3830,3917,3612,11923,3336,2288,2499,3054,2376,13038,3829,3822,1712
ENSG00000002586.20,5108,6144,8981,6998,4208,3537,4810,5806,7870,2296,7524,5583,2286,4043,6547,3337
ENSG00000002586.20_PAR_Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002587.10,1434,827,2365,1392,1402,3433,1475,284,465,568,738,1070,1023,2376,378,299
ENSG00000002726.21,1931,860,1031,2860,1794,832,11278,265,231,1392,62,795,111,284,824,369
ENSG00000002745.13,25,47,32,30,29,22,29,22,52,53,145,33,80,26,24,20
ENSG00000002746.15,145,936,280,224,525,198,263,402,910,206,644,399,53,442,414,147
ENSG00000002822.15,95,145,78,69,72,109,152,159,96,62,77,122,236,91,142,70
