,C3L-01637-02,C3L-03743-01,C3N-00302-02,C3N-01167-01,C3N-02754-01-3,C3N-02998-03,C3L-03348-03,C3L-03348-03-2,C3N-03000-02
ENSG00000000003.15,1251,1226,1548,1479,1162,1297,1311,946,1338
ENSG00000000005.6,5,18,31,10,7,115,15,8,11
ENSG00000000419.13,1727,1630,1166,2193,760,1282,1017,717,1751
ENSG00000000457.14,1936,918,1083,1895,998,1339,1580,1040,1223
ENSG00000000460.17,695,418,772,930,301,480,653,444,571
ENSG00000000938.13,1135,236,248,412,542,700,615,577,316
ENSG00000000971.16,8962,10382,7524,8919,14604,12124,23727,14995,10777
ENSG00000001036.14,1696,2072,1852,2198,912,1474,1890,1399,1222
ENSG00000001084.13,1874,1705,1318,2374,1432,2151,2147,1378,1365
ENSG00000001167.14,1229,1265,1973,1512,1113,1430,2121,1360,1898
ENSG00000001460.18,340,460,243,390,262,199,483,331,280
ENSG00000001461.17,2012,2904,1081,2071,1626,1432,2392,1822,1370
ENSG00000001497.18,1434,1210,1319,2097,1000,1187,1391,885,1010
ENSG00000001561.7,2074,1052,1988,1212,1451,1721,2239,1331,938
ENSG00000001617.12,626,522,831,419,277,370,611,423,584
ENSG00000001626.16,21090,5817,8964,15038,26454,1603,56641,26742,1046
ENSG00000001629.10,6351,6674,4996,6598,4115,5138,6217,4488,5869
ENSG00000001630.17,965,116,191,512,241,200,536,289,110
ENSG00000001631.16,642,560,386,754,338,496,485,391,458
ENSG00000002016.18,726,805,628,1059,606,787,1070,983,913
ENSG00000002079.14,49,680,78,76,58,18,84,47,137
ENSG00000002330.14,402,276,233,392,235,175,361,263,195
ENSG00000002549.12,5724,3829,3612,11923,2545,8058,4123,3309,2288
ENSG00000002586.20,4170,4043,3537,4810,5466,4091,5543,4981,7870
ENSG00000002586.20_PAR_Y,0,0,0,0,0,0,0,0,0
ENSG00000002587.10,1127,2376,3433,1475,692,418,266,153,465
ENSG00000002726.21,2395,284,832,11278,1088,1176,753,470,231
ENSG00000002745.13,25,26,22,29,63,78,21,18,52
ENSG00000002746.15,178,442,198,263,170,16,202,376,910
ENSG00000002822.15,64,91,109,152,53,111,119,101,96
ENSG00000002834.18,5750,7812,6341,7794,4424,5167,6975,4877,5562
ENSG00000002919.15,750,795,627,735,637,818,902,696,777
ENSG00000002933.9,2721,910,1062,5940,1277,1659,1285,999,1128
ENSG00000003056.8,5529,4204,2793,3823,2393,2891,5005,3773,3861
ENSG00000003096.14,204,210,234,336,314,248,643,327,91
ENSG00000003137.8,35,133,147,70,37,96,90,95,43
ENSG00000003147.19,3207,2550,922,5732,1290,1720,2468,1614,1190
ENSG00000003249.15,372,92,118,613,87,149,221,125,156
ENSG00000003393.15,3700,3310,2363,4720,2027,2788,3830,2819,3464
ENSG00000003400.15,2662,1431,1210,5529,1173,2287,2071,1681,1378
ENSG00000003402.20,8811,9133,7373,12059,8218,11226,10120,8192,7533
ENSG00000003436.16,6163,11681,3792,6128,3399,5730,7828,4442,3483
ENSG00000003509.16,937,893,797,1193,702,938,924,821,1043
ENSG00000003756.17,5549,3586,4206,5790,4313,5854,5584,4557,5598
ENSG00000003987.14,264,325,195,247,491,226,467,216,168
ENSG00000003989.18,2628,2704,1495,2016,6910,1249,4850,3112,1538
ENSG00000004059.11,2279,932,933,3901,1292,1101,1431,1031,1115
ENSG00000004139.14,480,301,418,476,362,271,468,391,297
ENSG00000004142.12,2494,1832,1620,2747,1394,1542,2135,1567,1552
ENSG00000004399.13,3130,3839,9963,2939,3420,3891,5518,4067,3559
ENSG00000004455.17,5633,4475,9887,8157,3521,5267,5116,3471,3858
ENSG00000004468.13,493,235,297,409,715,1447,490,365,60
ENSG00000004478.8,4493,2376,2162,6286,1465,2204,3467,2415,2258
ENSG00000004487.17,4111,6170,2792,4731,2337,2983,4053,3158,5156
ENSG00000004534.15,5835,4282,3855,6318,4602,6452,4534,3589,5080
ENSG00000004660.15,387,418,284,598,550,314,523,411,249
ENSG00000004700.16,2678,3807,2098,2384,1671,2336,3897,3157,3655
ENSG00000004766.17,3049,2294,1908,3578,1856,2308,2776,1809,2305
ENSG00000004776.13,15,24,112,84,92,58,74,80,7
ENSG00000004777.18,107,48,221,187,178,81,240,213,99
ENSG00000004779.10,1571,1265,543,2956,757,1120,1135,807,934
ENSG00000004799.8,7555,2564,1611,3347,9264,8446,8080,3911,590
ENSG00000004809.14,14,5,16,22,22,8,12,8,9
ENSG00000004838.14,36,17,86,38,42,23,56,53,42
ENSG00000004846.16,37,61,26,13,27,104,45,45,35
ENSG00000004848.8,51,29,13,79,72,0,192,89,0
ENSG00000004864.14,3400,2488,1514,4674,1394,1662,2087,1606,1794
ENSG00000004866.22,932,919,724,1417,625,647,956,574,952
ENSG00000004897.12,3857,4483,4373,3698,3041,4197,4696,3061,4381
ENSG00000004939.15,10,6,8,4,3,9,12,3,7
ENSG00000004948.16,30,48,11,51,30,31,32,14,31
ENSG00000004961.15,807,487,616,1187,321,532,491,306,386
ENSG00000004975.12,844,786,818,1015,717,919,964,807,918
ENSG00000005001.10,2188,1275,478,2112,389,289,475,408,825
ENSG00000005007.13,3482,2353,2954,5682,2343,2364,3887,2936,2699
ENSG00000005020.13,4321,4020,3133,4819,2762,4500,3848,2826,3262
ENSG00000005022.6,9077,5171,3894,11156,2803,4289,3413,2069,3148
ENSG00000005059.16,1154,697,892,649,632,1403,831,651,886
ENSG00000005073.6,0,66,87,91,4,27,18,16,40
ENSG00000005075.15,1104,622,495,1039,297,411,531,330,465
ENSG00000005100.13,675,626,809,686,573,1037,973,665,851
ENSG00000005102.14,340,975,69,526,460,382,448,352,58
ENSG00000005108.16,968,1415,1312,651,1459,948,2975,1455,2240
ENSG00000005156.12,1975,1853,1809,2485,1114,1341,1518,1024,1391
ENSG00000005175.10,1144,1488,1452,1700,1062,1269,1501,975,1197
ENSG00000005187.12,1643,232,442,1405,917,380,2486,1364,165
ENSG00000005189.20,204,120,234,426,192,234,212,150,125
ENSG00000005194.15,1324,1441,596,2158,827,1077,1173,1071,1093
ENSG00000005206.17,1118,664,715,1887,891,631,915,834,448
ENSG00000005238.20,1244,1422,740,2885,677,663,672,532,826
ENSG00000005243.10,598,833,379,608,535,709,653,705,957
ENSG00000005249.13,411,288,548,318,651,3185,1100,543,321
ENSG00000005302.19,1295,1267,1080,2162,1055,2098,1466,1058,1422
ENSG00000005339.15,2990,3345,3716,4936,3576,3695,6163,3833,4179
ENSG00000005379.17,537,216,728,475,963,467,836,663,817
ENSG00000005381.8,20,7,13,13,12,10,21,13,5
ENSG00000005421.9,30,57,25,40,78,33,46,42,22
ENSG00000005436.14,865,3299,1266,1533,862,1226,1423,817,817
ENSG00000005448.17,370,638,478,537,316,167,497,471,402
ENSG00000005469.12,1209,1182,537,1287,802,882,936,736,1233
ENSG00000005471.19,187,189,197,322,248,263,384,271,376
ENSG00000005483.21,5230,6339,6160,7094,5028,6113,8559,4772,6119
ENSG00000005486.17,1663,1866,1163,3281,1360,1041,1614,1076,964
ENSG00000005513.10,111,55,42,201,99,88,127,89,32
ENSG00000005700.15,5677,6091,3964,8287,3806,6459,6438,4388,6181
ENSG00000005801.18,1799,2551,2300,4363,1302,2481,2063,1363,1330
ENSG00000005810.18,12224,9484,9254,16101,11595,18521,17192,10872,9731
ENSG00000005812.11,2615,2364,2169,3224,1844,2557,2974,1751,2819
ENSG00000005844.19,887,351,404,685,818,2768,773,673,176
ENSG00000005882.12,562,260,437,598,285,442,409,269,300
ENSG00000005884.18,7898,17800,22228,6967,6210,2702,10347,8676,11570
ENSG00000005889.16,4095,3275,3336,8886,2739,4739,3519,2417,3453
ENSG00000005893.16,10311,11146,6662,12869,6327,6939,8561,6293,9606
ENSG00000005961.19,21,21,78,15,17,19,22,18,45
ENSG00000005981.13,29,24,14,35,182,4,83,35,12
ENSG00000006007.12,3544,3859,1596,4641,1775,1784,2946,2646,2325
ENSG00000006015.18,1068,316,518,1713,512,479,510,590,401
ENSG00000006016.11,43,142,90,68,79,38,46,58,175
ENSG00000006025.12,2072,1456,716,2038,839,521,921,762,557
ENSG00000006042.12,2233,2092,1099,3999,2038,1381,3036,2211,2187
ENSG00000006047.13,5,9,10,324,6,113,15,15,3
ENSG00000006059.4,1,0,0,0,0,0,0,0,2
ENSG00000006062.17,490,441,695,620,524,706,689,570,345
ENSG00000006071.15,1852,1513,798,1850,7554,19,4761,2483,20
ENSG00000006116.4,1,1,0,3,1,0,0,0,0
ENSG00000006118.15,698,610,1453,676,610,370,621,718,1142
ENSG00000006125.18,10051,10017,11881,7746,7759,9450,14110,8944,9359
ENSG00000006128.12,6,11,5,213,34,5,9,14,14
