sample,condition
C3L-00599-01,Control
C3L-00819-01,Control
C3L-01054-04,Control
C3L-02116-03,Control
C3L-02604-01,Control
C3L-02701-02,Control
C3L-03395-02,Control
C3L-04853-01,Control
C3N-00511-03,Control
C3N-00513-03,Control
C3N-01166-02,Control
C3N-01167-01,Control
C3N-01375-02,Control
C3N-01998-03,Control
C3N-02589-01,Control
C3N-02997-01,Control
C3N-03754-01,Control
C3L-00277-03,Treatment
C3L-01662-03,Treatment
C3N-02579-02,Treatment
C3N-03426-01,Treatment
C3N-03439-02,Treatment
C3N-03666-01,Treatment
