sample,condition
C3L-01037-01,Control
C3L-01703-02,Control
C3L-02116-03,Control
C3L-02118-01,Control
C3L-02613-02,Control
C3L-02701-02,Control
C3L-02888-02-2,Control
C3L-02956-01-2,Control
C3L-03628-02,Control
C3L-03639-03,Control
C3N-00512-01,Control
C3N-01375-02,Control
C3N-01899-02,Control
C3N-01997-03,Control
C3N-02696-02-2,Control
C3N-03061-01,Control
C3N-04284-01,Control
C3L-01971-02,Treatment
C3L-02606-02,Treatment
C3L-02956-01,Treatment
C3N-00303-01,Treatment
C3N-01716-03,Treatment
C3N-03853-02,Treatment
C3N-04126-02,Treatment
