sample,condition
TCGA-2J-AAB1-01A,Control
TCGA-2J-AAB6-01A,Control
TCGA-2L-AAQJ-01A,Control
TCGA-3A-A9I9-01A,Control
TCGA-3A-A9IU-01A,Control
TCGA-3A-A9IZ-01A,Control
TCGA-3E-AAAZ-01A,Control
TCGA-F2-6879-01A,Control
TCGA-F2-A7TX-01A,Control
TCGA-FB-AAPP-01A,Control
TCGA-FB-AAQ0-01A,Control
TCGA-FB-AAQ1-01A,Control
TCGA-HV-A5A6-01A,Control
TCGA-HZ-7926-01A,Control
TCGA-HZ-8005-01A,Control
TCGA-HZ-8317-01A,Control
TCGA-IB-7887-01A,Control
TCGA-IB-7893-01A,Control
TCGA-IB-A5SS-01A,Control
TCGA-IB-A7LX-01A,Control
TCGA-IB-AAUO-01A,Control
TCGA-L1-A7W4-01A,Control
TCGA-IB-AAUQ-01A,Treatment
TCGA-LB-A7SX-01A,Treatment
TCGA-US-A77J-01A,Treatment
