,TCGA-2L-AAQI-01A,TCGA-2L-AAQJ-01A,TCGA-F2-A7TX-01A,TCGA-FB-A7DR-01A,TCGA-FB-AAPY-01A,TCGA-FB-AAQ3-01A,TCGA-HZ-7926-01A,TCGA-IB-7644-01A,TCGA-IB-7654-01A,TCGA-IB-AAUO-01A,TCGA-FB-AAQ0-01A,TCGA-H6-A45N-01A,TCGA-HZ-8637-01A,TCGA-LB-A7SX-01A,TCGA-US-A77J-01A
ENSG00000000005.6,0,1,23,2,3,5,6,3,33,0,0,3,49,2,1
ENSG00000000419.13,1364,1357,1396,1511,924,1299,1951,1806,1690,1489,1362,717,3152,1930,1032
ENSG00000000457.14,645,642,581,610,691,384,1791,1438,917,554,823,479,2012,810,462
ENSG00000000460.17,290,199,509,200,138,76,341,308,197,238,183,146,754,317,145
ENSG00000000938.13,409,516,676,764,1477,281,768,551,640,522,111,768,5368,265,1415
ENSG00000000971.16,7831,4683,6074,6797,7064,4084,14512,5116,8280,2934,1468,5104,22679,2821,6682
ENSG00000001036.14,2086,2522,2900,2829,2726,2561,4686,2334,2902,2176,2651,1162,3638,1781,1613
ENSG00000001084.13,1048,1525,2265,1801,1107,1051,4860,2792,2067,615,893,774,4303,1238,1388
ENSG00000001167.14,1468,2028,1065,1446,836,575,2776,1374,1897,1006,1082,777,2207,1236,795
ENSG00000001460.18,485,310,666,442,496,319,639,1096,1325,260,375,442,1028,896,436
ENSG00000001461.17,1422,2073,2116,2207,1471,572,2714,5385,3219,1013,809,1352,5614,2857,1455
ENSG00000001497.18,2222,1717,2268,2284,1898,1173,3101,2334,2545,2379,1890,1110,2655,2432,1760
ENSG00000001561.7,1701,1895,1448,1890,509,687,2548,2282,3908,597,414,889,3698,1241,552
ENSG00000001617.12,1236,1987,1680,1983,1277,718,2141,4587,2810,1925,1310,854,1917,3178,1227
ENSG00000001626.16,36151,6882,17763,3926,11010,8266,14545,9268,27940,5232,1089,15715,10764,17676,9148
ENSG00000001629.10,3187,1768,3712,3485,1621,1287,4971,4551,5983,2692,2058,1399,4971,4007,996
ENSG00000001630.17,424,194,208,141,54,2,275,214,430,64,86,51,139,202,57
ENSG00000001631.16,263,231,253,257,276,211,347,298,267,322,345,133,482,518,221
ENSG00000002016.18,318,173,346,305,421,242,490,367,2301,416,519,246,949,615,260
ENSG00000002079.14,165,57,55,30,27,20,694,20,134,71,47,78,10,26,20
ENSG00000002330.14,460,453,444,724,771,589,462,790,372,641,592,310,489,876,533
ENSG00000002549.12,6106,4627,10690,5955,4350,2764,8995,5468,6405,5351,1835,3167,32389,3873,4866
ENSG00000002586.20,8881,12102,7665,15086,11870,11789,13302,10259,18289,7691,4356,9107,16946,9568,12016
ENSG00000002586.20_PAR_Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002587.10,3176,6273,2297,5272,1475,1677,17343,2364,1468,1351,2263,1638,2092,983,1576
ENSG00000002726.21,9631,7074,863,2426,7689,3610,5157,37555,4001,2921,5856,1725,1253,9233,1145
ENSG00000002745.13,19,10,14,24,17,7,36,12,6,21,21,7,34,581,24
ENSG00000002746.15,47,26,33,176,87,34,45,538,446,46,95,67,152,87,102
ENSG00000002822.15,9,36,31,17,30,15,49,10,28,20,14,19,59,17,105
ENSG00000002834.18,13674,27095,14373,16221,9655,3918,20575,21426,24967,12128,11461,6847,18453,13562,8034
ENSG00000002919.15,1072,920,1144,1558,1118,1134,1646,1707,2215,1581,751,717,2475,807,1315
ENSG00000002933.9,2838,9187,3763,8259,6104,5230,8239,12229,2167,1579,4532,3511,16186,4479,8899
ENSG00000003056.8,3259,1581,5295,2882,1874,536,5612,6593,7545,1791,1430,1547,8242,1905,1599
ENSG00000003096.14,224,90,146,552,79,84,296,138,218,37,23,134,851,37,74
ENSG00000003137.8,74,159,172,326,79,27,174,153,131,118,29,156,1176,76,242
ENSG00000003147.19,2105,2154,1310,1522,2193,1623,2592,4347,3896,1994,2749,1061,2386,2706,1293
ENSG00000003249.15,894,1138,373,531,1178,644,1235,2472,844,1546,1002,373,562,1889,587
ENSG00000003393.15,1352,1370,1230,1258,1102,673,2420,2644,1975,906,1191,813,3122,1473,655
ENSG00000003400.15,2141,1579,1296,1413,1923,986,1848,3009,1682,1773,2726,987,4603,1768,910
ENSG00000003402.20,6413,7632,6603,9737,5752,2433,16334,5849,8969,8718,5138,4341,21712,6337,5076
ENSG00000003436.16,8336,6082,4313,3456,4243,3172,12792,4371,7270,1961,2830,3357,3419,1977,2806
ENSG00000003509.16,577,445,366,657,682,548,806,511,587,543,561,378,954,714,389
ENSG00000003756.17,2280,1696,1898,2555,4283,2135,3810,2791,2296,3326,4260,2373,5497,3474,3139
ENSG00000003987.14,73,54,61,69,66,30,67,37,140,37,86,109,406,57,79
ENSG00000003989.18,2298,506,1932,677,1069,273,2163,496,3327,373,326,2432,5201,296,1564
ENSG00000004059.11,4736,5098,4586,3324,4779,5575,5688,6235,5403,5414,3691,2544,5296,6234,4261
ENSG00000004139.14,277,173,220,301,243,73,265,319,371,296,311,249,457,522,247
ENSG00000004142.12,4782,4379,4717,5006,4458,3057,6372,5967,6087,5837,3709,2475,7713,7480,3338
ENSG00000004399.13,4332,6129,6178,8724,5045,1325,6003,4205,8497,6453,2179,4853,14231,9502,6959
ENSG00000004455.17,3987,4234,5726,3975,5110,4603,6013,8293,4178,6152,4520,2508,8458,7188,3522
ENSG00000004468.13,68,306,1678,336,218,54,356,100,108,150,12,143,3490,343,802
ENSG00000004478.8,6154,2885,7155,4401,2936,1969,6320,6705,35377,4776,4021,1600,4591,6836,2262
ENSG00000004487.17,3648,2509,5985,2607,3925,2287,5092,8545,5702,2705,3456,2765,5243,5245,2651
ENSG00000004534.15,3248,1994,2374,3877,4774,1730,3771,3739,2347,3385,5167,2381,7061,4791,5603
ENSG00000004660.15,470,402,417,486,657,177,479,339,625,317,357,602,1110,720,823
ENSG00000004700.16,970,656,1372,1468,536,148,1879,1482,2186,548,362,471,2996,537,437
ENSG00000004766.17,1286,754,1082,1159,655,602,1473,1793,1781,967,591,620,2484,1276,578
ENSG00000004776.13,421,346,239,5674,201,200,380,376,264,111,74,217,368,405,996
ENSG00000004777.18,288,217,260,308,414,236,294,438,162,677,388,549,881,859,267
ENSG00000004779.10,1906,2307,3562,2345,1743,2448,2215,2334,2489,2294,1699,721,2782,2619,1770
ENSG00000004799.8,1900,3589,12808,7080,2177,1326,13678,3665,9863,761,523,4045,8336,2493,11414
ENSG00000004809.14,3,5,7,21,6,4,8,0,5,3,2,6,22,4,11
ENSG00000004838.14,49,14,35,25,38,83,111,32,26,28,61,40,39,59,50
ENSG00000004846.16,28,4,6,78,18,8,20,16,19,8,1,8,38,28,15
ENSG00000004848.8,314,9,156,34,145,15,10,17,128,57,84,110,343,29,83
ENSG00000004864.14,2332,1166,1647,1605,1292,654,2643,2925,2421,1131,1439,802,2551,2733,758
ENSG00000004866.22,1026,924,864,1102,1131,757,1841,1428,1718,1243,993,548,1499,1329,861
ENSG00000004897.12,2282,1564,3694,3125,1706,1423,4807,3864,4520,2452,2030,1359,5394,1750,1656
ENSG00000004939.15,2,2,9,0,2,0,8,2,0,2,3,7,2,3,14
ENSG00000004948.16,5,2,10,2,5,1,32,6,8,5,0,9,93,21,3
ENSG00000004961.15,997,1125,1714,1372,895,1033,1979,2326,1539,1170,948,509,1816,1500,637
ENSG00000004975.12,1105,1117,1194,1390,1425,748,1465,1348,1917,1072,993,1271,2931,1490,1198
ENSG00000005001.10,3176,3962,2530,2773,4155,1894,4106,1550,2750,2566,3270,1820,1216,3481,759
ENSG00000005007.13,9289,7537,7162,5914,6060,1651,11348,14789,12953,6739,5769,4667,12276,6259,4527
ENSG00000005020.13,4677,2756,3775,2893,1954,2007,5477,5772,8113,1488,2958,2044,7985,3246,1687
ENSG00000005022.6,10802,12504,21448,10742,7640,8078,17610,23502,13266,8465,8758,4294,22601,9523,7727
ENSG00000005059.16,705,922,810,1006,985,1237,1618,1136,1205,1632,898,575,1788,1058,1555
ENSG00000005073.6,297,21,92,0,36,28,1,77,41,107,231,47,34,101,0
ENSG00000005075.15,1301,1693,1427,1808,2157,2057,1873,2285,1693,2063,1497,777,1943,2328,1438
ENSG00000005100.13,821,744,1061,1067,665,347,1670,1248,1016,705,642,742,2058,984,507
ENSG00000005102.14,755,208,384,508,436,90,462,119,274,76,17,289,690,170,460
ENSG00000005108.16,437,321,422,915,415,156,1816,269,900,291,45,342,588,154,261
ENSG00000005156.12,1295,933,1294,1344,860,465,1861,2094,2018,923,1381,617,1889,2080,621
