sample,condition
TCGA-2J-AABF-01A,Control
TCGA-2L-AAQE-01A,Control
TCGA-2L-AAQL-01A,Control
TCGA-3A-A9IC-01A,Control
TCGA-3A-A9IZ-01A,Control
TCGA-F2-6879-01A,Control
TCGA-F2-7273-01A,Control
TCGA-F2-A7TX-01A,Control
TCGA-FB-A545-01A,Control
TCGA-FB-A78T-01A,Control
TCGA-FB-AAPP-01A,Control
TCGA-FB-AAPU-01A,Control
TCGA-FB-AAPY-01A,Control
TCGA-FB-AAQ0-01A,Control
TCGA-FB-AAQ1-01A,Control
TCGA-FB-AAQ2-01A,Control
TCGA-FB-AAQ6-01A,Control
TCGA-HV-A5A6-01A,Control
TCGA-HV-AA8X-01A,Control
TCGA-HZ-7289-01A,Control
TCGA-HZ-7919-01A,Control
TCGA-HZ-8002-01A,Control
TCGA-HZ-8003-01A,Control
TCGA-HZ-8315-01A,Control
TCGA-HZ-8638-01A,Control
TCGA-HZ-A49I-01A,Control
TCGA-IB-7651-01A,Control
TCGA-IB-7886-01A,Control
TCGA-IB-7887-01A,Control
TCGA-IB-7889-01A,Control
TCGA-IB-A5SQ-01A,Control
TCGA-IB-A6UG-01A,Control
TCGA-IB-AAUO-01A,Control
TCGA-IB-AAUW-01A,Control
TCGA-RB-A7B8-01A,Control
TCGA-US-A77E-01A,Control
TCGA-US-A77J-01A,Control
TCGA-F2-A44G-01A,Treatment
TCGA-IB-A7LX-01A,Treatment
TCGA-LB-A7SX-01A,Treatment
