sample,condition
TCGA-2J-AAB1-01A,Control
TCGA-2J-AAB6-01A,Control
TCGA-2J-AAB9-01A,Control
TCGA-2J-AABA-01A,Control
TCGA-2J-AABU-01A,Control
TCGA-2J-AABV-01A,Control
TCGA-2L-AAQA-01A,Control
TCGA-2L-AAQI-01A,Control
TCGA-2L-AAQJ-01A,Control
TCGA-3A-A9I9-01A,Control
TCGA-3A-A9IB-01A,Control
TCGA-3A-A9IU-01A,Control
TCGA-3E-AAAZ-01A,Control
TCGA-F2-7276-01A,Control
TCGA-FB-A4P5-01A,Control
TCGA-FB-A5VM-01A,Control
TCGA-FB-A7DR-01A,Control
TCGA-FB-AAPQ-01A,Control
TCGA-FB-AAQ3-01A,Control
TCGA-H6-A45N-01A,Control
TCGA-HV-A5A3-01A,Control
TCGA-HZ-7920-01A,Control
TCGA-HZ-7925-01A,Control
TCGA-HZ-7926-01A,Control
TCGA-HZ-8005-01A,Control
TCGA-HZ-8317-01A,Control
TCGA-HZ-8636-01A,Control
TCGA-HZ-8637-01A,Control
TCGA-HZ-A77O-01A,Control
TCGA-IB-7644-01A,Control
TCGA-IB-7645-01A,Control
TCGA-IB-7646-01A,Control
TCGA-IB-7647-01A,Control
TCGA-IB-7649-01A,Control
TCGA-IB-7654-01A,Control
TCGA-IB-7888-01A,Control
TCGA-IB-7890-01A,Control
TCGA-IB-7891-01A,Control
TCGA-IB-7893-01A,Control
TCGA-IB-7897-01A,Control
TCGA-IB-A5SO-01A,Control
TCGA-IB-A5SS-01A,Control
TCGA-IB-AAUN-01A,Control
TCGA-IB-AAUQ-01A,Control
TCGA-L1-A7W4-01A,Control
TCGA-LB-A9Q5-01A,Control
TCGA-OE-A75W-01A,Control
TCGA-PZ-A5RE-01A,Control
TCGA-S4-A8RP-01A,Control
TCGA-US-A774-01A,Control
TCGA-US-A779-01A,Control
TCGA-US-A77G-01A,Control
TCGA-XD-AAUI-01A,Control
TCGA-F2-A44G-01A,Treatment
TCGA-IB-A7LX-01A,Treatment
TCGA-LB-A7SX-01A,Treatment
