,TCGA-2L-AAQE-01A,TCGA-2L-AAQI-01A,TCGA-3A-A9IB-01A,TCGA-3E-AAAZ-01A,TCGA-F2-A7TX-01A,TCGA-FB-A5VM-01A,TCGA-FB-A78T-01A,TCGA-IB-7651-01A,TCGA-IB-7890-01A,TCGA-IB-A5SS-01A,TCGA-IB-AAUO-01A,TCGA-IB-AAUW-01A,TCGA-PZ-A5RE-01A,TCGA-US-A779-01A,TCGA-XD-AAUI-01A,TCGA-2J-AAB6-01A,TCGA-IB-AAUQ-01A,TCGA-LB-A7SX-01A
ENSG00000000005.6,2,0,2,4,23,91,1,1,0,1,0,13,3,0,1,0,4,2
ENSG00000000419.13,1578,1364,1507,1919,1396,2767,1320,2029,1642,1298,1489,1593,1647,1169,1467,2011,974,1930
ENSG00000000457.14,562,645,524,1037,581,232,1052,1231,533,654,554,1097,524,552,630,330,438,810
ENSG00000000460.17,221,290,243,251,509,351,232,370,200,206,238,169,139,154,274,353,171,317
ENSG00000000938.13,258,409,843,619,676,746,1949,2702,600,1315,522,1144,1130,359,1039,371,300,265
ENSG00000000971.16,1966,7831,10605,4757,6074,6086,5561,10789,7705,4456,2934,17818,5651,1946,4608,2951,6457,2821
ENSG00000001036.14,1539,2086,3323,1486,2900,4245,2793,5326,1531,2783,2176,2249,2418,1834,2345,2524,2185,1781
ENSG00000001084.13,577,1048,1164,2620,2265,1166,1169,3193,782,908,615,2422,579,657,1282,726,1544,1238
ENSG00000001167.14,985,1468,1602,1126,1065,773,1912,2174,1460,1251,1006,1632,1010,740,1212,890,830,1236
ENSG00000001460.18,742,485,892,345,666,246,479,866,585,754,260,817,799,573,461,727,508,896
ENSG00000001461.17,3211,1422,2335,2714,2116,1289,1814,3622,1746,1948,1013,3859,2391,2519,2010,2163,1564,2857
ENSG00000001497.18,2223,2222,2093,1985,2268,2573,2511,2503,1216,2178,2379,2103,1927,2022,2232,1570,1484,2432
ENSG00000001561.7,564,1701,628,1604,1448,450,1267,4505,1168,1193,597,2370,738,574,952,521,860,1241
ENSG00000001617.12,1329,1236,4121,1266,1680,1522,815,2401,3145,2745,1925,1633,2077,2035,1252,5626,2216,3178
ENSG00000001626.16,403,36151,4041,2179,17763,361,17425,10566,423,281,5232,68951,2239,15140,6517,250,7358,17676
ENSG00000001629.10,3082,3187,4133,3363,3712,975,2701,6368,3964,4339,2692,3023,2625,1307,2051,2209,2614,4007
ENSG00000001630.17,101,424,92,314,208,15,140,317,65,142,64,396,138,139,142,87,91,202
ENSG00000001631.16,288,263,244,402,253,189,405,447,225,208,322,381,340,289,316,201,270,518
ENSG00000002016.18,279,318,514,606,346,136,841,558,203,265,416,597,283,403,578,190,378,615
ENSG00000002079.14,114,165,105,155,55,73,163,38,208,1615,71,22,248,66,119,1647,79,26
ENSG00000002330.14,806,460,685,588,444,1035,619,435,102,725,641,499,1018,1165,614,561,546,876
ENSG00000002549.12,4413,6106,4216,3225,10690,5274,4019,16539,3198,6149,5351,6677,6202,3269,3726,3672,3111,3873
ENSG00000002586.20,8163,8881,13688,12863,7665,17785,8883,10457,16397,17923,7691,10547,14649,6556,14319,11893,15822,9568
ENSG00000002586.20_PAR_Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002587.10,2654,3176,1331,2512,2297,1262,5236,2592,926,8154,1351,3242,8533,2501,2133,6008,481,983
ENSG00000002726.21,8838,9631,1354,3661,863,367,5654,3566,1936,4263,2921,2432,8469,10958,2859,420,1894,9233
ENSG00000002745.13,30,19,14,51,14,27,7,28,6,52,21,19,4,7,17,14,10,581
ENSG00000002746.15,59,47,81,165,33,25,15,500,234,248,46,39,190,19,73,15,107,87
ENSG00000002822.15,14,9,18,113,31,40,42,35,48,28,20,24,56,11,56,108,29,17
ENSG00000002834.18,15971,13674,16293,12980,14373,9716,15490,24029,13203,24159,12128,15882,17185,13015,11099,10532,9181,13562
ENSG00000002919.15,1620,1072,1199,1426,1144,1826,1509,2677,1103,1535,1581,1461,1885,1573,2115,844,970,807
ENSG00000002933.9,11566,2838,4296,2985,3763,4588,9200,5562,2289,12151,1579,6331,10787,9164,7725,2599,5786,4479
ENSG00000003056.8,3022,3259,3887,3908,5295,1550,3132,7834,3844,5133,1791,3972,3211,1745,2042,1049,1329,1905
ENSG00000003096.14,92,224,236,314,146,75,91,292,101,72,37,383,33,33,99,104,79,37
ENSG00000003137.8,118,74,101,88,172,262,72,438,182,371,118,181,68,61,276,80,265,76
ENSG00000003147.19,2324,2105,1794,2832,1310,1065,3924,2921,1194,1628,1994,2390,4222,3278,2443,1202,1732,2706
ENSG00000003249.15,898,894,1361,317,373,135,1624,2224,518,1002,1546,824,1491,1775,2703,361,666,1889
ENSG00000003393.15,1249,1352,1300,2241,1230,729,1938,4277,1255,1498,906,2077,1645,1050,1510,734,808,1473
ENSG00000003400.15,1664,2141,1304,1630,1296,660,2592,2869,888,1263,1773,2076,2846,1223,1809,564,1259,1768
ENSG00000003402.20,5297,6413,6360,7002,6603,4782,8965,23563,4530,6668,8718,10275,4876,4531,5766,4681,4530,6337
ENSG00000003436.16,6526,8336,11284,2523,4313,1614,6909,5302,3752,3355,1961,5905,4115,3903,3742,2595,2868,1977
ENSG00000003509.16,622,577,641,918,366,530,702,1001,416,482,543,647,698,428,651,396,437,714
ENSG00000003756.17,3821,2280,2542,5056,1898,1658,8395,3116,1690,2124,3326,4444,3263,3210,4465,2273,2700,3474
ENSG00000003987.14,29,73,44,63,61,47,77,119,96,36,37,198,40,83,91,75,92,57
ENSG00000003989.18,209,2298,1974,543,1932,764,1807,2157,2360,490,373,4072,338,1247,2454,1626,1541,296
ENSG00000004059.11,6937,4736,5728,5549,4586,7838,6184,5477,3083,5632,5414,4145,4004,6413,4412,4231,3885,6234
ENSG00000004139.14,410,277,174,484,220,107,413,495,217,326,296,588,228,371,227,68,187,522
ENSG00000004142.12,5016,4782,5118,5700,4717,5279,5149,7697,3577,5867,5837,5112,5697,6255,4735,3668,3535,7480
ENSG00000004399.13,3146,4332,13995,5835,6178,7754,4662,11014,10500,11601,6453,7753,6512,3324,9493,8589,6836,9502
ENSG00000004455.17,5233,3987,5218,4240,5726,7714,5258,7906,3450,3767,6152,5692,5820,4827,4697,5168,4101,7188
ENSG00000004468.13,110,68,163,149,1678,281,142,1445,105,220,150,479,120,25,259,118,164,343
ENSG00000004478.8,4932,6154,5513,6174,7155,4263,5628,6581,3390,6839,4776,4286,5812,4183,4658,2519,3160,6836
ENSG00000004487.17,5567,3648,5101,3621,5985,3302,4780,4834,4498,4544,2705,3915,5297,4008,17458,4451,4501,5245
ENSG00000004534.15,4203,3248,2834,4867,2374,2825,9956,4557,2032,2713,3385,6784,3475,3902,4738,3049,4226,4791
ENSG00000004660.15,224,470,471,771,417,491,537,1237,579,553,317,1045,544,404,780,306,497,720
ENSG00000004700.16,751,970,1841,1080,1372,305,617,3535,2390,2106,548,1130,710,263,784,687,789,537
ENSG00000004766.17,1240,1286,960,1524,1082,546,1165,2498,1099,1059,967,1257,965,863,877,740,991,1276
ENSG00000004776.13,348,421,373,3946,239,483,151,176,187,201,111,1514,139,94,477,267,436,405
ENSG00000004777.18,299,288,325,537,260,240,1033,247,244,157,677,455,413,320,428,509,298,859
ENSG00000004779.10,2115,1906,2990,2712,3562,2822,1970,2485,1424,2415,2294,1826,2578,1991,1498,1378,1682,2619
ENSG00000004799.8,1757,1900,5658,13892,12808,2103,4322,8671,973,1973,761,9354,4343,1142,6404,1349,4232,2493
ENSG00000004809.14,2,3,9,9,7,4,17,28,1,14,3,12,14,4,8,12,3,4
ENSG00000004838.14,150,49,214,31,35,32,41,49,53,19,28,74,288,23,40,42,59,59
ENSG00000004846.16,6,28,78,25,6,14,23,24,15,6,8,26,4,1,78,5,24,28
ENSG00000004848.8,5,314,10,32,156,123,89,68,143,26,57,396,77,78,138,242,293,29
ENSG00000004864.14,1422,2332,1217,1774,1647,949,1435,2167,1312,1560,1131,1852,2123,1184,1216,978,1171,2733
ENSG00000004866.22,1123,1026,1036,1223,864,1037,1170,1458,746,1248,1243,1159,1070,1062,1083,1052,834,1329
ENSG00000004897.12,2016,2282,3638,3316,3694,2199,2423,7110,3398,3192,2452,3335,2112,1522,3904,2242,1769,1750
ENSG00000004939.15,1,2,0,3,9,0,1,5,0,0,2,4,6,0,0,0,1,3
ENSG00000004948.16,4,5,3,3,10,10,6,25,18,4,5,9,5,2,6,1,9,21
