sample,condition
TCGA-2J-AAB6-01A,Control
TCGA-2J-AABU-01A,Control
TCGA-2L-AAQA-01A,Control
TCGA-3A-A9IB-01A,Control
TCGA-3A-A9IZ-01A,Control
TCGA-F2-6879-01A,Control
TCGA-FB-A545-01A,Control
TCGA-FB-A5VM-01A,Control
TCGA-FB-AAPP-01A,Control
TCGA-FB-AAPQ-01A,Control
TCGA-FB-AAPU-01A,Control
TCGA-FB-AAQ0-01A,Control
TCGA-FB-AAQ6-01A,Control
TCGA-HZ-7289-01A,Control
TCGA-HZ-7925-01A,Control
TCGA-HZ-8005-01A,Control
TCGA-IB-7888-01A,Control
TCGA-IB-7893-01A,Control
TCGA-IB-A5SO-01A,Control
TCGA-L1-A7W4-01A,Control
TCGA-US-A77E-01A,Control
TCGA-XD-AAUI-01A,Control
TCGA-2J-AAB9-01A,Treatment
TCGA-2J-AABF-01A,Treatment
TCGA-2J-AABV-01A,Treatment
TCGA-3A-A9I9-01A,Treatment
TCGA-3A-A9IC-01A,Treatment
TCGA-FB-A4P5-01A,Treatment
TCGA-HZ-8002-01A,Treatment
TCGA-HZ-8003-01A,Treatment
TCGA-HZ-A77O-01A,Treatment
TCGA-IB-7886-01A,Treatment
TCGA-IB-7891-01A,Treatment
TCGA-IB-7897-01A,Treatment
TCGA-IB-A6UG-01A,Treatment
TCGA-IB-AAUN-01A,Treatment
TCGA-IB-AAUW-01A,Treatment
TCGA-LB-A7SX-01A,Treatment
TCGA-US-A774-01A,Treatment
