sample,condition
TCGA-2J-AAB9-01A,Control
TCGA-2L-AAQI-01A,Control
TCGA-3A-A9IB-01A,Control
TCGA-HZ-7289-01A,Control
TCGA-HZ-7919-01A,Control
TCGA-HZ-7926-01A,Control
TCGA-HZ-8002-01A,Control
TCGA-HZ-8315-01A,Control
TCGA-IB-7651-01A,Control
TCGA-IB-7887-01A,Control
TCGA-IB-7890-01A,Control
TCGA-IB-7891-01A,Control
TCGA-IB-AAUW-01A,Control
TCGA-OE-A75W-01A,Control
TCGA-XD-AAUI-01A,Control
TCGA-F2-A7TX-01A,Treatment
TCGA-IB-7646-01A,Treatment
TCGA-IB-AAUQ-01A,Treatment
TCGA-LB-A7SX-01A,Treatment
