sample,condition
TCGA-3A-A9IC-01A,Control
TCGA-3A-A9IZ-01A,Control
TCGA-FB-AAPP-01A,Control
TCGA-FB-AAPQ-01A,Control
TCGA-FB-AAPU-01A,Control
TCGA-FB-AAQ0-01A,Control
TCGA-HV-A5A3-01A,Control
TCGA-HV-A5A6-01A,Control
TCGA-HZ-7289-01A,Control
TCGA-PZ-A5RE-01A,Control
TCGA-2J-AAB9-01A,Treatment
TCGA-2J-AABU-01A,Treatment
TCGA-3A-A9I9-01A,Treatment
TCGA-F2-7273-01A,Treatment
TCGA-FB-A4P5-01A,Treatment
TCGA-H6-A45N-01A,Treatment
TCGA-HZ-7919-01A,Treatment
TCGA-HZ-7920-01A,Treatment
TCGA-HZ-7925-01A,Treatment
TCGA-HZ-8002-01A,Treatment
TCGA-HZ-8636-01A,Treatment
TCGA-HZ-8637-01A,Treatment
TCGA-HZ-8638-01A,Treatment
TCGA-IB-7647-01A,Treatment
TCGA-IB-7649-01A,Treatment
TCGA-IB-7888-01A,Treatment
TCGA-IB-7890-01A,Treatment
TCGA-IB-7891-01A,Treatment
TCGA-IB-7893-01A,Treatment
TCGA-IB-7897-01A,Treatment
TCGA-IB-A5SO-01A,Treatment
TCGA-IB-A5SQ-01A,Treatment
TCGA-IB-A5SS-01A,Treatment
TCGA-IB-AAUQ-01A,Treatment
TCGA-IB-AAUW-01A,Treatment
TCGA-RB-A7B8-01A,Treatment
TCGA-S4-A8RP-01A,Treatment
