,,0
MAGEB3,NSMCE3,-0.19195221069394977
MAGEB3,NDN,-0.1585154626243946
MAGEA5,MAGEE1,-0.15354246307310282
MAGEB3,TRO,-0.13774580085468144
MAGEA5,MAGEH1,-0.13665550110112565
MAGEA5,NDN,-0.13391132692407334
MAGEB17,NDN,-0.1306553999975623
MAGEB3,MAGED2,-0.11854402342483346
MAGEA2,NSMCE3,-0.11666735266886641
MAGEA5,NSMCE3,-0.11380491602937212
MAGEA5,MAGEL2,-0.11224293956880453
MAGEA8,NDN,-0.10757181343697812
MAGEA8,MAGEH1,-0.10722326791312796
MAGEB2,NDN,-0.10679044377600717
MAGEH1,TRIM28,-0.10506229427621383
MAGEA5,TRO,-0.10470676884082433
CSAG2,MAGED1,-0.10324490949406287
MAGEB3,MAGEE1,-0.10114554289269032
MAGEA3,NSMCE3,-0.10104901980287646
MAGEA2,MAGED2,-0.09932715453803226
MAGEA9,NSMCE3,-0.09884036426410092
MAGEA12,NSMCE3,-0.09814370019094847
MAGEB3,MAGEH1,-0.09721596334217622
MAGEA9,NDN,-0.09438995560019774
MAGEA10,NSMCE3,-0.09427832293533912
CSAG2,MAGED4,-0.0931843407140853
MAGEA10,NDN,-0.09299202986323822
MAGEC2,NSMCE3,-0.09178011829538106
CSAG4,NDN,-0.09177388184521941
MAGEB5,TRO,-0.0914361683870126
