,IFI16,SFN,MAP2,PDLIM1,FGF2,PTX3,GRAMD2B,TMEM40,CASP1,COL3A1,ADAMTSL1,PCDH1,PLCXD3,TLR8,CARD16,TNFSF18,STAMBPL1,KRT16,UBASH3B,ACTA2,MID1IP1,ALDH7A1,AIM2,PELI2,EMC10,CD14,A4GALT,CAMK1G,CARD17,FAS,LRP1B,IL18,GPR87,ADAM23,GLI3,PPP3CA,GJC2,SAMSN1,CXCL1,SDC1,EMCN,TRIML2,PCDH7,RAPGEF5,NRG2,PEG10,KCNE1B,TNS1,LAMA4,SEC14L4,CORO2B,ENPP1,PRKAA2,HKDC1,ANKRD22,IGFBP1,WNT3,FZD8,GRIA2,ITGA3,CDH12,ITGA10,PKP2,CDKN1A,MGP,SUCNR1,LAMB3,COL9A2,DDIT4L,SCN7A,COL1A2,PLD1,PIK3R3,CA2,CERKL,NDST3,COL6A3,CREB3L4,AP1S3,COL5A1,ATP2A3,SLC40A1,PDGFRL,SHH,WNT4,GJA1,COL17A1,UBE2U,CGN,FRAS1,CASP5,CREB3L1,TGFB2,TP53AIP1,TMPRSS13,FLNC,PLA2G4A,FZD1,CYP4A22,TRO,SP8,MYRFL,TAC3,CYBB,THSD7B,SPATA4,COL18A1,KCNK13,DTX4,PIWIL4,HRNR,WNT5A,PRR29,ATP1B1P1,LUM,GNG2,WNT7B,WNT6,WNT8A
IFI16,1.0,0.23001735939883108,0.10475510111190946,0.2501520376027727,0.23783779514155207,0.18703292531602753,0.4405397503898558,0.15753289322941844,0.4296138602187506,0.28267402469476105,0.41750368123523535,0.17059034936986414,0.15425234758598294,0.3228491082480612,0.48467870395541834,0.08398111777266068,0.44180088563679554,0.1399416554827228,0.404243983970261,0.20429876219307444,-0.034903631451097164,0.08580756848872258,0.44485104854968976,-0.18376497295933436,0.1205033560026946,0.23961696202669405,0.24561179800000318,0.24840715463243757,0.4028556437585425,0.5250851131157014,0.1307722593741164,0.26138293622309755,0.265335160235162,0.29219589413032654,0.24588556692433028,0.4839134108552738,-0.0298147957715724,0.5718952401994012,0.22276492520185734,0.19368597711831717,0.39552991602282994,0.04774587125220183,0.33748138182309967,0.06134678545437091,-0.08672672766999717,0.15643365314684873,0.14100801341975022,-0.0053252306449081774,0.4399750366530034,-9.24455335228637e-05,0.14981756681986122,0.16103189367866264,0.13239533520733052,0.01559695628793954,0.23951416554669944,0.13947776839298157,0.23695902289756854,-0.02953497291295984,0.08030156948619285,0.3035965054206184,-0.02420812578472081,0.15143109813765815,0.11544401735360603,0.1985538736897026,0.17721189168718698,0.13563628614472006,0.2636887583879486,-0.010844200027730875,0.07873697554268456,0.008775611406889308,0.24258020422380658,0.040362074806507824,0.4531618327907844,-0.08485882508410941,0.2559273628506153,0.12188471839316571,0.32665266035969603,0.21406564334389724,0.3437023941342882,0.14101129515565766,-0.19493672244780982,0.21433638466080518,0.1902919941892754,-0.07721942716957866,0.023567493546219755,0.28440373306322086,0.239929136017252,-0.17402153314149185,-0.013596110079966387,-0.31238005813995595,0.07499916362575824,-0.041612183440535855,0.28195078635306364,0.036882078891647095,0.05316509528525689,0.028651577241032143,0.22567595639542126,0.15256451536311413,0.2456820870724783,0.05383999229356301,0.13467149267127435,-0.13880345928732524,-0.008694599427409981,0.46125916522808946,0.07625228123090119,-0.014080834756093709,0.08483695840415491,0.3776476756308381,0.18256602463596106,0.04568575669968027,0.03600189256134891,0.12340120891954906,0.3256117482399135,0.32611417264985404,0.33384802237679967,0.4820569570914506,0.30458260037950846,0.01453382881700264,0.10922394813003025
SFN,0.23001735939883108,1.0,-0.14194855652745778,0.32599676971758357,0.07345744030808055,-0.08147786601152063,0.26100537482846714,0.46570826570443263,0.08050723350352944,0.08536916544535242,-0.024510639177363715,0.32240262485204446,-0.18317324730022055,0.020836393090283182,0.12919027207550055,-0.01870758133062268,0.15258535196952785,0.2517624347997982,0.23085124126831305,0.044372335220308784,0.36977726557507695,0.3396196834050723,0.11937519027751506,-0.13507706819246842,0.23944077312923703,0.17678486887609784,0.5036814559306394,0.2825306958421587,0.08815393671691374,0.243824904620504,-0.16575787028792358,0.20294681500751757,0.15908678679140498,-0.012643915943728691,0.0692868505541728,0.27919110707510997,0.15459601190108535,0.07680838642167753,0.3006723776584537,0.4368863145635869,-0.22817737929781431,0.2193153278285379,0.20364413051968933,-0.0686776281350077,-0.05611005086996031,0.06052258586590118,0.05427774635056107,-0.009997413210633204,0.10239026637428576,0.4151297948930292,-0.21351161688343476,-0.06993883498653819,0.10661065523848876,0.19117275876632264,0.25638676958479606,0.13305811264243247,0.0935048853966485,0.07094191578775662,-0.1976690018541171,0.4448530375064169,-0.0672672548257524,0.0733087690065498,0.2869265822474203,0.3646839657256525,-0.252172125025207,0.008466269987628833,0.48084285009873967,0.00015780932537266403,0.050899035414201585,-0.23015551530431846,0.07755929364077625,0.01603833019308673,0.040280248232773576,0.12199448549734879,-0.09510098637753442,0.08964000408371141,0.12006701910048143,0.09953740031133726,0.2854036495260956,0.09854642578826481,-0.26451994891783115,0.029838033639698287,0.07750082733840001,0.20891843373979085,0.0005424084044508185,0.10970842274060592,0.2538802641797986,-0.09681335405631727,0.20707554744090828,-0.21316555972759568,0.011745884601119774,0.23047406462078632,0.07697028860366247,0.2382319752699534,0.1388741176923055,0.18325980376655762,0.12221972074256857,0.11582787076129807,0.3004036087716167,-0.2294737498098607,0.13972805168826372,-0.1322645496955065,0.007518277308162952,0.051245571103512126,-0.0858525687355447,-0.11342293692635058,0.20300228605686366,0.11321765243478445,0.24220166853202993,0.1524969972744085,-0.16542516327348064,0.1715247604505233,0.12281997394205531,0.05701020448599171,-0.0506601803967193,-0.19771118115527436,0.4484514045001124,0.12997235636042273,0.04348339390169925
MAP2,0.10475510111190946,-0.14194855652745778,1.0,0.061213931046222234,0.1608638670370758,0.26637894279239194,0.11433226479862728,-0.1488462585073496,0.06742110219256221,-0.21452088473752035,-0.026257292614305216,-0.07489253702125749,0.44232096819799355,0.030906937030733276,0.06575869942093839,0.2036600598281963,-0.09631408393272003,-0.07907529521326762,-0.10062161993655716,-0.23494139700888741,0.004952634443680432,0.12298924173158514,-0.0722684485529624,0.3276753558332288,0.18321132992412723,-0.25763076826274106,-0.1565423212254045,0.17986657993252347,0.029574318775123665,0.08322805209456548,0.38657945359288753,0.08203342834652452,-0.07456251763315866,0.27695365832125474,-0.12315507565972782,0.1138541572805013,0.06410190068982591,0.0600691599163765,-0.19448912988124528,-0.2046732087139189,0.2842296755918878,-0.09455497185769407,-0.07298826077480894,0.43612921190855386,0.2028099905827223,0.4482925924335832,0.11325019342459774,0.2902733888059972,-0.26004871883430697,-0.08153775152027959,0.3148479700772529,-0.10953105855494683,0.16401106284161615,-0.011322569185978251,-0.00014517103654511105,-0.1070874967217454,-0.039016808427410676,0.13554104933974853,0.7984622056141661,-0.12626130974252278,0.18603041863179465,0.11553767748628295,0.23825300090367743,-0.11029528075080641,0.46675266932613163,-0.1022067178289037,-0.11530595277856256,-0.027988577903332427,-0.04100242608289015,0.6819046446706358,-0.20443175441252248,0.2628250402686742,0.345272204902782,0.17708272362421176,0.5710895647249601,0.10954762692495361,-0.11539270670567292,-0.017760439929376568,0.021982680044950877,-0.08964282497495761,0.3260175464851889,0.05448401577608101,-0.11458894850628654,0.0016474000014884615,0.5294130163212766,-0.16752530895526974,-0.1322337054762617,0.17093002418175193,-0.043148677016840484,0.3581305632865604,-0.16045082307759595,0.007564803138574877,0.0018260287077971429,-0.057273448219557155,-0.03177383709612596,-0.14944014042171844,-0.006635035831184859,-0.10499715413640415,-0.07466278686653624,0.18093533259558398,-0.06978261711904794,0.1093922681309346,0.010613178527887075,-0.0269807400693013,0.3288202723484283,0.45307728574999306,0.01638552332489426,-0.08215579088426722,-0.14132764849114438,0.12150582312276373,0.3358548142955688,-0.005153655033027919,0.007402450643121353,0.2627144259649151,0.0137175108360469,0.39856562737683326,-0.04795811908539499,-0.04139246843154682,0.05924550610946971
PDLIM1,0.2501520376027727,0.32599676971758357,0.061213931046222234,1.0,0.08067165096530579,-0.002601498225434961,0.4146104737937568,0.2938293399895357,0.09550847945864449,0.15254957685825155,0.04009425293571462,0.4046558503458517,-0.014235466494617507,-0.12249616167944898,0.06780280217316459,0.03909740852691583,0.34307403708556633,0.27759866616947193,0.3163786811653301,0.04052441360192819,0.18597268554087198,0.4457686426658726,0.06022873392674367,0.006942606451117929,0.25113720631823677,-0.06129767647472958,0.2847837665187254,0.304929124816874,0.02244548515815771,0.21009574655145527,-0.0020142848542057013,0.259473122905409,0.07284808321187573,0.14289706221915677,0.21245357754802452,0.3346876866257275,0.10221522755458723,0.07008511014710109,0.03482943857387485,0.2802919502189922,0.0595106412392606,-0.06761652990223849,0.13919913821140906,0.09338015803980525,-0.054374763230571936,0.13615098403460993,0.17484602395098647,0.22873449770006085,0.161059483744027,0.17449108660169999,0.13260317969699167,-0.1074261764096362,-0.042653894342726456,0.4166904256448362,0.26560865005923956,0.13964368703741475,0.16913789566269286,0.106366310973068,0.04218386040576046,0.2980071646836134,0.07813025753299335,0.13518646006790314,0.2748311993315848,0.25251437333160326,0.004120688606130395,0.08000823848440067,0.17907630933352206,0.11980660880897276,0.033160465255350845,0.00431720370692281,0.17343700060102799,0.13622561708489656,0.3059454443340637,-0.0680721124710936,0.2231837159302448,0.10585283865355402,0.2109809744595665,0.12071879766408262,0.3290726762694128,0.22701218093408562,-0.00010770911274598417,0.09518132220832837,-0.017059159197410127,0.13640427876418013,0.24135873879073688,0.06873272202141667,0.39304302333578456,-0.0359439670624917,0.2033589728830767,-0.021739333004860067,0.002546248530198673,0.11010925607481989,0.14305466070559036,0.11403444037053061,0.12866927789923518,0.21932882143758564,0.06172432801293351,0.04556053542349735,0.41029369498996426,0.1078301321545906,0.048187332768557946,0.09882939588835195,0.2767204340563834,-0.06837517193766672,0.1234306989790712,0.030401253344332958,0.2685998077135337,0.04433996351312917,0.32944546999949625,0.24183808206712681,0.11163007423984438,0.3031749632291568,0.21137060282857437,0.30982458138156327,-0.011137773756913884,0.07435275890244884,0.2475323057731732,0.3573919318064119,0.06820319863563275
FGF2,0.23783779514155207,0.07345744030808055,0.1608638670370758,0.08067165096530579,1.0,0.1300925742688852,0.22681860357721462,-0.030472806714075026,0.08574574111891602,0.18001416744680845,0.13067316875881277,0.06458571973268157,0.09642557744034337,0.025932476524193355,0.11021336770024677,0.34618222539309884,0.08063564588772706,0.11167780261653075,0.1476615270554536,0.16244354469002678,-0.14814079820200138,0.029430150905794733,0.09332831358752247,0.14188117766664457,0.042414071006618606,0.014697633098490332,0.09386000822086688,0.15102523012036778,-0.009504467230585342,0.1969215148593344,0.08660663790767983,0.26996055864456403,0.09650608798006312,0.2581165611786543,0.13861584388831388,0.38004451486307583,0.15159396287460633,0.17880986288082357,0.08825632260350079,0.09332116629201889,0.20590527609977322,0.025160746391670392,0.29222683252761694,0.14787295134055198,-0.10732528681668929,0.04328494607000571,0.10008668222607735,0.22695115407290525,0.23753124711816107,0.0057595422295048165,0.08151594124048656,0.0016907760322473347,0.13324167586113705,0.0326082857549262,0.05439811730119168,0.1957485054395279,0.017920768356358134,0.11368058575952607,0.04019724104605569,0.1918112309841757,0.012901673639160022,0.13726979442640683,0.155532487131467,0.10575781295467819,0.2152123486742017,0.03292518687065222,0.14463798638077066,-0.03737122995985482,0.10978207377644168,0.13634742119888615,0.17543930163275231,-0.030768345944993846,0.045335456662081934,-0.015184518468590959,0.029875976802998118,-0.04516722638837373,0.2740068023309716,-0.0716301540142971,0.28671644220884135,0.1736842219386667,-0.1761961745847419,0.06563189379594682,0.05772485769376684,-0.07431384259764792,0.012197622727370513,0.1441613039087094,0.23212230102826473,-0.10114502087056709,-0.0848627408906654,0.027711414093171332,-0.0652475121896983,-0.04344951909582295,0.2370978136281664,-0.05965307995967249,-0.1288658011081461,0.05700051065717827,-0.0005412762150699862,0.12488125857395413,0.01935167414913144,0.08666287100561128,-0.01253741196299929,0.02550275985321604,-0.001971539611569775,0.06252166444536172,0.2606987242249014,0.11113343231244857,0.06160844761511303,0.027256718127937427,-0.09065714349094414,-0.0022395139983042225,0.04084538739291349,0.34876517503907206,0.20180757682006506,0.28182397583779834,0.2541326430837324,0.18409840952347079,0.1923929343171425,-0.0688492493221955,-0.01502821972793207
PTX3,0.18703292531602753,-0.08147786601152063,0.26637894279239194,-0.002601498225434961,0.1300925742688852,1.0,0.09241371544338078,-0.0018894869484708695,-0.025464882367746005,-0.018972283902514517,0.3398709601678732,-0.20370676727818193,0.244121631651947,0.04525467145918139,0.052151721491895536,0.11712247350824793,-0.02280082380914236,0.06362904109433713,0.08255563328091058,-0.06477054884826523,-0.17390254937629263,-0.06296436949683043,0.1182607897207596,-0.04046144220224712,-0.04400852816163711,0.007815156104016226,0.07095305742902899,-0.0005213864558064101,0.2516038133319022,0.14354364435104694,0.3202224336317785,-0.04104534149845905,0.06359533510375724,0.2114686944232213,-0.01749941292809056,0.02043783893644636,-0.0523407771672748,0.3320711309722659,0.061872060764859474,-0.1756034981817308,0.2867527038417931,0.006959880478521982,-0.09339437892573908,-0.05191032228505128,0.13337970584894676,0.38325120057047696,0.138912462746056,-0.04477603547036393,0.02651141296860379,-0.1155817981469836,0.3559728180523173,-0.061645520848207166,-0.03955259962958293,-0.19012175906534617,-0.1114620668515342,0.26748637953192034,-0.01921909481419214,-0.08243487759610633,0.37115685593046044,-0.009204336063659502,0.1032406025076311,0.2007069188470008,0.02976874134060227,0.05185386211156672,0.33082946819926806,-0.08143640011466971,0.08632101216507825,-0.04301890383470915,-0.08773724015059856,0.23618773864824985,-0.05015982252904762,-0.10338695097170215,0.15683603763750925,-0.09283310083152517,0.31906981378910565,-0.054494598611098545,0.046486102865546435,-0.14511498249696123,-0.0009592780788230473,-0.07322918817797514,0.10262734275140138,-0.12115261816716341,0.08884018465701975,-0.15533784084824365,0.21265818809187712,-0.011846224171710013,-0.1202342698700303,-0.02617664699186683,-0.20780102433068642,-0.09812545818846355,-0.07090113351731243,-0.13875596792620404,0.01313901075319367,-0.03861877798318361,-0.07983925769266662,0.0012455509504991258,-0.10441561972477709,-0.10399343678837533,-0.06329035636923483,-0.004954179064382441,0.02346180752866812,-0.07617557086771044,-0.09656964528235683,0.020313898412326947,0.005220146674405787,0.04132540108505355,-0.005741922143545213,-0.09891154302674195,-0.2761190276952323,-0.1837028796032866,0.22684430760654717,-0.10767614302905533,0.12011283083786341,0.07595650255485643,0.07910749826450707,0.45552140320269013,-0.03306459165917619,-0.020424565865151255,0.08361184800744557
GRAMD2B,0.4405397503898558,0.26100537482846714,0.11433226479862728,0.4146104737937568,0.22681860357721462,0.09241371544338078,1.0,0.19361702373929554,0.14926878286385617,0.29046378515897997,0.15124546985163778,0.5181886229333982,0.14686963479197782,-0.013207387076264654,0.20724206307929438,0.13150145427021126,0.2480801543114178,0.44010934714073235,0.37287921977405863,0.32126162321053175,0.1336278115459764,0.48549779537591614,0.06361359826120176,-0.0015202187000847728,0.3205661944964559,0.0866639020757684,0.16166696056947827,0.24419134693318043,0.05304313931316519,0.2588383790509343,0.024761431913436348,0.3771042323326325,0.17651135864713946,0.055025902620913614,0.2765346251845393,0.5332202189157436,0.15117125091514239,0.10149828219598375,0.10120876379587562,0.4256857422077845,-0.021647738786996575,-0.001754443753779786,0.4656163361187294,0.28929378256212973,-0.20598630619155486,0.15754047222709788,0.18221677752485174,0.164642666910285,0.40754518783947014,0.15435767818675403,0.03521509588758273,0.30502687410639084,0.1386943655464227,0.2976615192316914,0.5043751674661094,0.2572195432271592,0.27120868998801373,0.06397232504953215,0.08586057849620955,0.44952271535228544,0.045367593405923674,0.3629183998001386,0.23515895429519532,0.2914524533917066,0.048104895730387225,0.04699835827452679,0.3156500468570204,0.11502341188345878,0.2712262024863336,0.03611280764212393,0.3007345525750597,0.19155649083604326,0.3011777345637704,0.17255546976115627,0.23202109454225692,0.26324101235810604,0.326773480977402,0.3255569359506084,0.5658631956843483,0.23374834693056856,-0.31031459871528816,0.23703626643545858,0.10534320949974918,0.18412564293405084,0.08153769705945664,0.3675335493770005,0.37537435916120293,-0.09351692643995176,0.22229595080234063,-0.10135747354025493,-0.01549210727997399,0.06228306599764695,0.2982526969101519,0.023739493962950057,0.11446612905350625,0.13853626284147438,0.08854003963478613,0.335408642420407,0.41324495707719405,0.1253463308131901,0.02576412522067474,0.007403735655268883,0.09843969864030473,0.05021744817558788,0.14901710524840778,0.052063119064892104,0.12949524575889154,0.09175119820292411,0.24382948323061476,0.26718227685016666,0.013805663346957882,0.457240385371923,0.22294453457835486,0.42206046154089216,0.35219657454877706,0.07075318186952362,0.2644193463006644,0.16347548483855107,0.040002962458901274
TMEM40,0.15753289322941844,0.46570826570443263,-0.1488462585073496,0.2938293399895357,-0.030472806714075026,-0.0018894869484708695,0.19361702373929554,1.0,0.019768393972428674,0.1596652796289917,0.05857740732055567,0.22365805075119707,-0.11701329553101054,-0.05922374728120242,-0.012148982404671434,-0.07707338515974275,-0.020587864873820118,0.34594325229959016,0.142054705537881,0.08744745136379785,-0.04332914506683721,0.4302513405813695,0.04909420186113452,-0.17309699966809652,0.09780181534239278,0.16126853440447148,0.48270334160969414,0.18823187574427494,0.05988851752072447,0.03386394340514334,-0.06010232037785167,0.1940072357863126,0.42266774817182257,0.030423847601108497,0.22642374817379635,0.2238509713027531,0.1474237356051936,-0.0222517032199498,0.11421583992985743,0.4165581807614936,-0.20101770370963434,0.08693093919475237,0.19032620096144073,-0.00328785876288906,0.07969202042124926,0.19029306148858274,0.02666221280990684,0.09290962663404745,0.14876777098845004,0.1431088457771738,-0.009333597968189649,-0.0010664362015682565,-0.03474177707583739,-0.020988011516853946,0.05890496633835404,0.060974740327833614,0.10617076255139497,0.039201437916719276,-0.15621008245925555,0.38829001356013904,-0.05635587353074904,-0.039177111696831565,0.05076299196154094,0.23680346349411932,-0.19621415492071959,-0.08484141270845887,0.26790415737893003,0.0785710818983562,0.19923161204511056,-0.17061412185793684,0.1583587362396619,-0.03719068341777817,0.06148810015651994,-0.11677983647542789,-0.08086125584366614,-0.057349547129202774,0.19451732847837605,-0.06513784403892627,0.21648347458507075,0.17005381485613183,-0.24596038665221567,-0.1424862890065852,0.111300097696303,-0.08909527197054407,0.0989400778402021,0.14750720851272145,0.23199414667170282,-0.1279880670444356,-0.016894806331502112,-0.1944907399016593,0.010993556172373766,-0.09636842900724653,0.18210259028135764,0.3129775981329988,0.4380848507073237,0.10664159606262483,-0.07362666708459947,0.17496976818303214,0.28898934083423417,-0.027095800935294897,0.006904827199670258,-0.10762764210816991,0.08512099973520612,-0.06606894468052295,-0.04947747237823369,-0.04023330315604091,0.11207805064821506,0.03189024958734171,0.1929238742300359,-0.12515939017467267,0.14225427584094924,0.27889953686048,0.12576221088552728,0.08086673021511406,0.05628987706447256,-0.10941174611109421,0.38701162375407905,0.31335524161856304,0.21716129395160422
CASP1,0.4296138602187506,0.08050723350352944,0.06742110219256221,0.09550847945864449,0.08574574111891602,-0.025464882367746005,0.14926878286385617,0.019768393972428674,1.0,-0.027139683743764777,0.07877466249383631,-0.05478214448079286,0.008025175179046636,0.477702824530189,0.8100027401064277,0.09782708315668807,0.4062855440854928,0.02600088404608035,0.19091509057384531,-0.005740584047705601,0.07752754847101455,-0.0333748819123811,0.286510216955906,-0.1084847295761797,0.09443679839460194,0.20301530590298464,0.033836716096937225,0.12851832358033066,0.3068836234110026,0.3982666064597115,0.08385663760624625,0.27689006713239867,0.11232709280577484,0.16556448793124406,-0.0879650460593968,0.15409607581751106,-0.03786631998182649,0.5068212538347107,0.22238889733707776,0.044391791560079434,0.2852771089833357,0.08324057288491822,0.028016974296490166,0.07558023693049934,-0.052389841113505135,0.0015711419682246268,0.0970850741855754,-0.16935425388261627,0.053416579106753646,0.016587046561688013,-0.05982345818516809,-0.10531576711260596,0.009912808856318754,0.16048138680409754,0.31025239368666996,-0.05284140661006796,0.03380857755060086,-0.066667484245127,0.043471464685127185,-0.02505898014473645,-0.08618275954482381,-0.1368932300322324,0.24268696307852416,0.03198934521088439,0.1483292495970052,0.19676666247203503,-0.03968362359262209,0.01372343973856382,0.12714800166599388,0.06120845872014104,-0.11330012587672703,0.05371915158208361,0.33609613935397353,0.06484287712538064,0.21953196518655343,0.027512692582209116,-0.040402424239089,0.10001919224546135,0.10618397658874587,-0.19038506732149493,-0.06708920872496359,0.23360087298935026,0.007039778766940635,-0.07933380192026743,0.034089202773758195,0.051544601398609384,-0.019799024643992223,-0.0421591459242589,-0.08952706621788928,-0.10193283425677348,0.6774815711431109,-0.1934626352738326,0.06100641406707959,0.04884137342799696,-0.04443422375079808,-0.06187592736020348,0.26783028412708315,-0.03175977127148688,0.10198022279218855,-0.14371814369000596,0.07815340457095166,0.1807043688365923,0.15844418605309635,0.5070120314806985,0.040159472162398395,-0.022059629125101638,-0.19052343358944288,0.2552903813381061,0.06905796781773448,0.059110765059550874,-0.08532228709825723,0.0010078504748784439,0.1615301790367412,0.18056768997644812,0.13237342305335842,0.36095316625801954,-0.04208266846660866,-0.10224608571879283,-0.005925982467178224
COL3A1,0.28267402469476105,0.08536916544535242,-0.21452088473752035,0.15254957685825155,0.18001416744680845,-0.018972283902514517,0.29046378515897997,0.1596652796289917,-0.027139683743764777,1.0,0.5451430611157965,0.06122816072521653,0.002199163888283208,0.15053890660398062,0.0011849887631031647,-0.002969364148108962,0.004069903399715442,0.22010826320152335,0.16903804179875628,0.7651902520179529,-0.21898410290420342,0.13284185599047926,-0.08814760064289921,-0.20212296659165432,0.18562634385289334,0.37896567162041994,0.3638923437127566,0.07239055541741846,-0.004323495865732856,0.21766553758260965,-0.16571492969924184,0.21799252899205537,0.06907902095509075,0.07167261139614797,0.8022854150114839,0.38089154198131603,0.11684195027046085,0.15912239615732537,0.2730788033469984,0.5735399613050663,0.1028212914767232,-0.01792102116760517,0.6011647555196815,-0.22809498269106324,-0.262922844392899,-0.09049398279545205,0.00896084245971499,0.23039873132541644,0.8574644579831983,0.03170662268143039,0.17266153592283837,0.5593867924694979,-0.05192562286069351,-0.09872369780769139,-0.08275041564196273,0.06130090040082385,0.0473706623076078,0.17526884193564612,-0.20060569650356594,0.16259036322492318,-0.11183090023217573,0.08465053696757063,-0.22076341350682077,0.24426271465318547,-0.008534660537959558,0.06938213684282045,0.09264815032285455,0.11288492295483844,0.3132637235633768,-0.18599628164410803,0.9423928107727638,-0.10951344962894946,0.046960487918717084,-0.2172847666485561,-0.19356888603724856,-0.06994327171013896,0.8918251358013173,-0.04783996017263472,0.20331653256609467,0.6761263728946293,-0.44366106539196576,-0.06274285481514504,0.7668037199110388,-0.30754911971875415,-0.16334936474589734,0.7716272799236197,0.2072208207454174,-0.14624639998236216,-0.09520489345649057,-0.28847910410608385,-0.06233000233420975,0.010969126993103808,0.28114034410169697,0.14857327359118036,0.07301996712243213,0.30092710038161713,-0.024665101110101808,0.7584723270307732,0.15733712764063998,0.658733420974009,-0.10799628366452263,-0.17923715726034925,-0.1721238485477015,0.24698041588180814,0.02620892550316585,-0.06665434075848774,0.2989765753757912,0.265641845389041,0.11861932947711014,-0.20128558218375098,0.14795586368249478,0.44118983798000844,0.11316438150927058,0.15882462140472237,0.6996940770385425,0.16121069910531258,0.13621726953347235,0.1577941455684256,-0.08364912453702027
