,,0
COL3A1,COL1A2,0.9423928107727638
COL3A1,COL6A3,0.8918251358013173
COL1A2,COL6A3,0.8903208171673072
TLR8,CYBB,0.8695581427086705
GLI3,COL1A2,0.8642554820796177
COL3A1,LAMA4,0.8574644579831983
COL1A2,COL5A1,0.8312758179196057
CASP1,CARD16,0.8100027401064277
LAMA4,COL1A2,0.8090751453485501
GLI3,COL6A3,0.803446146467848
COL3A1,GLI3,0.8022854150114839
MAP2,GRIA2,0.7984622056141661
LAMA4,COL6A3,0.7940712401043196
COL1A2,FZD1,0.7876039062658491
GLI3,COL5A1,0.78743612372818
ACTA2,LAMA4,0.7863209802485461
GLI3,FZD1,0.7739159862183875
COL3A1,GJA1,0.7716272799236197
COL6A3,FZD1,0.7674194440308217
COL3A1,PDGFRL,0.7668037199110388
COL3A1,ACTA2,0.7651902520179529
COL3A1,FZD1,0.7584723270307732
COL6A3,COL5A1,0.750874726072923
GJA1,FZD1,0.7469248665656387
PDGFRL,FZD1,0.7434498898968962
ACTA2,COL1A2,0.7427368328658308
LAMA4,GJA1,0.738261437414627
GJA1,LUM,0.7331677271284035
ITGA3,LAMB3,0.7180302452804179
ACTA2,LUM,0.7132732313795273
