,,0
MAGEA9,MAGEB18,1.0
MAGED2,MAGEH1,0.9232935846635884
NSMCE3,MAGEH1,0.8726548491649581
MAGED2,MAGEF1,0.8648094430722356
MAGED2,NDN,0.8497703739624564
MAGEH1,NDN,0.8441838900834665
MAGED1,MAGED2,0.8380558173972262
MAGEA12,MAGEB3,0.8361574472330234
MAGED1,MAGEH1,0.8191098779341126
MAGEF1,MAGEH1,0.8157382690565804
MAGED2,NSMCE3,0.7927037196754106
MAGEE2,NDN,0.7908788666968869
NSMCE3,NDN,0.7835498944444589
MAGED1,MAGEL2,0.7830812487363656
TRO,MAGEH1,0.7762440874170919
MAGEF1,NSMCE3,0.7706689448991719
MAGED1,NDN,0.769707935890229
MAGED2,TRO,0.760982584198259
MAGEE2,MAGEH1,0.7560531182468312
MAGED2,MAGEE2,0.7503232374566066
MAGED1,MAGEF1,0.7290006857488064
CSAG1,CSAG2,0.7160125824368665
MAGED1,MAGEE2,0.7083835578419287
MAGED1,TRO,0.706261297558874
MAGEE2,MAGEL2,0.7002509801214369
MAGEA6,CSAG3,0.6785162049986478
MAGEF1,NDN,0.6768983667453427
MAGEB1,MAGEC2,0.6738965974052323
MAGEE1,MAGEH1,0.6718191566344571
MAGEE1,NSMCE3,0.6704350647493696
