sample,condition
C3L-00189-02,Control
C3L-00622-01,Control
C3L-00625-03,Control
C3L-00819-01,Control
C3L-01032-01,Control
C3L-01039-03,Control
C3L-01039-03-2,Control
C3L-01039-03-3,Control
C3L-01052-02,Control
C3L-01053-01,Control
C3L-01054-04,Control
C3L-01160-01,Control
C3L-01662-03,Control
C3L-01687-03,Control
C3L-01703-02,Control
C3L-02112-02,Control
C3L-02118-01,Control
C3L-02701-02,Control
C3L-02809-04,Control
C3L-02888-02,Control
C3L-02888-02-2,Control
C3L-02890-02,Control
C3L-03348-03,Control
C3L-03348-03-2,Control
C3L-03394-03,Control
C3L-03395-02,Control
C3L-03628-02,Control
C3L-03635-01,Control
C3L-04080-02,Control
C3L-04473-01,Control
C3L-04475-01,Control
C3L-04495-03,Control
C3L-04853-01,Control
C3N-00249-03,Control
C3N-00513-03,Control
C3N-00514-01,Control
C3N-00517-01,Control
C3N-01165-03,Control
C3N-01166-02,Control
C3N-01167-01,Control
C3N-01168-02,Control
C3N-01375-02,Control
C3N-01382-01,Control
C3N-01385-02,Control
C3N-01385-02-2,Control
C3N-01385-02-3,Control
C3N-01716-03,Control
C3N-01997-03,Control
C3N-02579-02,Control
C3N-02589-01,Control
C3N-02592-01,Control
C3N-02594-01,Control
C3N-02754-01-2,Control
C3N-02765-02-2,Control
C3N-02768-02,Control
C3N-02997-01,Control
C3N-03061-01,Control
C3N-03211-02,Control
C3N-03426-01,Control
C3N-03428-02,Control
C3N-03430-02,Control
C3N-03666-01,Control
C3N-04119-02,Control
C3N-04126-02,Control
C3N-04283-03,Control
C3L-00928-03,Treatment
C3L-01037-01,Treatment
C3L-01637-02,Treatment
C3L-01971-02,Treatment
C3L-02116-03,Treatment
C3L-02606-02,Treatment
C3L-02899-01,Treatment
C3L-02956-01,Treatment
C3L-02956-01-2,Treatment
C3L-03388-02,Treatment
C3L-03639-03,Treatment
C3L-04848-03,Treatment
C3N-00516-02,Treatment
C3N-01998-03,Treatment
C3N-02295-04,Treatment
C3N-02696-02,Treatment
C3N-02696-02-2,Treatment
C3N-03439-02,Treatment
C3N-03853-02,Treatment
C3N-04284-01,Treatment
