,C3L-00189-02,C3L-01598-02,C3L-02606-02,C3L-02613-02,C3L-03628-02,C3N-00514-01,C3N-02295-04,C3N-02589-01,C3N-02696-02-2,C3N-03061-01,C3N-03428-02,C3N-03754-01,C3L-02888-02,C3L-02888-02-2,C3N-00303-01,C3N-01167-01,C3N-01998-03
ENSG00000000003.15,916,876,1693,753,1135,1675,876,1539,1572,2172,1002,1709,1123,1782,479,1479,1040
ENSG00000000005.6,13,6,5,5,13,10,31,7,20,14,16,14,4,9,26,10,23
ENSG00000000419.13,980,1597,1175,1379,1273,1559,847,1635,1044,1684,1466,1183,1506,1497,760,2193,1193
ENSG00000000457.14,657,982,687,1050,885,1321,1123,1682,1476,1323,1493,1278,1120,1435,1325,1895,1510
ENSG00000000460.17,330,395,432,947,321,648,499,481,531,701,686,633,925,720,755,930,503
ENSG00000000938.13,636,883,586,618,730,807,581,390,965,553,996,386,719,1181,1146,412,492
ENSG00000000971.16,13606,8462,16265,13483,6942,18146,14087,16250,9055,11408,10930,6682,8886,16905,6607,8919,14223
ENSG00000001036.14,1157,2370,1332,1232,1427,2043,1196,1306,1418,1392,922,1528,1528,2037,1029,2198,1420
ENSG00000001084.13,1192,1570,1476,2563,1536,2124,1268,1474,1908,1934,1689,1337,2987,3646,1164,2374,1140
ENSG00000001167.14,1143,1168,1661,2293,1225,1005,1152,1374,1723,1413,1965,1343,1454,1569,1422,1512,1237
ENSG00000001460.18,345,483,259,359,252,337,232,363,433,315,304,301,291,461,328,390,274
ENSG00000001461.17,1851,3325,1658,1678,1265,2831,1815,2082,2987,1839,2241,2037,2420,3993,1942,2071,1527
ENSG00000001497.18,1086,1018,1247,1725,875,1042,1028,1240,1801,1325,1239,1305,1173,1822,1431,2097,1334
ENSG00000001561.7,1481,2253,704,2737,2272,1607,1437,4230,1526,2286,1002,2186,892,1810,945,1212,1721
ENSG00000001617.12,876,668,1478,1342,435,809,338,347,434,572,295,734,270,678,553,419,425
ENSG00000001626.16,4647,3742,3797,245,24885,3468,12552,54457,76010,19559,295,34061,1960,19293,217,15038,27339
