sample,condition
C3L-01039-03-3,Control
C3L-01054-04,Control
C3L-01598-02,Control
C3L-01637-02,Control
C3L-01971-02,Control
C3L-02118-01,Control
C3L-02613-02,Control
C3L-02809-04,Control
C3L-03635-01,Control
C3L-04495-03,Control
C3L-04853-01,Control
C3N-00249-03,Control
C3N-01165-03,Control
C3N-01385-02,Control
C3N-01715-02,Control
C3N-02754-01,Control
C3N-02765-02,Control
C3N-03061-01,Control
C3N-04126-02,Control
C3L-00625-03,Treatment
C3L-01689-03,Treatment
C3L-02606-02,Treatment
C3N-00303-01,Treatment
C3N-03853-02,Treatment
C3N-04283-03,Treatment
C3N-04284-01,Treatment
