,C3L-00625-03,C3L-01053-01,C3L-01971-02,C3L-03743-01,C3N-00303-01,C3N-00516-02,C3N-01385-02,C3N-02579-02,C3N-02590-01,C3N-02696-02-2,C3N-03061-01,C3N-03853-02,C3L-02606-02,C3L-03639-03,C3N-02696-02,C3N-03000-02,C3N-04284-01
ENSG00000000003.15,821,1294,969,1226,479,1155,1261,2126,243,1572,2172,1525,1693,2294,1882,1338,1394
ENSG00000000005.6,3,10,8,18,26,14,17,47,0,20,14,21,5,31,9,11,9
ENSG00000000419.13,1120,905,1038,1630,760,1293,1072,3661,224,1044,1684,1068,1175,1592,1464,1751,997
ENSG00000000457.14,1058,915,778,918,1325,1350,1156,2403,359,1476,1323,1025,687,1222,1497,1223,921
ENSG00000000460.17,405,280,310,418,755,637,420,984,121,531,701,416,432,769,666,571,266
ENSG00000000938.13,383,1333,632,236,1146,426,1075,507,131,965,553,247,586,588,807,316,224
ENSG00000000971.16,7960,9861,11532,10382,6607,17401,10541,12294,2319,9055,11408,11443,16265,16014,11370,10777,2987
ENSG00000001036.14,864,1284,1339,2072,1029,1447,1700,1581,511,1418,1392,1019,1332,2306,1913,1222,928
ENSG00000001084.13,1202,1786,1618,1705,1164,944,1436,1989,372,1908,1934,2606,1476,2105,2590,1365,2324
ENSG00000001167.14,1518,953,1101,1265,1422,1511,1272,2058,468,1723,1413,1433,1661,1646,1947,1898,1193
ENSG00000001460.18,261,326,292,460,328,399,366,354,113,433,315,306,259,779,463,280,259
ENSG00000001461.17,1098,2281,1644,2904,1942,2568,2127,2845,507,2987,1839,1504,1658,2550,2786,1370,2250
ENSG00000001497.18,1008,1153,1076,1210,1431,998,1184,1599,478,1801,1325,928,1247,1050,1586,1010,816
ENSG00000001561.7,1140,1643,1489,1052,945,1068,1505,3766,241,1526,2286,1618,704,1513,2197,938,1267
ENSG00000001617.12,670,882,373,522,553,1117,462,805,422,434,572,328,1478,906,530,584,155
ENSG00000001626.16,8694,37388,20516,5817,217,4771,50207,22562,67,76010,19559,13601,3797,9634,73896,1046,40105
ENSG00000001629.10,3748,3813,4336,6674,4534,6098,4438,14419,985,4850,6390,4435,4019,6909,7315,5869,3256
ENSG00000001630.17,163,441,222,116,83,232,387,722,60,217,239,129,188,235,439,110,246
ENSG00000001631.16,350,382,405,560,426,486,420,1180,64,568,549,471,245,516,544,458,400
ENSG00000002016.18,801,622,675,805,1132,642,825,775,247,1162,1032,583,605,768,1072,913,629
ENSG00000002079.14,26,23,64,680,66,226,34,1212,7,63,201,46,66,672,47,137,20
ENSG00000002330.14,247,351,296,276,271,356,335,334,132,138,227,168,251,170,429,195,162
ENSG00000002549.12,2418,4007,3830,3829,3683,3019,6818,4615,636,3336,9306,2499,2376,13038,3822,2288,1712
ENSG00000002586.20,4673,5081,6998,4043,4842,6567,5939,9473,2553,5806,6263,2296,5583,2286,6547,7870,3337
ENSG00000002586.20_PAR_Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002587.10,1749,726,1392,2376,702,1464,430,2544,611,284,693,568,1070,1023,378,465,299
ENSG00000002726.21,766,215,2860,284,439,1853,505,1589,357,265,368,1392,795,111,824,231,369
ENSG00000002745.13,20,31,30,26,81,50,16,30,6,22,41,53,33,80,24,52,20
ENSG00000002746.15,449,589,224,442,135,523,207,612,446,402,495,206,399,53,414,910,147
ENSG00000002822.15,127,89,69,91,194,64,71,123,78,159,106,62,122,236,142,96,70
ENSG00000002834.18,5196,4329,4046,7812,5936,6109,5493,9981,2422,6229,7137,3463,4348,6566,8608,5562,3034
ENSG00000002919.15,564,628,528,795,905,508,739,1249,345,842,945,494,601,599,1047,777,422
ENSG00000002933.9,1303,1286,3245,910,1083,1984,1772,2666,313,1341,2032,878,2458,632,2102,1128,863
ENSG00000003056.8,2522,2672,2872,4204,2774,3137,5374,3868,760,3153,4531,2511,3165,4004,4292,3861,1747
ENSG00000003096.14,146,258,285,210,170,150,435,239,56,532,164,168,224,41,606,91,383
ENSG00000003137.8,38,55,38,133,166,117,28,36,38,67,15,28,93,32,60,43,37
ENSG00000003147.19,1275,1830,1891,2550,837,1680,1491,4033,449,2156,2023,1534,865,3419,2506,1190,3602
ENSG00000003249.15,278,332,250,92,71,116,175,279,113,231,89,85,98,216,398,156,178
ENSG00000003393.15,2541,2234,2297,3310,2216,2517,2873,3846,866,2896,2560,2215,2065,2706,3252,3464,1531
