sample,condition
C3L-00189-02,Control
C3L-00598-02,Control
C3L-00599-01,Control
C3L-00625-03,Control
C3L-00928-03,Control
C3L-01032-01,Control
C3L-01037-01,Control
C3L-01039-03,Control
C3L-01039-03-2,Control
C3L-01039-03-3,Control
C3L-01053-01,Control
C3L-01054-04,Control
C3L-01158-01,Control
C3L-01598-02,Control
C3L-01637-02,Control
C3L-01662-03,Control
C3L-01687-03,Control
C3L-01971-02,Control
C3L-02112-02,Control
C3L-02115-02,Control
C3L-02116-03,Control
C3L-02118-01,Control
C3L-02604-01,Control
C3L-02701-02,Control
C3L-02809-04,Control
C3L-02888-02-2,Control
C3L-02899-01,Control
C3L-02956-01-2,Control
C3L-03348-03,Control
C3L-03395-02,Control
C3L-03628-02,Control
C3L-03639-03,Control
C3L-04072-01,Control
C3L-04853-01,Control
C3N-00249-03,Control
C3N-00302-02,Control
C3N-00303-01,Control
C3N-00436-01,Control
C3N-00511-03,Control
C3N-00512-01,Control
C3N-00513-03,Control
C3N-00517-01,Control
C3N-00518-01,Control
C3N-01166-02,Control
C3N-01167-01,Control
C3N-01168-02,Control
C3N-01380-01,Control
C3N-01381-02,Control
C3N-01382-01,Control
C3N-01385-02,Control
C3N-01719-04,Control
C3N-01898-04,Control
C3N-01898-04-2,Control
C3N-01899-02,Control
C3N-01899-02-2,Control
C3N-01997-03,Control
C3N-01998-03,Control
C3N-02579-02,Control
C3N-02589-01,Control
C3N-02594-01,Control
C3N-02696-02-2,Control
C3N-02754-01,Control
C3N-02754-01-3,Control
C3N-02765-02-2,Control
C3N-02765-02-3,Control
C3N-02768-02,Control
C3N-02971-01,Control
C3N-02997-01,Control
C3N-03007-02,Control
C3N-03061-01,Control
C3N-03211-02,Control
C3N-03426-01,Control
C3N-03430-02,Control
C3N-03439-02,Control
C3N-03754-01,Control
C3N-04119-02,Control
C3N-04126-02,Control
C3N-04282-01,Control
C3N-04283-03,Control
C3L-01052-02,Treatment
C3L-01160-01,Treatment
C3L-02606-02,Treatment
C3L-02888-02,Treatment
C3L-02890-02,Treatment
C3N-01385-02-2,Treatment
C3N-02696-02,Treatment
C3N-02765-02,Treatment
C3N-03780-01,Treatment
C3N-03853-02,Treatment
C3N-04284-01,Treatment
