,MAGEA1,MAGEA2,MAGEA2B,MAGEA3,MAGEA4,MAGEA5,MAGEA6,MAGEA7P,MAGEA8,MAGEA9,MAGEA9B,MAGEA10,MAGEA11,MAGEA12,MAGEB1,MAGEB2,MAGEB3,MAGEB4,MAGEB5,MAGEB6,MAGEB10,MAGEB16,MAGEB17,MAGEB18,MAGEC1,MAGEC2,MAGEC3,CSAG1,CSAG2,CSAG3,CSAG4,MAGED1,MAGED2,TRO,MAGED4,MAGED4B,MAGEE1,MAGEE2,MAGEF1,NSMCE3,MAGEH1,MAGEL2,TRIM28,NDN
MAGEA1,1.0,0.010229636515213606,0.017201145160995704,0.01873894346494843,0.018582064415108693,-0.02754596332139887,0.24269335953069915,-0.015193164015215727,-0.014442550856153686,0.014919521557762279,0.029291562023326063,0.020373077122335097,-0.01692250088373217,0.01770883723908741,0.018350028552228323,0.01177750700496457,-0.006672692729943933,-0.014793587778651043,-0.029621807349571642,-0.006174445318139982,-0.012437882565419717,-0.022835604566083793,0.0017716717621076592,-0.018425496566586506,-0.009256261950350264,0.026003612289602754,0.13230301009441106,0.02232133015689963,-0.029629500932553315,0.015294904751306997,0.015029719033203558,0.1822471962042065,0.18131931222992229,0.37131430845549007,0.6126282640183127,0.59539426502052,0.4921837173307883,0.033912021330057926,0.10357983745273047,0.09998797208992546,0.20183531524695078,-0.045428976843917224,0.017548530386519063,-0.08281262969435309
MAGEA2,0.010229636515213606,1.0,0.8209281996212601,0.7997588868614772,0.8482422179170689,0.5725203338077139,0.6733143547452624,-0.019037327869475186,0.3492769388144544,0.769075928702528,0.04049862618187,0.8604725994678445,0.036878449364809815,0.7443038068435498,0.8475969930852929,0.4578167296802933,0.31776503789241983,-0.02244444747159524,-0.038401993428823424,0.23321642816313667,0.2405616466639493,-0.028672338371547125,0.171630168932858,-0.024792150678761934,0.06564077106373174,0.8456289852766449,0.08310404806598261,0.7483001950368416,0.1392842279634583,0.8456707734048415,0.8196505498741241,-0.07115328197762126,-0.09932715453803226,-0.07052839192501209,-0.03260436921618732,-0.026091190416608696,-0.06442966282137519,-0.051268169229463874,0.024662469118228003,-0.11666735266886641,-0.06498341860011587,-0.05988008908597639,0.03511769362341705,-0.08922003068602766
MAGEA2B,0.017201145160995704,0.8209281996212601,1.0,0.9769071315180442,0.9673197720009884,0.6379007958110263,0.8287136551432412,-0.014306497583320588,0.27030562938759806,0.952147449250244,0.052438882913589176,0.9629042371087312,0.14275748040852412,0.9438254792303215,0.9720972859346673,0.5819783832955137,0.3677920132043736,-0.016866938244321762,-0.023919995894937575,0.3578905135882889,0.28204180774772797,-0.02154718048841367,0.2050246083257698,0.06713509106577539,0.26129655707359767,0.9614610166380558,-0.0018574010497785691,0.9463564080095509,0.19548292857810567,0.9697935074641528,0.9740717129549505,0.00856341916315839,-0.02910478354708837,-0.0433637273524006,-0.0463774322911911,-0.03198327624700701,-0.060821288877146225,-0.03602236285944473,0.03281092449748188,-0.08994689651543422,-0.049250968419631495,-0.05958530625265694,0.08043991095372982,-0.07870794623579906
MAGEA3,0.01873894346494843,0.7997588868614772,0.9769071315180442,1.0,0.9445620638903776,0.6314335321776261,0.8523499152670838,-0.014892469005787513,0.2597028991044106,0.9790697535207986,0.05037686635411019,0.9382991929562626,0.11336123631654563,0.9863037154506644,0.9531638886291349,0.6098983052017575,0.357563386431742,-0.017512400874343782,-0.028220888612849042,0.44046501440395996,0.27385980993103193,-0.010454554747068336,0.20522082032842662,0.1313136632513657,0.38015216546617325,0.9396214001051424,0.010064377639998371,0.9873395921929421,0.20339590828014675,0.9496137330491362,0.9764186360307644,0.03776432043003245,0.007108158029521845,-0.01696031441002877,-0.049758210336615434,-0.028044516429882385,-0.06192341169163181,-0.03790209813287435,0.027535766566475058,-0.10104901980287646,-0.04407323041395468,-0.06220631425978597,0.1209897877776289,-0.0879291954377423
MAGEA4,0.018582064415108693,0.8482422179170689,0.9673197720009884,0.9445620638903776,1.0,0.6569389005247995,0.7984478879262382,-0.01196395602207148,0.27496068022939085,0.9100759901402614,0.08912261512387891,0.9945857896919054,0.07894377181362884,0.882265547037669,0.9963093084695896,0.558079746237696,0.38231571222279176,-0.01459870290138818,-0.022781967762945336,0.28938993440388416,0.29438629778103237,-0.018467274098656193,0.20852151205204958,-0.009303046343048104,0.10048284449885121,0.9932191785168559,-0.0010648803500524944,0.8890071404409449,0.18837247860165324,0.9930307093257144,0.9669175323147099,-0.032307944350043645,-0.07472053836163634,-0.0696315901012893,-0.03842367897788026,-0.042416485079826496,-0.06016035679983403,-0.03507241411872392,0.050304637463112624,-0.08830014087027185,-0.062308964852114075,-0.04517013879276557,0.02365191455227031,-0.0768470373291153
MAGEA5,-0.02754596332139887,0.5725203338077139,0.6379007958110263,0.6314335321776261,0.6569389005247995,1.0,0.5184667060234776,-0.05577999103564576,0.2894626822319544,0.6169240577877105,0.09882920596441767,0.6721009531506341,0.010308083315574661,0.5917709339857233,0.6549390053164146,0.37038266858560714,0.3217751134193154,-0.07510930081715293,0.05420718370039315,0.2211907182069917,0.18405387268487083,-0.0007185796768998512,0.10095959362743544,-0.00294044550211675,0.06762215914629412,0.6553687639372888,0.07099688873662886,0.5917862573257268,0.14847719141141152,0.6556266029781854,0.6525866325650432,-0.037712152164489546,-0.08286236112258817,-0.10470676884082433,-0.04898190190680384,-0.07731750825600019,-0.15354246307310282,-0.09079351118187126,0.0276291256617309,-0.11380491602937212,-0.13665550110112565,-0.11224293956880453,0.0725456330878349,-0.13391132692407334
MAGEA6,0.24269335953069915,0.6733143547452624,0.8287136551432412,0.8523499152670838,0.7984478879262382,0.5184667060234776,1.0,-0.01808833300225271,0.2451496414923731,0.8333524891620249,0.0385921997638391,0.7934396076488599,0.09173775695013213,0.8412200659087579,0.8066389144495218,0.5215661180670147,0.29707323147381665,-0.021551678930358142,-0.035891688961017736,0.36920602785368434,0.22483104313118443,-0.019602005373321293,0.18183607086712336,0.11016427153849438,0.33707504113546644,0.7958883667123954,0.10603373672319011,0.844609163573226,0.1616905569470387,0.80159836574399,0.8276305081304781,0.0495164226265186,0.0320515440386366,-0.0178717029771674,0.013526722810864972,0.03331600166098907,0.03364624811396138,-0.026708084312734175,0.03604455234973389,-0.07115534348725515,0.05387184820496022,-0.05426274170866215,0.09969350957252335,-0.08490194800729524
MAGEA7P,-0.015193164015215727,-0.019037327869475186,-0.014306497583320588,-0.014892469005787513,-0.01196395602207148,-0.05577999103564576,-0.01808833300225271,1.0,0.03129771636078178,-0.0158858374123818,-0.01887345448073767,-0.008573257030192155,-0.0049392350828126015,-0.01695860557298464,-0.01281391158638013,0.0394012981320277,-0.023590924142661486,-0.02431370843529469,-0.02185753057357465,-0.021603525906879,-0.028146402472844497,-0.031060282335137416,0.007313220789683288,0.0501545302684507,-0.010193004218695153,-0.010089369729475552,-0.05709649247222484,-0.014906655871861187,-0.005387251350851751,-0.01642002854577385,-0.017045908359095797,0.17979414930316454,0.1675717055499846,-0.015168471476534353,0.03133289598810801,0.00461436994843789,0.11143485322904534,-0.05392647012815944,0.1564905454261419,0.05284905785329838,0.20131702513698993,-0.045218605910608854,-0.06417652886594444,-0.06678956165667649
MAGEA8,-0.014442550856153686,0.3492769388144544,0.27030562938759806,0.2597028991044106,0.27496068022939085,0.2894626822319544,0.2451496414923731,0.03129771636078178,1.0,0.24149673126673196,0.046601975794304966,0.30286035789804505,0.10159626076934941,0.2405893356565767,0.27692185551086523,0.3025362527168532,0.15480981533619342,-0.0530793524147768,-0.06064877996568399,0.0716035359991909,0.038049791890549974,0.015268667056423015,0.21820562638496674,0.010176627846937032,0.026582724059145944,0.27654480670972914,0.12968645197239465,0.23702301134441586,0.03451445536035276,0.2770151858435349,0.25589535500203947,0.0031103890234687854,0.01660085318785599,-0.07689293717622075,-0.04882887254300589,-0.09048913934105957,-0.049635291382844234,0.06882305035508192,0.15900935468084026,0.003622791845270759,-0.10722326791312796,-0.08992539418468697,0.22512243902972395,-0.10757181343697812
MAGEA9,0.014919521557762279,0.769075928702528,0.952147449250244,0.9790697535207986,0.9100759901402614,0.6169240577877105,0.8333524891620249,-0.0158858374123818,0.24149673126673196,1.0,0.04703440252321491,0.9028560821260799,0.11559321508697203,0.9760739636507988,0.9199633380585489,0.5933251952284683,0.342776447442724,-0.018728933271995755,-0.03204482415306852,0.41495572291288707,0.26166705680339736,-0.02392584236223222,0.1993208796134675,0.14049792139358672,0.41212693247488796,0.9021277015440035,0.0077928788257974994,0.9740081144606036,0.1976000877887804,0.9151826934279972,0.9640871275555299,0.03516909708252616,0.0071851981413363205,-0.010703182625901413,-0.04975984755916117,-0.03181978270205763,-0.06470198897141548,-0.039729789249583876,0.02835302122389121,-0.09884036426410092,-0.04570439730590024,-0.06598342418302389,0.12549760467720383,-0.09438995560019774
