,,0
MAGEB5,MAGEL2,-0.19180870735030767
MAGEB5,MAGEE1,-0.1740499053268905
CSAG3,MAGEE2,-0.17303245162442726
MAGEB5,TRO,-0.17213209797496623
MAGEA8,NDN,-0.1583596172395583
MAGEA9,TRO,-0.15213143976275537
CSAG2,TRO,-0.1511022178550494
MAGEB5,MAGEE2,-0.14766866809900253
MAGEA9,NDN,-0.14692152812856338
CSAG2,NDN,-0.14326380606319367
MAGEA10,MAGEE1,-0.14046507494594654
CSAG2,MAGEE2,-0.1401224020793334
MAGEA8,MAGEH1,-0.13559157264999594
CSAG3,TRO,-0.13538685603377296
MAGEA1,TRO,-0.1324838401233282
MAGEA9,MAGEE2,-0.13220406158816306
MAGEA1,MAGEL2,-0.13173292766277578
MAGEA4,MAGEE2,-0.13163513911332858
MAGEB4,MAGED4B,-0.13148486706986548
CSAG3,NDN,-0.13101360047098098
CSAG2,MAGED2,-0.12530398374785434
MAGEA3,NDN,-0.12376054537921084
CSAG1,NDN,-0.1210107341884374
MAGEA12,NDN,-0.1209609479537763
MAGEA5,MAGEE1,-0.12091139556064975
CSAG3,MAGEE1,-0.11975231135330759
MAGEA1,MAGEE2,-0.11903808734093729
MAGEA12,MAGED2,-0.11454040517953437
MAGEA3,MAGEE2,-0.1145303790559041
MAGEA6,MAGEE2,-0.11307757571122826
