gene,classification,Child,Young,Senior-40,Senior-60,Senior-70,Elderly-80,Elderly-90
MAGEA1,Positive,0,3,5,16,4,5,0
MAGEA1,Negative,0,3,32,67,35,7,0
MAGEA2,Positive,0,0,0,3,1,0,0
MAGEA2,Negative,0,6,37,80,38,12,0
MAGEA2B,Positive,0,0,0,2,0,0,0
MAGEA2B,Negative,0,6,37,81,39,12,0
MAGEA3,Positive,0,0,5,7,5,2,0
MAGEA3,Negative,0,6,32,76,34,10,0
MAGEA4,Positive,0,0,5,14,4,4,0
MAGEA4,Negative,0,6,32,69,35,8,0
MAGEA5,Positive,0,5,26,57,25,8,0
MAGEA5,Negative,0,1,11,26,14,4,0
MAGEA6,Positive,0,1,3,14,4,1,0
MAGEA6,Negative,0,5,34,69,35,11,0
MAGEA7P,Positive,0,1,4,9,3,1,0
MAGEA7P,Negative,0,5,33,74,36,11,0
MAGEA8,Positive,0,6,34,72,37,8,0
MAGEA8,Negative,0,0,3,11,2,4,0
MAGEA9,Positive,0,0,1,4,3,1,0
MAGEA9,Negative,0,6,36,79,36,11,0
MAGEA9B,Positive,0,2,2,4,4,0,0
MAGEA9B,Negative,0,4,35,79,35,12,0
MAGEA10,Positive,0,5,26,50,26,6,0
MAGEA10,Negative,0,1,11,33,13,6,0
MAGEA11,Positive,0,1,9,11,7,3,0
MAGEA11,Negative,0,5,28,72,32,9,0
MAGEA12,Positive,0,2,11,30,13,2,0
MAGEA12,Negative,0,4,26,53,26,10,0
MAGEB1,Positive,0,0,1,5,0,0,0
MAGEB1,Negative,0,6,36,78,39,12,0
MAGEB2,Positive,0,0,6,18,7,0,0
MAGEB2,Negative,0,6,31,65,32,12,0
MAGEB3,Positive,0,0,0,1,1,0,0
MAGEB3,Negative,0,6,37,82,38,12,0
MAGEB4,Positive,0,1,5,2,0,4,0
MAGEB4,Negative,0,5,32,81,39,8,0
MAGEB5,Positive,0,1,7,12,9,4,0
MAGEB5,Negative,0,5,30,71,30,8,0
MAGEB6,Positive,0,0,1,2,2,1,0
MAGEB6,Negative,0,6,36,81,37,11,0
MAGEB10,Positive,0,0,5,7,6,1,0
MAGEB10,Negative,0,6,32,76,33,11,0
MAGEB16,Positive,0,0,3,5,2,1,0
MAGEB16,Negative,0,6,34,78,37,11,0
MAGEB17,Positive,0,3,25,49,27,9,0
MAGEB17,Negative,0,3,12,34,12,3,0
MAGEB18,Positive,0,0,2,6,2,0,0
MAGEB18,Negative,0,6,35,77,37,12,0
MAGEC1,Positive,0,0,5,11,2,3,0
MAGEC1,Negative,0,6,32,72,37,9,0
MAGEC2,Positive,0,0,7,15,3,3,0
MAGEC2,Negative,0,6,30,68,36,9,0
MAGEC3,Positive,0,3,26,59,27,11,0
MAGEC3,Negative,0,3,11,24,12,1,0
CSAG1,Positive,0,5,20,58,31,8,0
CSAG1,Negative,0,1,17,25,8,4,0
CSAG2,Positive,0,0,3,14,6,0,0
CSAG2,Negative,0,6,34,69,33,12,0
CSAG3,Positive,0,0,16,31,11,4,0
CSAG3,Negative,0,6,21,52,28,8,0
CSAG4,Positive,0,0,0,3,1,2,0
CSAG4,Negative,0,6,37,80,38,10,0
MAGED1,Positive,0,6,37,83,39,12,0
MAGED1,Negative,0,0,0,0,0,0,0
MAGED2,Positive,0,6,37,83,39,12,0
MAGED2,Negative,0,0,0,0,0,0,0
TRO,Positive,0,6,37,83,39,12,0
TRO,Negative,0,0,0,0,0,0,0
MAGED4,Positive,0,6,14,53,19,6,0
MAGED4,Negative,0,0,23,30,20,6,0
MAGED4B,Positive,0,5,27,63,31,6,0
MAGED4B,Negative,0,1,10,20,8,6,0
MAGEE1,Positive,0,6,37,83,39,12,0
MAGEE1,Negative,0,0,0,0,0,0,0
MAGEE2,Positive,0,6,35,81,38,12,0
MAGEE2,Negative,0,0,2,2,1,0,0
MAGEF1,Positive,0,6,37,83,39,12,0
MAGEF1,Negative,0,0,0,0,0,0,0
NSMCE3,Positive,0,6,37,83,39,12,0
NSMCE3,Negative,0,0,0,0,0,0,0
MAGEH1,Positive,0,6,37,83,39,12,0
MAGEH1,Negative,0,0,0,0,0,0,0
MAGEL2,Positive,0,6,37,83,39,12,0
MAGEL2,Negative,0,0,0,0,0,0,0
TRIM28,Positive,0,6,37,83,39,12,0
TRIM28,Negative,0,0,0,0,0,0,0
NDN,Positive,0,6,37,83,39,12,0
NDN,Negative,0,0,0,0,0,0,0
