gene,classification,female,male
MAGEA1,Positive,17,16
MAGEA1,Negative,65,81
MAGEA2,Positive,1,3
MAGEA2,Negative,81,94
MAGEA2B,Positive,0,2
MAGEA2B,Negative,82,95
MAGEA3,Positive,11,8
MAGEA3,Negative,71,89
MAGEA4,Positive,11,16
MAGEA4,Negative,71,81
MAGEA5,Positive,56,67
MAGEA5,Negative,26,30
MAGEA6,Positive,13,10
MAGEA6,Negative,69,87
MAGEA7P,Positive,7,11
MAGEA7P,Negative,75,86
MAGEA8,Positive,71,88
MAGEA8,Negative,11,9
MAGEA9,Positive,6,3
MAGEA9,Negative,76,94
MAGEA9B,Positive,5,7
MAGEA9B,Negative,77,90
MAGEA10,Positive,53,62
MAGEA10,Negative,29,35
MAGEA11,Positive,17,15
MAGEA11,Negative,65,82
MAGEA12,Positive,26,32
MAGEA12,Negative,56,65
MAGEB1,Positive,3,3
MAGEB1,Negative,79,94
MAGEB2,Positive,13,18
MAGEB2,Negative,69,79
MAGEB3,Positive,0,2
MAGEB3,Negative,82,95
MAGEB4,Positive,4,8
MAGEB4,Negative,78,89
MAGEB5,Positive,18,16
MAGEB5,Negative,64,81
MAGEB6,Positive,4,2
MAGEB6,Negative,78,95
MAGEB10,Positive,9,10
MAGEB10,Negative,73,87
MAGEB16,Positive,6,5
MAGEB16,Negative,76,92
MAGEB17,Positive,54,61
MAGEB17,Negative,28,36
MAGEB18,Positive,6,4
MAGEB18,Negative,76,93
MAGEC1,Positive,13,8
MAGEC1,Negative,69,89
MAGEC2,Positive,15,13
MAGEC2,Negative,67,84
MAGEC3,Positive,54,74
MAGEC3,Negative,28,23
CSAG1,Positive,54,69
CSAG1,Negative,28,28
CSAG2,Positive,11,12
CSAG2,Negative,71,85
CSAG3,Positive,35,28
CSAG3,Negative,47,69
CSAG4,Positive,3,3
CSAG4,Negative,79,94
MAGED1,Positive,82,97
MAGED1,Negative,0,0
MAGED2,Positive,82,97
MAGED2,Negative,0,0
TRO,Positive,82,97
TRO,Negative,0,0
MAGED4,Positive,46,53
MAGED4,Negative,36,44
MAGED4B,Positive,58,75
MAGED4B,Negative,24,22
MAGEE1,Positive,82,97
MAGEE1,Negative,0,0
MAGEE2,Positive,79,95
MAGEE2,Negative,3,2
MAGEF1,Positive,82,97
MAGEF1,Negative,0,0
NSMCE3,Positive,82,97
NSMCE3,Negative,0,0
MAGEH1,Positive,82,97
MAGEH1,Negative,0,0
MAGEL2,Positive,82,97
MAGEL2,Negative,0,0
TRIM28,Positive,82,97
TRIM28,Negative,0,0
NDN,Positive,82,97
NDN,Negative,0,0
