sample,MAGEA1,MAGEA2,MAGEA2B,MAGEA3,MAGEA4,MAGEA5,MAGEA6,MAGEA7P,MAGEA8,MAGEA9,MAGEA9B,MAGEA10,MAGEA11,MAGEA12,MAGEB1,MAGEB2,MAGEB3,MAGEB4,MAGEB5,MAGEB6,MAGEB10,MAGEB16,MAGEB17,MAGEB18,MAGEC1,MAGEC2,MAGEC3,CSAG1,CSAG2,CSAG3,CSAG4,MAGED1,MAGED2,TRO,MAGED4,MAGED4B,MAGEE1,MAGEE2,MAGEF1,NSMCE3,MAGEH1,MAGEL2,TRIM28,NDN,Category
C3L-03123-02,0.8800459887583034,0.6711743772241991,0.0,1.0,1.0,0.0,1.0,0.0,0.5911922352600318,1.0,0.049667497921862015,0.09565217391304348,0.01351380901357941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06004288777698356,0.10267430754536772,0.02066247736713175,1.0,1.0,0.569801837648229,0.982006920415225,0.4102004095054911,0.39961410996357344,0.29449292956821743,0.0,0.08553409538825385,0.29541381128096994,0.0,0.23762139057670112,0.5962901631726043,0.39003589003589006,0.13764521602923901,0.6486439419375601,0.24867051216912242,Highly expressed
C3N-02696-02,0.0,1.0,0.7308970099667774,0.2029875660307457,0.0,0.06864293524480622,0.2077018139462208,0.0,0.0,0.0,0.0,0.028519668737060043,0.0,0.23013800244170052,1.0,0.010469051459657777,0.0,0.0,0.0,0.0,0.0,0.0,0.06222328286222077,0.0,0.0,0.0,0.0,0.24945996420891461,0.0,0.14146226538572287,0.9754325259515572,0.43465462377790975,0.597925044799788,0.613860895526086,0.0912092447379282,0.0847457627118644,0.47865050079072224,0.3190751445086705,0.23161440294302976,0.46177257941001293,0.6880927714261048,0.4663229343427751,0.5024826583112629,0.6279406636978591,Highly expressed
C3L-02606-02,0.12864077669902912,0.0,0.0,0.09407273892827261,0.37210522814461106,0.27785202284048105,0.13008423415105327,0.0,0.6866579747935679,0.0,0.0,1.0,1.0,0.07454398409288765,0.0,0.03815985071322389,0.0,0.0,0.0,0.0,0.0,0.0,0.11085013784831034,0.0,0.0,0.6191021967526266,0.0,0.10003949697433673,0.0297971101295201,0.10413339964922384,0.0,0.9095826057667591,0.9704463886090358,0.6802603950522462,0.07387536112257533,0.13716988569176192,0.20421718502899314,0.16793607616456988,0.3210381627168929,0.5775184411878285,0.594095719095719,0.32551233520428147,0.8839036806593673,0.5782958247407275,Highly expressed
C3N-04284-01,0.5343638221768012,0.0,0.0,0.08724591951845946,0.007923895126656663,0.10648766857004009,0.08395005610875154,0.0,0.371287845864117,0.0,0.0,0.0,0.003476853775338392,0.09813678674269936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06867295095865807,0.0,0.06171074577078865,0.13180515759312322,0.01059750772180211,0.06637442156437276,0.0,0.026622339729326455,0.2522491349480969,0.3457883867079127,0.2747693795753198,0.2954963548409075,0.09451093685513827,0.1754040204966496,0.39940256545422603,0.17330839850391025,0.17821983330836738,0.29816144466334604,0.368366201699535,0.1955031980159248,0.29318216331210584,0.2043017822808014,Highly expressed
C3L-03743-01,0.0,0.0,0.0,0.07420627817624018,0.0,0.0,0.002380715635165272,0.0,0.14356077067941472,0.0,0.012053200332502078,0.0,0.0,0.002045052980780623,0.0,0.007677831546320017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5332089453017665,0.7094505341609909,0.6254622259936697,0.0,0.0,0.3057459146020032,0.35100306018361105,0.287143712251647,0.5938487920776526,0.6801023051023051,0.35967889309489626,0.6070029911713772,0.6249180589178797,Medium expressed
C3L-03639-03,0.0,0.0,0.0,0.05361967123036769,0.0,0.0,0.04602054006448955,0.0,1.0,0.0,0.0,0.0,0.0,0.019245133340545107,0.0,0.0,0.3734177215189874,0.0,0.0,0.319327731092437,0.0,0.0,0.009539479881682817,0.0,0.0,0.0390639923591213,0.22009798700607094,0.05827510374050976,0.0,0.05913457762885788,0.0,0.2766581870075076,0.49803869964109876,0.18053602730307777,0.0,0.0,0.05129151291512915,0.0,0.17535370271202907,0.33352532677064856,0.2252932252932253,0.024637775747291476,0.6885085799389505,0.1679727427597956,Medium expressed
C3N-02696-02-2,0.0,0.0,0.0,0.015845297611862014,0.0,0.05272749362167416,0.010602423329876844,0.4951511694238448,0.12530783717224395,0.0,0.0,0.014596273291925466,0.0,0.02251618785640328,0.0,0.0020163203339975326,0.0,0.0,0.0,0.0,0.0,0.0,0.017540333975997437,0.22851365015166833,0.022873481057898496,0.019579751671442217,0.03940781765896262,0.023742070129072212,0.014149883955978137,0.04942278997931991,0.0,0.31021813701592815,0.40597241104161813,0.527758335552844,0.0,0.0650374458021285,0.447109471094711,0.2023801428085685,0.11958241580968795,0.2907587886086803,0.37791529458196127,0.3399686724970631,0.2914128164797243,0.29931358777409167,Medium expressed
C3L-01031-01,0.0,0.0,0.0,0.01413651141202769,0.1196862965399484,0.22184424735755073,0.006994417534339976,0.6942384483742156,0.3163841807909605,0.0,0.0,0.04094202898550725,0.04340600467953904,0.0030083399011986995,0.5388888888888889,0.0028228484675965463,0.0,0.0,0.0,0.0,0.0,0.3108836206896552,0.0,0.0,0.0,0.2746895893027699,0.04420066034721483,0.012804821556570882,0.0,0.027721787387764717,0.0,0.7199372446130528,0.9309634846104975,0.3934727805409825,0.0,0.0,0.1969249692496925,0.09455967358041484,0.252695563683469,0.5248620592605199,0.4315838482505149,0.09098028977940216,0.74054757801496,0.37465754107016547,Medium expressed
C3N-03000-02,0.0,0.0,0.0,0.014061582906310228,0.0795789691544642,0.11881909852994775,0.14753618659355958,0.0,0.1694915254237288,0.0,0.41295570597316233,0.0329192546583851,0.08136712514486891,0.0,0.0,0.145080178385046,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15981467674938757,0.0,0.0,0.04455380749195047,0.0,0.6825321975908313,0.8720243134191501,0.9806747725259684,0.0,0.22033898305084748,0.5570725707257073,0.31771506290377427,0.3012505814436541,0.936956336765216,0.9687241770575103,0.8423835008484531,0.8085100009891624,0.9275969594628252,Medium expressed
C3L-01971-02,0.06349003576903424,0.0,0.0,0.011982316872650679,0.0,0.0,0.02334692254151337,0.0,0.1043024771838331,0.0,0.0,0.0,0.0,0.03567767492414759,0.0,0.004182876300724294,0.0,0.0,0.0,1.0,0.0,0.0,0.006631791148819654,0.0,1.0,0.3666666666666667,1.0,0.030383413221246446,0.0,0.0,0.0,0.5544429573032911,0.7464688211914312,0.6479649668312202,0.07304993809327281,0.13559322033898305,0.41138639957828155,0.17851071064263857,0.33570418815304387,0.7762316488090953,0.7066452066452066,0.21850933298524997,0.5257676805813488,0.6722117616585472,Medium expressed
C3N-03853-02,0.3117015840572304,0.0,0.0,0.002449745867484775,0.007509960306607434,0.06730652411614627,0.027060043466526514,0.0,0.12791539910183977,0.0,0.0,0.018633540372670808,0.006581968467778968,0.010946442277478145,0.0,0.010271372995540371,0.0,0.7884297520661158,0.0,0.0,0.6449275362318841,0.0,0.06103634296910816,0.0,0.1753633547772218,1.0,0.10059644264564918,0.02796483306433131,0.0,0.0,0.0,0.5836410533686701,0.6690422987110737,0.42359412067118,0.08955839867932316,0.08316909735908554,0.5351607801792303,0.14083645018701124,0.37030334529474873,0.5992682431945963,0.8169253585920252,0.1498498890484271,0.4566133865716327,0.4310290205923668,Medium expressed
C3N-04282-01,0.0,0.0,0.0,0.001935653064367749,0.0,0.15945814603328878,0.0,0.0,0.10111545704766044,0.0,0.0,0.04415113871635611,0.010386827316262491,0.002158380853770985,0.0,0.0040563620836891546,0.0,0.0,0.0,0.0,0.0,0.0,0.00642454767541904,0.0,0.0,0.0,0.09532431568857173,0.0,0.0,0.0,0.0,0.9226894406084082,0.8819368427757932,0.6666769899719412,0.2831200990507635,0.06582577847851794,0.43454577402916883,0.2595035702142129,0.4698992609070339,0.9553222544393029,0.7668427251760586,0.34251403211069054,0.7256411792487659,0.6315889098100163,Medium expressed
C3N-01167-01,0.0,0.0,0.0,0.0013612011872005461,0.0,0.2992953468594338,0.0,0.0,0.5333912791539911,0.21672875042329834,0.026897043106519417,0.031055900621118012,0.0,0.0015196237514616719,0.0,0.0,0.0,0.0,0.19425778863775198,0.0,0.0,0.0,0.002260837891643064,0.0,0.0,0.0,0.06709979763553095,0.002589246095407136,0.06015572359062664,0.02803591529017565,0.0,0.724464850778681,0.9865655116228,0.256269859458522,0.1494015683037557,0.0,0.25812686698295556,0.32179530771846315,0.3056868373285916,0.5364667535000622,0.847746389413056,0.07890614802245137,0.7110614827126455,0.42934935293941845,Medium expressed
C3N-00302-02,0.0,0.0,0.0,0.0010947887224273505,0.0,0.0,0.0,0.0,0.6287121541358829,0.0,0.028826742667141674,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036361809423925947,0.0,0.0,0.0,0.10783896048567473,0.0,0.0,0.0,0.0,0.5210567368971538,0.5641563139622794,0.39642731051057,0.0800660338423442,0.5199054000788332,0.7531189597610262,0.1957157429445767,0.4620807768511741,0.43176924134229594,0.33640587807254474,0.42974154810077014,0.5556863602863834,0.38013887643583694,Medium expressed
C3L-01032-01,0.0,0.0,0.0,0.0010635685117117418,0.0,0.05843761389867573,0.0,0.0,0.11111111111111112,0.0,0.0,0.016200828157349897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00353569925831957,0.0,0.10150107219442459,0.0,0.017467248908296946,0.0080944416541918,0.0,0.043820842386324964,0.0,0.7378446892810608,0.638803908519587,0.8376618952349687,0.0,0.14426487977926686,0.46471621859075735,0.24461067664059846,0.3758542749071661,0.45902358246663566,0.447375155708489,0.5273462994387156,0.6202800583466498,0.5609671538300607,Medium expressed
C3L-01453-03,0.5909555442003066,0.0,0.0,0.0010323483009961327,0.0,0.5671242862349654,0.002681856276367562,0.0,0.21570331739823265,0.16423975618015577,0.23102956893480586,0.34544513457556936,0.016640790710896327,0.004610383923926089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034289374689919806,0.0,0.0,0.4212034383954155,0.06779209713494515,0.003925316585315903,0.0,0.10627994031569855,0.0,0.5911273810262455,0.5714101917213009,0.519885782950442,0.07552620718118036,0.0,0.3147425759971885,0.3691601496089766,0.3483385721381298,0.7013345725637015,0.6496312329645663,0.265794282730714,0.5876920333417389,0.7051117287824901,Medium expressed
C3L-00928-03,0.0,0.0,0.0,0.0010302669536150922,0.0,0.05655448912647309,0.0,0.0,0.053744748660002895,0.0,0.0,0.0,0.0,0.0022974650615318836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034163772584828523,0.0,0.0,0.0,0.03381616785600171,0.02741382589148572,0.0,0.0,0.0,0.4962196083992944,0.6038743225551217,0.6042602216207176,0.0,0.06976744186046513,0.2545246881040239,0.14464467868072084,0.33991423440775836,0.7529240818677471,0.7305503138836472,0.3313536091894009,0.38224787852528425,0.6161471253374777,Medium expressed
C3L-04853-01,0.057358201328564125,0.0,0.0,0.0009012234159905756,0.0,0.0495687036812052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19303604153940135,0.0,0.0,0.20851293103448276,0.005991220412854119,0.0,0.0,0.0,0.0,0.003432823448524715,0.0,0.01858590089264679,0.0,0.4575692037688687,0.6279497035419073,0.5436397083872726,0.06603384234420141,0.06109578242018132,0.28249868212967844,0.1037062223733424,0.33126853872824097,0.6222681842875188,0.5241116907783574,0.27871687769220727,0.5166980365822906,0.5254211622184365,Medium expressed
C3L-01598-02,0.04701073071027082,0.0,0.0,0.0007388783202694095,0.03323305269538093,0.04057830154294739,0.0,0.0,0.0,0.11750761937013207,0.0,0.011231884057971014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49350649350649356,0.0,0.0,0.00245552115453455,0.0,0.0,0.0,0.0,0.0,0.021748895710114544,0.030444229208659458,0.0,0.6958588535619,0.5485606234588286,0.37165757183471976,0.10813041683862981,0.10051241623965314,0.2619047619047619,0.19823189391363483,0.2251677317117398,0.406668281156935,0.526485859819193,0.13797154418483226,0.5294784327766624,0.556864620381163,Medium expressed
C3N-01899-02-3,0.0,0.0,0.0,0.0,0.0,0.04823229255254525,0.0,0.0,0.1374764595103578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5075598968258892,0.5939060553891337,0.5523608366832459,0.1923235658274866,0.05951911706740245,0.27123528378140926,0.1569194151649099,0.2484533750416183,0.39888600171485045,0.3986476486476486,0.2655332202062394,0.41017012200134023,0.5025912310589079,Negative
C3N-02594-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10401274808054468,0.0,0.0,0.015113871635610766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003303335363900699,0.0,0.0,0.0,0.016348918947704762,0.0037839076648511064,0.0,0.020496845632313288,0.0,0.4818638704473537,0.7025742486291852,0.5214900245901132,0.14568716467189435,0.06740244383129682,0.3936215076436479,0.5973478408704522,0.3231001271746902,0.6749245662148275,0.7142733809400477,0.2946416916851586,0.3372291471330312,0.6797194576446796,Negative
